"
2018-19 District STAAR Performance",,,,,,,,,,,,,,,,,
District Name: HOUSTON ISD (101912),,,,,,,,,,,,,,,,,
County Name: HARRIS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EL
(Current
& 
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
"
    Grade 3 Reading
,2018,48%,50%,44%,36%,39%,78%,44%,84%,80%,71%,24%,32%,46%,37%,36%,35%
     At Masters Grade Level,2019,29%,31%,28%,20%,24%,57%,29%,68%,46%,61%,12%,27%,30%,24%,22%,17%
,2018,29%,30%,26%,18%,21%,60%,24%,68%,67%,52%,10%,17%,27%,22%,20%,18%
"   Grade 7 Mathematics
     At Approaches Grade Level or Above",2019,75%,77%,72%,64%,72%,88%,71%,93%,82%,89%,45%,64%,75%,65%,69%,67%
,2018,72%,75%,67%,57%,67%,86%,79%,90%,80%,88%,37%,61%,70%,59%,63%,65%
     At Meets Grade Level or Above,2019,43%,46%,42%,29%,42%,66%,50%,79%,45%,71%,29%,36%,45%,33%,37%,37%
,2018,40%,43%,37%,27%,36%,66%,38%,80%,80%,57%,20%,26%,40%,29%,33%,34%
     At Masters Grade Level,2019,17%,18%,18%,10%,16%,35%,11%,58%,27%,35%,12%,16%,19%,13%,14%,14%
,2018,18%,20%,18%,10%,16%,39%,21%,62%,60%,40%,8%,13%,19%,13%,14%,15%
"   Grade 7 Writing
     At Approaches Grade Level or Above",2019,70%,72%,67%,60%,65%,87%,63%,90%,77%,90%,33%,49%,70%,60%,62%,58%
,2018,69%,69%,61%,57%,57%,87%,64%,92%,93%,86%,25%,46%,64%,54%,55%,53%
     At Meets Grade Level or Above,2019,42%,43%,41%,32%,36%,70%,41%,80%,46%,79%,24%,31%,43%,31%,33%,28%
,2018,43%,44%,37%,30%,31%,70%,24%,81%,80%,66%,19%,18%,39%,30%,30%,27%
     At Masters Grade Level,2019,18%,19%,18%,13%,13%,40%,15%,62%,38%,50%,12%,14%,19%,13%,12%,8%
,2018,15%,16%,13%,7%,8%,37%,8%,54%,47%,40%,7%,9%,14%,9%,8%,7%
"
   Grade 8 Reading^
     At Approaches Grade Level or Above",2019,86%,86%,81%,76%,80%,95%,79%,96%,85%,95%,42%,63%,83%,77%,78%,70%
,2018,86%,86%,81%,76%,79%,95%,83%,96%,94%,95%,46%,75%,83%,73%,77%,74%
     At Meets Grade Level or Above,2019,55%,56%,50%,42%,46%,80%,50%,86%,85%,80%,23%,35%,52%,44%,43%,29%
,2018,49%,51%,46%,36%,42%,78%,61%,80%,75%,64%,27%,35%,49%,37%,39%,34%
     At Masters Grade Level,2019,28%,30%,26%,19%,21%,56%,29%,67%,85%,52%,9%,16%,27%,22%,19%,10%
,2018,27%,28%,26%,18%,22%,55%,35%,61%,56%,43%,11%,13%,28%,19%,19%,16%
"   Grade 8 Mathematics^
     At Approaches Grade Level or Above",2019,88%,88%,82%,77%,82%,90%,85%,95%,80%,93%,52%,71%,83%,78%,80%,77%
,2018,86%,87%,80%,73%,81%,89%,69%,94%,80%,83%,49%,79%,83%,73%,78%,79%
     At Meets Grade Level or Above,2019,57%,58%,48%,41%,47%,66%,50%,82%,60%,67%,27%,28%,51%,42%,44%,39%
,2018,51%,52%,45%,34%,45%,65%,38%,81%,50%,53%,28%,41%,48%,36%,41%,42%
     At Masters Grade Level,2019,17%,18%,14%,8%,12%,32%,20%,57%,60%,25%,10%,4%,15%,11%,10%,8%
,2018,15%,16%,14%,7%,12%,32%,19%,56%,10%,18%,13%,7%,15%,9%,10%,11%
"   Grade 8 Science
     At Approaches Grade Level or Above",2019,81%,81%,74%,66%,72%,91%,78%,95%,92%,94%,39%,60%,75%,69%,70%,61%
,2018,76%,77%,69%,58%,68%,89%,61%,92%,87%,81%,36%,57%,73%,58%,64%,63%
     At Meets Grade Level or Above,2019,51%,52%,42%,31%,39%,70%,43%,84%,85%,66%,23%,29%,44%,34%,36%,25%
,2018,52%,53%,43%,30%,42%,73%,48%,83%,73%,54%,25%,32%,48%,31%,37%,36%
     At Masters Grade Level,2019,25%,27%,20%,11%,16%,46%,22%,66%,77%,38%,10%,19%,22%,13%,14%,9%
,2018,28%,29%,22%,12%,19%,50%,26%,68%,40%,35%,10%,22%,25%,14%,16%,16%
"   Grade 8 Social Studies
     At Approaches Grade Level or Above",2019,69%,70%,61%,54%,57%,84%,67%,90%,85%,79%,33%,56%,62%,56%,55%,45%
,2018,65%,66%,57%,47%,56%,81%,68%,90%,75%,66%,31%,49%,61%,47%,51%,50%
     At Meets Grade Level or Above,2019,37%,38%,30%,22%,25%,58%,25%,74%,85%,52%,22%,24%,31%,24%,23%,16%
,2018,36%,37%,30%,20%,26%,58%,50%,73%,50%,42%,22%,23%,33%,22%,24%,22%
     At Masters Grade Level,2019,21%,23%,16%,10%,13%,39%,8%,56%,69%,38%,9%,12%,18%,12%,11%,7%
,2018,21%,22%,17%,11%,14%,40%,32%,59%,25%,29%,11%,14%,19%,12%,12%,11%
"
   End of Course English I
     At Approaches Grade Level or Above",2019,68%,67%,59%,53%,57%,84%,58%,86%,94%,81%,24%,41%,61%,54%,54%,39%
,2018,65%,65%,54%,49%,52%,81%,49%,82%,65%,77%,23%,39%,57%,47%,50%,39%
     At Meets Grade Level or Above,2019,50%,50%,41%,33%,38%,73%,45%,81%,88%,69%,15%,24%,43%,35%,35%,19%
,2018,44%,45%,34%,28%,31%,68%,35%,76%,53%,60%,14%,18%,37%,29%,29%,19%
     At Masters Grade Level,2019,11%,11%,9%,5%,6%,33%,13%,48%,56%,23%,5%,3%,10%,7%,5%,2%
,2018,7%,8%,7%,4%,4%,23%,3%,40%,18%,21%,6%,2%,8%,5%,4%,1%
"   End of Course English II
     At Approaches Grade Level or Above",2019,68%,69%,60%,57%,57%,83%,52%,81%,60%,84%,27%,38%,63%,53%,56%,32%
,2018,67%,67%,55%,51%,52%,83%,58%,76%,50%,80%,24%,47%,59%,47%,51%,33%
     At Meets Grade Level or Above,2019,49%,50%,41%,37%,38%,71%,36%,74%,40%,71%,18%,22%,45%,34%,35%,14%
,2018,48%,48%,37%,30%,33%,70%,43%,67%,39%,66%,15%,24%,39%,30%,32%,17%
     At Masters Grade Level,2019,8%,9%,7%,5%,4%,23%,2%,37%,0%,21%,6%,2%,8%,5%,4%,1%
,2018,8%,9%,6%,3%,4%,21%,5%,34%,11%,19%,6%,1%,7%,4%,4%,1%
"   End of Course Algebra I
    At Approaches Grade Level or Above",2019,85%,84%,76%,72%,76%,84%,81%,95%,70%,82%,43%,68%,79%,70%,74%,70%
,2018,83%,83%,73%,67%,72%,85%,74%,94%,93%,83%,39%,62%,77%,65%,71%,69%
     At Meets Grade Level or Above,2019,61%,61%,48%,41%,47%,63%,35%,87%,50%,64%,19%,36%,53%,38%,44%,37%
,2018,55%,55%,42%,33%,40%,62%,38%,86%,64%,60%,15%,32%,47%,31%,38%,36%
     At Masters Grade Level,2019,37%,38%,29%,21%,27%,48%,19%,77%,50%,46%,8%,21%,33%,21%,25%,21%
,2018,32%,34%,25%,15%,24%,46%,26%,76%,50%,40%,7%,20%,30%,16%,21%,21%
"   End of Course Biology
     At Approaches Grade Level or Above",2019,88%,88%,81%,79%,79%,92%,74%,94%,85%,95%,51%,73%,83%,77%,78%,67%
,2018,87%,86%,77%,75%,75%,92%,77%,92%,79%,95%,46%,68%,80%,71%,74%,66%
     At Meets Grade Level or Above,2019,62%,63%,50%,43%,46%,77%,57%,84%,70%,78%,21%,34%,54%,42%,44%,26%
,2018,59%,60%,45%,39%,41%,76%,45%,82%,64%,75%,19%,36%,49%,37%,40%,29%
     At Masters Grade Level,2019,25%,28%,19%,12%,15%,46%,26%,67%,40%,40%,5%,9%,22%,13%,13%,6%
,2018,24%,26%,17%,11%,13%,45%,13%,64%,21%,42%,7%,8%,20%,12%,12%,7%
"   End of Course U.S. History
     At Approaches Grade Level or Above",2019,93%,93%,89%,88%,87%,96%,81%,94%,100%,98%,59%,85%,90%,85%,87%,72%
,2018,92%,91%,86%,83%,85%,96%,88%,92%,83%,93%,57%,84%,88%,81%,85%,70%
     At Meets Grade Level or Above,2019,73%,75%,66%,60%,63%,87%,56%,88%,50%,83%,36%,59%,69%,58%,61%,33%
,2018,70%,71%,61%,53%,58%,84%,46%,82%,75%,83%,31%,42%,64%,53%,56%,34%
     At Masters Grade Level,2019,45%,49%,38%,28%,35%,68%,38%,74%,33%,59%,16%,31%,41%,31%,32%,13%
,2018,40%,43%,33%,24%,30%,63%,27%,70%,33%,59%,11%,22%,35%,28%,27%,13%
 ,,,,,,,,,,,,,,,,,
"   All Grades All Subjects
     At Approaches Grade Level or Above",2019,78%,78%,72%,65%,71%,89%,71%,92%,83%,88%,40%,64%,74%,67%,68%,66%
,2018,77%,77%,70%,62%,69%,89%,71%,91%,78%,86%,39%,63%,72%,63%,66%,65%
     At Meets Grade Level or Above,2019,50%,51%,44%,34%,41%,71%,41%,81%,65%,70%,24%,35%,46%,37%,38%,34%
,2018,48%,49%,42%,32%,39%,71%,43%,80%,59%,65%,23%,34%,44%,34%,36%,35%
     At Masters Grade Level,2019,24%,25%,21%,13%,18%,46%,18%,61%,48%,44%,9%,18%,23%,16%,16%,15%
,2018,22%,23%,19%,12%,16%,44%,18%,59%,32%,41%,9%,16%,21%,14%,15%,15%
"   All Grades ELA/Reading
     At Approaches Grade Level or Above",2019,75%,75%,69%,62%,67%,89%,68%,90%,82%,87%,34%,59%,71%,63%,64%,60%
,2018,74%,74%,66%,59%,64%,89%,66%,89%,72%,87%,34%,59%,69%,59%,62%,59%
     At Meets Grade Level or Above,2019,48%,49%,42%,34%,39%,73%,39%,79%,70%,72%,21%,32%,44%,37%,36%,30%
,2018,46%,47%,40%,31%,37%,73%,44%,77%,55%,68%,22%,30%,42%,34%,34%,31%
     At Masters Grade Level,2019,21%,22%,19%,13%,15%,46%,15%,57%,48%,45%,8%,16%,20%,15%,13%,13%
,2018,19%,20%,18%,12%,14%,44%,14%,53%,34%,42%,8%,13%,19%,13%,13%,13%
"   All Grades Mathematics
     At Approaches Grade Level or Above",2019,82%,82%,77%,68%,77%,90%,76%,95%,79%,88%,47%,71%,79%,71%,74%,76%
,2018,81%,82%,76%,67%,76%,89%,80%,95%,82%,87%,45%,71%,78%,69%,73%,76%
     At Meets Grade Level or Above,2019,52%,53%,47%,35%,46%,70%,41%,85%,57%,69%,26%,41%,50%,39%,42%,44%
,2018,50%,51%,45%,32%,44%,69%,43%,85%,61%,64%,24%,40%,48%,35%,40%,44%
     At Masters Grade Level,2019,26%,28%,25%,14%,23%,47%,20%,70%,46%,46%,11%,23%,27%,19%,20%,22%
,2018,24%,25%,23%,13%,21%,44%,23%,68%,30%,42%,10%,20%,25%,16%,18%,21%
"   All Grades Writing
     At Approaches Grade Level or Above",2019,68%,69%,64%,55%,63%,85%,59%,90%,75%,83%,31%,48%,66%,58%,59%,60%
,2018,66%,66%,59%,51%,56%,84%,60%,90%,86%,83%,27%,48%,61%,52%,53%,54%
     At Meets Grade Level or Above,2019,38%,39%,36%,27%,32%,65%,33%,74%,44%,66%,22%,24%,38%,29%,29%,29%
,2018,41%,42%,36%,27%,32%,68%,32%,78%,59%,63%,21%,25%,38%,30%,30%,31%
     At Masters Grade Level,2019,14%,15%,14%,9%,10%,33%,10%,49%,31%,37%,10%,9%,15%,10%,9%,8%
,2018,13%,13%,12%,6%,9%,33%,9%,48%,32%,34%,8%,11%,13%,8%,7%,8%
"   All Grades Science
     At Approaches Grade Level or Above",2019,81%,82%,74%,68%,73%,91%,75%,94%,89%,91%,43%,67%,76%,71%,71%,65%
,2018,80%,80%,72%,65%,71%,90%,68%,92%,80%,86%,42%,68%,74%,65%,68%,66%
     At Meets Grade Level or Above,2019,54%,55%,45%,35%,42%,72%,45%,82%,75%,68%,22%,35%,47%,38%,39%,31%
,2018,51%,52%,41%,31%,38%,71%,42%,80%,66%,63%,22%,35%,44%,33%,35%,32%
     At Masters Grade Level,2019,25%,27%,19%,11%,16%,45%,20%,62%,53%,40%,8%,16%,22%,14%,14%,11%
,2018,23%,24%,18%,10%,14%,44%,15%,61%,34%,38%,8%,15%,20%,13%,13%,11%
"   All Grades Social Studies
     At Approaches Grade Level or Above",2019,81%,81%,75%,71%,73%,90%,75%,92%,89%,88%,46%,69%,76%,72%,71%,57%
,2018,78%,79%,72%,65%,71%,89%,79%,91%,79%,78%,44%,64%,74%,65%,68%,57%
     At Meets Grade Level or Above,2019,55%,57%,48%,41%,44%,73%,43%,81%,74%,66%,29%,40%,50%,43%,42%,23%
,2018,53%,54%,45%,37%,43%,71%,48%,78%,61%,60%,27%,32%,48%,39%,40%,27%
     At Masters Grade Level,2019,33%,36%,27%,19%,24%,54%,25%,65%,58%,48%,12%,21%,29%,23%,22%,10%
,2018,31%,32%,25%,17%,22%,51%,29%,65%,29%,42%,11%,18%,27%,20%,20%,12%
"
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above",,,,,,,,,,,,,,,,,
"
   3rd Graders
     Reading and Mathematics",2019,35%,36%,32%,20%,29%,61%,50%,76%,56%,64%,23%,30%,34%,26%,25%,30%
,2018,34%,34%,31%,19%,29%,60%,14%,72%,*,58%,24%,25%,32%,26%,25%,29%
     Reading and Mathematics Including EOC,2019,35%,36%,32%,20%,29%,61%,50%,76%,56%,64%,23%,30%,34%,26%,25%,30%
,2018,34%,34%,31%,19%,29%,60%,14%,72%,*,58%,24%,25%,32%,26%,25%,29%
