Grade,Performance level,Subject,Year,State,Region 04,District,"African-
American",Hispanic,White,American-Indian,Asian,Pacific-Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continuously Enrolled,Non-Continuously Enrolled,Econ-Disadv,EL (Current & Monitored)
8,Above,Mathematics,2022,14%,15%,13%,7%,10%,27%,20%,56%,0%,39%,12%,4%,15%,8%,9%,8%
8,Above,Mathematics,2021,11%,11%,5%,2%,3%,21%,0%,49%,*,*,8%,2%,6%,3%,2%,2%
8,Below,Science,2022,74%,76%,68%,60%,67%,86%,88%,90%,100%,87%,41%,56%,72%,58%,64%,61%
8,Below,Science,2021,68%,68%,51%,43%,48%,87%,64%,86%,*,86%,30%,33%,54%,41%,45%,43%
8,Reached,Science,2022,45%,48%,41%,30%,39%,60%,46%,77%,86%,68%,26%,26%,45%,28%,35%,34%
8,Reached,Science,2021,43%,45%,29%,20%,25%,71%,36%,71%,*,86%,22%,20%,32%,21%,22%,21%
8,Above,Science,2022,24%,26%,22%,12%,19%,39%,35%,59%,29%,42%,12%,14%,25%,13%,17%,16%
8,Above,Science,2021,24%,25%,14%,8%,11%,47%,21%,54%,*,71%,9%,9%,16%,9%,9%,8%
8,Below,Social Studies,2022,61%,61%,51%,44%,47%,76%,59%,86%,63%,76%,33%,38%,55%,42%,44%,39%
8,Below,Social Studies,2021,57%,58%,39%,31%,35%,80%,46%,78%,80%,*,28%,27%,42%,31%,31%,28%
8,Reached,Social Studies,2022,31%,32%,24%,17%,19%,50%,41%,66%,13%,50%,21%,17%,27%,17%,17%,15%
8,Reached,Social Studies,2021,28%,29%,16%,10%,12%,53%,15%,56%,60%,*,19%,13%,18%,11%,10%,8%
8,Above,Social Studies,2022,18%,20%,14%,8%,10%,37%,22%,53%,0%,35%,12%,9%,16%,9%,8%,7%
8,Above,Social Studies,2021,14%,15%,7%,4%,4%,32%,8%,34%,0%,*,8%,6%,8%,4%,3%,3%
