Primary_Key,School_Name,Grade_STAAR_Test,Mastery_Level,School_Year,YOY_State,State,YOY_Region,Region_04,YOY_District,District,YOY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Aldine_ISD_Grade 5 Reading+_At Masters Grade Level,Aldine_ISD,Grade 5 Reading+,At Masters Grade Level,2019,0.03,0.29,0.03,0.3,0.04,0.16,0.04,0.13,0.03,0.16,0.1,0.23,0.04,0.15,-0.01,0.12
Aldine_ISD_Grade 5 Science_At Approaches Grade Level or Above,Aldine_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,-0.01,0.75,-0.01,0.75,-0.04,0.63,-0.03,0.54,-0.04,0.65,0.001,0.65,-0.04,0.62,-0.07,0.62
Aldine_ISD_Grade 5 Science_At Meets Grade Level or Above,Aldine_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,0.08,0.49,0.08,0.5,0.06,0.32,0.06,0.24,0.05,0.33,0.12,0.41,0.06,0.31,0.02,0.29
Aldine_ISD_Grade 5 Science_At Masters Grade Level,Aldine_ISD,Grade 5 Science,At Masters Grade Level,2019,0.07,0.24,0.07,0.25,0.03,0.1,0.01,0.07,0.04,0.11,0.07,0.18,0.03,0.1,0.01,0.09
Aldine_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above,Aldine_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2019,0.04,0.81,0.03,0.81,-0.04,0.71,-0.05,0.63,-0.04,0.73,-0.01,0.76,-0.04,0.7,-0.12,0.65
Aldine_ISD_Grade 6 Mathematics_At Meets Grade Level or Above,Aldine_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2019,0.03,0.47,0.02,0.48,-0.07,0.3,-0.05,0.22,-0.08,0.32,-0.14,0.32,-0.09,0.28,-0.17,0.22
Aldine_ISD_Grade 6 Mathematics_At Masters Grade Level,Aldine_ISD,Grade 6 Mathematics,At Masters Grade Level,2019,0.03,0.21,0.02,0.22,-0.03,0.09,-0.01,0.06,-0.03,0.09,-0.04,0.08,-0.03,0.08,-0.08,0.05
Aldine_ISD_Grade 6 Reading_At Approaches Grade Level or Above,Aldine_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2019,-0.01,0.68,-0.02,0.69,-0.07,0.55,-0.06,0.52,-0.08,0.55,0.04,0.74,-0.07,0.54,-0.2,0.41
Aldine_ISD_Grade 6 Reading_At Meets Grade Level or Above,Aldine_ISD,Grade 6 Reading,At Meets Grade Level or Above,2019,-0.02,0.37,-0.03,0.38,-0.07,0.22,-0.04,0.21,-0.08,0.21,-0.12,0.33,-0.07,0.2,-0.15,0.12
Aldine_ISD_Grade 6 Reading_At Masters Grade Level,Aldine_ISD,Grade 6 Reading,At Masters Grade Level,2019,-0.01,0.18,-0.01,0.19,-0.04,0.07,-0.02,0.07,-0.04,0.07,-0.04,0.15,-0.04,0.06,-0.06,0.03
Aldine_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above,Aldine_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2019,0.03,0.75,0.02,0.77,0.05,0.68,0.09,0.6,0.05,0.71,0.04,0.76,0.05,0.67,-0.07,0.59
Aldine_ISD_Grade 7 Mathematics_At Meets Grade Level or Above,Aldine_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2019,0.03,0.43,0.03,0.46,0.08,0.33,0.08,0.25,0.07,0.34,0.12,0.45,0.06,0.31,-0.03,0.23
Aldine_ISD_Grade 7 Mathematics_At Masters Grade Level,Aldine_ISD,Grade 7 Mathematics,At Masters Grade Level,2019,-0.01,0.17,-0.02,0.18,0.02,0.08,0.01,0.04,0.02,0.09,0.04,0.12,0.01,0.07,-0.03,0.04
Aldine_ISD_Grade 7 Reading_At Approaches Grade Level or Above,Aldine_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2019,0.02,0.76,0.01,0.77,0.02,0.68,0.04,0.64,0.01,0.69,0.11,0.81,0.01,0.67,-0.13,0.51
Aldine_ISD_Grade 7 Reading_At Meets Grade Level or Above,Aldine_ISD,Grade 7 Reading,At Meets Grade Level or Above,2019,0.01,0.49,0.01,0.51,0.03,0.37,0.03,0.32,0.04,0.38,-0.03,0.54,0.02,0.35,-0.11,0.19
Aldine_ISD_Grade 7 Reading_At Masters Grade Level,Aldine_ISD,Grade 7 Reading,At Masters Grade Level,2019,0.001,0.29,0.01,0.31,0.01,0.17,0.03,0.15,0.01,0.17,0.03,0.36,0.01,0.16,-0.07,0.06
