Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF SCIENCE - HOUSTO (101862) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,30%,31%,35%,29%,20%,65%,*,33%,-,*,13%,-,38%,31%,22%,26%
,2019,29%,30%,46%,53%,26%,41%,-,57%,*,*,14%,60%,48%,43%,42%,47%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,75%,63%,60%,89%,*,94%,-,*,47%,-,78%,70%,70%,80%
,2019,90%,89%,98%,96%,100%,97%,-,100%,*,*,82%,100%,99%,98%,98%,99%
At Meets Grade Level or Above,2021,44%,45%,52%,41%,38%,74%,*,61%,-,*,29%,-,55%,46%,42%,55%
,2019,58%,59%,76%,69%,57%,81%,-,93%,*,*,36%,80%,75%,76%,72%,82%
At Masters Grade Level,2021,25%,26%,33%,25%,17%,59%,*,39%,-,*,6%,-,34%,30%,21%,30%
,2019,36%,38%,56%,56%,28%,62%,-,74%,*,*,27%,20%,58%,53%,48%,53%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,67%,59%,48%,89%,*,78%,-,*,50%,-,73%,58%,59%,67%
,2019,75%,75%,88%,83%,79%,92%,-,97%,*,*,50%,100%,87%,89%,85%,89%
At Meets Grade Level or Above,2021,31%,32%,30%,20%,17%,53%,*,37%,-,*,25%,-,34%,23%,18%,26%
,2019,49%,50%,56%,45%,40%,64%,-,74%,*,*,27%,20%,60%,51%,51%,57%
At Masters Grade Level,2021,13%,14%,12%,8%,2%,18%,*,22%,-,*,6%,-,13%,9%,8%,10%
,2019,24%,25%,25%,22%,11%,25%,-,38%,*,*,14%,0%,23%,27%,20%,23%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,74%,69%,60%,67%,-,91%,-,78%,33%,*,82%,67%,70%,74%
,2019,68%,69%,89%,87%,82%,88%,*,94%,*,90%,52%,60%,93%,85%,86%,85%
At Meets Grade Level or Above,2021,32%,34%,45%,41%,28%,45%,-,61%,-,33%,20%,*,56%,36%,42%,48%
,2019,37%,38%,60%,56%,45%,62%,*,71%,*,60%,19%,20%,69%,53%,53%,54%
At Masters Grade Level,2021,15%,16%,21%,19%,10%,18%,-,31%,-,22%,13%,*,26%,18%,16%,24%
,2019,18%,19%,39%,37%,26%,37%,*,49%,*,30%,10%,20%,48%,31%,34%,33%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,81%,76%,67%,82%,-,96%,-,75%,52%,*,88%,75%,77%,85%
,2019,81%,81%,94%,93%,93%,94%,*,97%,*,90%,59%,100%,95%,94%,93%,94%
At Meets Grade Level or Above,2021,36%,37%,52%,37%,37%,60%,-,75%,-,50%,31%,*,62%,45%,46%,55%
,2019,47%,48%,79%,73%,66%,77%,*,91%,*,90%,18%,40%,82%,76%,75%,80%
At Masters Grade Level,2021,15%,17%,27%,20%,15%,30%,-,40%,-,25%,17%,*,30%,24%,22%,27%
,2019,21%,22%,53%,46%,37%,42%,*,71%,*,70%,9%,40%,61%,46%,46%,51%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,81%,75%,68%,83%,*,94%,*,86%,36%,89%,87%,75%,79%,81%
,2019,76%,77%,90%,88%,84%,86%,*,95%,-,88%,56%,80%,93%,87%,88%,86%
At Meets Grade Level or Above,2021,45%,47%,59%,54%,44%,68%,*,70%,*,71%,12%,67%,69%,50%,51%,49%
,2019,49%,51%,67%,64%,56%,67%,*,76%,-,50%,28%,40%,78%,60%,60%,58%
At Masters Grade Level,2021,25%,27%,36%,38%,23%,29%,*,47%,*,43%,8%,44%,46%,28%,30%,25%
,2019,29%,31%,48%,47%,34%,47%,*,58%,-,38%,17%,0%,58%,41%,39%,33%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,77%,73%,66%,88%,*,85%,*,100%,32%,88%,81%,74%,74%,73%
,2019,75%,77%,91%,85%,91%,92%,*,97%,-,75%,39%,80%,96%,88%,89%,93%
At Meets Grade Level or Above,2021,27%,29%,52%,45%,46%,41%,*,65%,*,86%,12%,63%,61%,44%,45%,48%
,2019,43%,46%,73%,67%,61%,73%,*,87%,-,50%,22%,80%,85%,65%,65%,67%
