Primary_Key,School_Name,,,School_Year,YoY_State,State,YoY_Region_04,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YOY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
CHANNELVIEW_ISD_Grade 5 Reading+,CHANNELVIEW_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2021,-0.13,73%,-13%,73%,-19%,65%,-39%,45%,-15%,68%,-37%,55%,-20%,62%,-17%,65%
CHANNELVIEW_ISD_Grade 5 Reading+,CHANNELVIEW_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2019,na,86%,na,86%,na,84%,na,84%,na,83%,na,92%,na,82%,na,82%
CHANNELVIEW_ISD_Grade 5 Reading+,CHANNELVIEW_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2021,-0.08,46%,-7%,47%,-5%,38%,-19%,20%,-2%,41%,-25%,26%,-5%,35%,-3%,42%
CHANNELVIEW_ISD_Grade 5 Reading+,CHANNELVIEW_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2019,na,54%,na,54%,na,43%,na,39%,na,43%,na,51%,na,40%,na,45%
CHANNELVIEW_ISD_Grade 5 Reading+,CHANNELVIEW_ISD,Grade 5 Reading+,At Masters Grade Level,2021,0.01,30%,1%,31%,2%,21%,-4%,14%,4%,22%,-5%,19%,2%,19%,1%,21%
CHANNELVIEW_ISD_Grade 5 Reading+,CHANNELVIEW_ISD,Grade 5 Reading+,At Masters Grade Level,2019,na,29%,na,30%,na,19%,na,18%,na,18%,na,24%,na,17%,na,20%
CHANNELVIEW_ISD_Grade 5 Mathematics+,CHANNELVIEW_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,-0.2,70%,-19%,70%,-24%,67%,-39%,45%,-21%,70%,-28%,66%,-22%,67%,-22%,70%
CHANNELVIEW_ISD_Grade 5 Mathematics+,CHANNELVIEW_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,na,90%,na,89%,na,91%,na,84%,na,91%,na,94%,na,89%,na,92%
CHANNELVIEW_ISD_Grade 5 Mathematics+,CHANNELVIEW_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2021,-0.14,44%,-14%,45%,-18%,38%,-38%,10%,-16%,41%,-18%,39%,-17%,37%,-20%,38%
CHANNELVIEW_ISD_Grade 5 Mathematics+,CHANNELVIEW_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2019,na,58%,na,59%,na,56%,na,48%,na,57%,na,57%,na,54%,na,58%
CHANNELVIEW_ISD_Grade 5 Mathematics+,CHANNELVIEW_ISD,Grade 5 Mathematics+,At Masters Grade Level,2021,-0.11,25%,-12%,26%,-17%,18%,-20%,0%,-15%,20%,-21%,20%,-17%,16%,-16%,22%
CHANNELVIEW_ISD_Grade 5 Mathematics+,CHANNELVIEW_ISD,Grade 5 Mathematics+,At Masters Grade Level,2019,na,36%,na,38%,na,35%,na,20%,na,35%,na,41%,na,33%,na,38%
CHANNELVIEW_ISD_Grade 5 Science,CHANNELVIEW_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,-0.13,62%,-13%,62%,-19%,53%,-48%,22%,-15%,56%,-30%,54%,-17%,51%,-12%,57%
CHANNELVIEW_ISD_Grade 5 Science,CHANNELVIEW_ISD,Grade 5 Science,At Approaches Grade Level or Above,2019,na,75%,na,75%,na,72%,na,70%,na,71%,na,84%,na,68%,na,69%
CHANNELVIEW_ISD_Grade 5 Science,CHANNELVIEW_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,-0.18,31%,-18%,32%,-25%,18%,-29%,8%,-23%,19%,-39%,18%,-23%,17%,-21%,20%
CHANNELVIEW_ISD_Grade 5 Science,CHANNELVIEW_ISD,Grade 5 Science,At Meets Grade Level or Above,2019,na,49%,na,50%,na,43%,na,37%,na,42%,na,57%,na,40%,na,41%
CHANNELVIEW_ISD_Grade 5 Science,CHANNELVIEW_ISD,Grade 5 Science,At Masters Grade Level,2021,-0.11,13%,-11%,14%,-13%,5%,-9%,2%,-13%,5%,-19%,5%,-11%,5%,-13%,5%
CHANNELVIEW_ISD_Grade 5 Science,CHANNELVIEW_ISD,Grade 5 Science,At Masters Grade Level,2019,na,24%,na,25%,na,18%,na,11%,na,18%,na,24%,na,16%,na,18%
