Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCIENCE ACADEMY (101846) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,13%,13%,9%,10%,4%,7%,-,30%,-,*,4%,0%,10%,9%,7%,7%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,82%,82%,80%,89%,*,88%,-,*,47%,88%,83%,80%,80%,75%
,2018,80%,80%,81%,81%,79%,86%,*,91%,*,100%,51%,75%,83%,80%,80%,74%
At Meets Grade Level or Above,2019,54%,55%,49%,46%,44%,71%,*,75%,-,*,22%,38%,54%,43%,47%,40%
,2018,51%,52%,48%,45%,45%,52%,*,66%,*,100%,23%,25%,52%,44%,45%,31%
At Masters Grade Level,2019,25%,27%,19%,19%,15%,26%,*,42%,-,*,7%,13%,21%,17%,18%,9%
,2018,23%,24%,14%,12%,13%,12%,*,27%,*,60%,6%,0%,15%,13%,13%,8%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,87%,87%,86%,93%,-,93%,-,*,54%,*,91%,80%,86%,78%
,2018,78%,79%,82%,81%,81%,94%,-,89%,-,*,56%,50%,85%,79%,80%,68%
At Meets Grade Level or Above,2019,55%,57%,61%,62%,56%,75%,-,77%,-,*,22%,*,66%,50%,59%,40%
,2018,53%,54%,57%,50%,54%,67%,-,77%,-,*,41%,25%,62%,49%,53%,37%
At Masters Grade Level,2019,33%,36%,34%,35%,28%,46%,-,58%,-,*,8%,*,37%,27%,31%,20%
,2018,31%,32%,31%,21%,30%,39%,-,49%,-,*,15%,0%,37%,23%,27%,13%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,26%,25%,18%,33%,-,61%,-,*,11%,*,26%,24%,23%,23%
,2018,34%,34%,29%,31%,22%,46%,*,59%,-,*,35%,*,31%,23%,26%,25%
Reading and Mathematics Including EOC,2019,35%,36%,26%,25%,18%,33%,-,61%,-,*,11%,*,26%,24%,23%,23%
,2018,34%,34%,29%,31%,22%,46%,*,59%,-,*,35%,*,31%,23%,26%,25%
Reading Including EOC,2019,45%,45%,38%,38%,30%,50%,-,61%,-,*,15%,*,39%,33%,35%,31%
,2018,43%,44%,38%,44%,30%,54%,*,59%,-,*,40%,*,42%,29%,36%,34%
Math Including EOC,2019,49%,48%,35%,38%,24%,58%,-,61%,-,*,19%,*,37%,27%,32%,31%
,2018,47%,48%,38%,38%,34%,46%,*,65%,-,*,40%,*,40%,30%,34%,33%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,34%,34%,30%,36%,*,64%,-,*,24%,*,34%,33%,29%,27%
,2018,36%,37%,40%,57%,27%,45%,-,50%,-,-,5%,*,44%,35%,38%,33%
Reading and Mathematics Including EOC,2019,35%,36%,34%,34%,30%,36%,*,64%,-,*,24%,*,34%,33%,29%,27%
,2018,36%,37%,40%,57%,27%,45%,-,50%,-,-,5%,*,44%,35%,38%,33%
Reading Including EOC,2019,44%,45%,39%,37%,36%,36%,*,73%,-,*,24%,*,40%,37%,35%,35%
,2018,46%,46%,45%,62%,31%,45%,-,64%,-,-,5%,*,50%,39%,42%,37%
Math Including EOC,2019,48%,49%,49%,45%,50%,45%,*,73%,-,*,24%,*,51%,47%,45%,42%
,2018,49%,51%,61%,70%,52%,75%,-,71%,-,-,14%,*,64%,56%,57%,55%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,48%,64%,31%,70%,-,82%,-,-,13%,*,48%,47%,44%,40%
,2018,44%,44%,34%,38%,28%,42%,-,45%,-,-,12%,-,32%,37%,31%,29%
Reading and Mathematics Including EOC,2019,44%,44%,48%,64%,31%,70%,-,82%,-,-,13%,*,48%,47%,44%,40%
,2018,44%,44%,34%,38%,28%,42%,-,45%,-,-,12%,-,32%,37%,31%,29%
Reading Including EOC,2019,54%,54%,54%,70%,39%,80%,-,82%,-,-,23%,*,53%,57%,51%,45%
,2018,54%,54%,45%,54%,36%,58%,-,55%,-,-,18%,-,45%,45%,42%,38%
Math Including EOC,2019,58%,59%,62%,74%,49%,80%,-,91%,-,-,16%,*,62%,62%,59%,56%
,2018,58%,59%,47%,45%,42%,42%,-,77%,-,-,11%,-,48%,46%,45%,47%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,26%,30%,22%,30%,-,30%,-,*,8%,0%,26%,26%,25%,18%
,2018,31%,33%,26%,20%,24%,30%,-,58%,-,33%,36%,*,31%,23%,23%,22%
