Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
LA PORTE ISD (101916) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,30%,31%,40%,19%,40%,43%,*,50%,*,*,15%,31%,42%,31%,35%,28%
,2019,29%,30%,32%,26%,29%,38%,*,*,-,20%,11%,25%,34%,28%,26%,28%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,89%,89%,90%,89%,*,90%,*,*,78%,77%,92%,81%,87%,86%
,2019,90%,89%,98%,97%,98%,98%,*,*,-,100%,91%,100%,99%,97%,99%,100%
At Meets Grade Level or Above,2021,44%,45%,67%,46%,71%,66%,*,90%,*,*,42%,54%,70%,58%,64%,61%
,2019,58%,59%,74%,60%,73%,77%,*,*,-,60%,55%,83%,76%,65%,67%,67%
At Masters Grade Level,2021,25%,26%,38%,14%,40%,40%,*,50%,*,*,15%,23%,39%,34%,33%,31%
,2019,36%,38%,47%,40%,46%,50%,*,*,-,40%,20%,42%,48%,43%,39%,41%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,81%,62%,81%,84%,*,100%,*,*,64%,62%,83%,76%,78%,71%
,2019,75%,75%,85%,74%,83%,89%,*,*,-,*,66%,83%,87%,77%,79%,72%
At Meets Grade Level or Above,2021,31%,32%,45%,22%,41%,55%,*,60%,*,*,39%,31%,48%,37%,41%,25%
,2019,49%,50%,55%,37%,52%,63%,*,*,-,*,39%,83%,57%,49%,46%,30%
At Masters Grade Level,2021,13%,14%,18%,3%,17%,22%,*,20%,*,*,17%,8%,19%,14%,16%,10%
,2019,24%,25%,28%,14%,23%,36%,*,*,-,*,16%,33%,29%,24%,22%,14%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,68%,50%,67%,73%,*,100%,-,-,44%,46%,71%,61%,62%,59%
,2019,68%,69%,77%,80%,75%,80%,*,80%,-,57%,43%,80%,79%,71%,72%,70%
At Meets Grade Level or Above,2021,32%,34%,29%,15%,28%,32%,*,40%,-,-,21%,8%,30%,23%,21%,16%
,2019,37%,38%,41%,33%,42%,42%,*,40%,-,14%,21%,33%,41%,41%,35%,26%
At Masters Grade Level,2021,15%,16%,13%,3%,13%,15%,*,20%,-,-,7%,0%,15%,5%,8%,7%
,2019,18%,19%,20%,7%,22%,20%,*,20%,-,0%,11%,13%,19%,22%,18%,14%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,87%,85%,86%,89%,*,100%,-,-,63%,75%,88%,84%,84%,85%
,2019,81%,81%,89%,91%,89%,89%,*,100%,-,86%,62%,93%,89%,89%,87%,91%
At Meets Grade Level or Above,2021,36%,37%,49%,20%,49%,55%,*,80%,-,-,28%,42%,50%,45%,43%,35%
,2019,47%,48%,57%,50%,56%,61%,*,60%,-,29%,23%,67%,59%,51%,52%,50%
At Masters Grade Level,2021,15%,17%,19%,8%,17%,25%,*,20%,-,-,10%,8%,20%,16%,13%,11%
,2019,21%,22%,29%,24%,27%,32%,*,20%,-,0%,15%,40%,30%,24%,24%,26%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,70%,55%,71%,71%,*,*,*,-,43%,73%,72%,64%,66%,65%
,2019,76%,77%,74%,60%,72%,80%,100%,100%,*,*,46%,89%,76%,69%,69%,58%
At Meets Grade Level or Above,2021,45%,47%,43%,34%,43%,44%,*,*,*,-,27%,45%,44%,39%,41%,36%
,2019,49%,51%,48%,27%,46%,52%,80%,100%,*,*,27%,56%,48%,46%,42%,31%
At Masters Grade Level,2021,25%,27%,23%,14%,24%,23%,*,*,*,-,14%,18%,24%,20%,22%,25%
,2019,29%,31%,28%,18%,27%,29%,40%,88%,*,*,13%,0%,28%,29%,26%,21%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,53%,35%,57%,50%,*,*,*,-,38%,44%,54%,49%,51%,60%
,2019,75%,77%,67%,49%,70%,69%,*,*,*,*,49%,83%,69%,64%,67%,62%
At Meets Grade Level or Above,2021,27%,29%,14%,13%,13%,16%,*,*,*,-,21%,22%,14%,12%,15%,9%
,2019,43%,46%,20%,10%,17%,28%,*,*,*,*,23%,50%,20%,21%,18%,11%
At Masters Grade Level,2021,12%,13%,2%,0%,1%,4%,*,*,*,-,10%,0%,2%,1%,3%,2%
