Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HUFFMAN ISD (101925) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Reading Including EOC,2019,49%,51%,42%,67%,34%,45%,*,*,-,*,18%,*,43%,42%,31%,37%
,2018,48%,50%,40%,44%,29%,44%,-,-,-,*,11%,*,42%,36%,27%,21%
Math Including EOC,2019,48%,50%,30%,33%,21%,32%,*,*,-,*,18%,*,31%,26%,19%,19%
,2018,45%,46%,31%,22%,27%,33%,-,-,-,*,7%,*,33%,27%,19%,21%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,29%,56%,21%,30%,-,*,-,20%,15%,*,32%,23%,23%,19%
,2018,28%,30%,18%,*,16%,19%,-,*,-,20%,10%,*,18%,16%,12%,11%
Reading and Mathematics Including EOC,2019,47%,48%,31%,60%,28%,31%,-,*,-,20%,15%,*,34%,25%,24%,22%
,2018,41%,43%,28%,*,20%,31%,*,*,-,17%,10%,0%,30%,24%,16%,11%
Reading Including EOC,2019,55%,56%,52%,64%,38%,57%,-,*,-,20%,19%,*,54%,48%,36%,22%
,2018,50%,51%,38%,*,28%,43%,*,*,-,17%,10%,17%,40%,35%,27%,26%
Math Including EOC,2019,62%,64%,45%,60%,44%,45%,-,*,-,20%,19%,*,48%,39%,32%,56%
,2018,58%,60%,46%,*,40%,48%,*,*,-,50%,14%,60%,47%,45%,31%,26%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,37%,29%,42%,21%,31%,*,33%,*,24%,16%,29%,30%,27%,18%,14%
,2018,35%,36%,29%,38%,21%,30%,-,40%,-,31%,17%,19%,30%,25%,20%,16%
Reading and Mathematics Including EOC,2019,38%,39%,29%,44%,22%,32%,*,33%,*,24%,16%,29%,30%,27%,18%,15%
,2018,37%,38%,30%,38%,22%,32%,*,40%,-,29%,17%,18%,31%,26%,20%,15%
Reading Including EOC,2019,47%,48%,43%,50%,33%,47%,*,33%,*,24%,19%,45%,44%,40%,29%,27%
,2018,47%,48%,42%,52%,33%,44%,*,40%,-,35%,23%,26%,43%,39%,31%,25%
Math Including EOC,2019,52%,53%,39%,44%,33%,41%,*,67%,*,33%,22%,35%,40%,36%,28%,32%
,2018,50%,52%,41%,41%,33%,43%,*,50%,-,47%,21%,35%,42%,37%,29%,26%
