Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SHELDON ISD (101924) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
At Meets Grade Level or Above,2019,42%,43%,24%,22%,24%,13%,-,*,-,40%,16%,0%,24%,22%,23%,20%
,2018,43%,44%,23%,22%,23%,21%,-,*,*,20%,6%,*,24%,19%,23%,19%
At Masters Grade Level,2019,18%,19%,7%,6%,7%,0%,-,*,-,0%,8%,0%,8%,4%,7%,5%
,2018,15%,16%,3%,3%,3%,0%,-,*,*,20%,0%,*,3%,1%,3%,2%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,79%,72%,80%,93%,-,*,-,*,37%,71%,81%,75%,78%,77%
,2018,86%,86%,79%,78%,78%,90%,*,*,*,88%,33%,56%,79%,77%,78%,72%
At Meets Grade Level or Above,2019,55%,56%,40%,33%,41%,67%,-,*,-,*,5%,14%,44%,33%,38%,36%
,2018,49%,51%,38%,32%,37%,65%,*,*,*,75%,20%,22%,40%,33%,37%,27%
At Masters Grade Level,2019,28%,30%,17%,13%,17%,26%,-,*,-,*,0%,0%,19%,14%,16%,12%
,2018,27%,28%,19%,15%,19%,40%,*,*,*,25%,9%,0%,21%,15%,18%,13%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,75%,63%,79%,88%,-,*,-,*,37%,*,75%,76%,75%,78%
,2018,86%,87%,74%,72%,75%,79%,*,*,-,80%,42%,63%,75%,74%,74%,72%
At Meets Grade Level or Above,2019,57%,58%,31%,20%,33%,53%,-,*,-,*,12%,*,30%,33%,30%,32%
,2018,51%,52%,25%,25%,23%,43%,*,*,-,60%,19%,25%,25%,24%,24%,21%
At Masters Grade Level,2019,17%,18%,3%,2%,3%,18%,-,*,-,*,2%,*,2%,5%,3%,3%
,2018,15%,16%,2%,3%,2%,0%,*,*,-,40%,12%,0%,1%,4%,2%,1%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,71%,63%,72%,96%,-,*,-,*,26%,71%,74%,64%,69%,68%
,2018,76%,77%,62%,57%,61%,90%,*,*,*,88%,34%,33%,63%,58%,60%,53%
At Meets Grade Level or Above,2019,51%,52%,28%,23%,28%,46%,-,*,-,*,10%,29%,31%,20%,27%,22%
,2018,52%,53%,30%,25%,29%,70%,*,*,*,63%,18%,11%,33%,23%,29%,21%
At Masters Grade Level,2019,25%,27%,8%,4%,8%,15%,-,*,-,*,5%,0%,9%,6%,7%,5%
,2018,28%,29%,12%,5%,13%,30%,*,*,*,25%,2%,0%,14%,8%,11%,8%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,60%,53%,61%,89%,-,*,-,*,22%,71%,63%,54%,60%,55%
,2018,65%,66%,53%,43%,55%,70%,*,*,*,88%,27%,22%,55%,50%,52%,49%
At Meets Grade Level or Above,2019,37%,38%,23%,16%,24%,30%,-,*,-,*,7%,0%,24%,20%,22%,19%
,2018,36%,37%,20%,15%,21%,30%,*,*,*,38%,18%,0%,21%,18%,19%,15%
At Masters Grade Level,2019,21%,23%,10%,7%,10%,22%,-,*,-,*,2%,0%,11%,8%,9%,8%
,2018,21%,22%,9%,4%,10%,15%,*,*,*,13%,5%,0%,10%,7%,8%,7%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,58%,56%,58%,58%,*,*,*,58%,14%,25%,61%,51%,57%,48%
,2018,65%,65%,49%,42%,51%,56%,*,100%,-,50%,10%,33%,52%,43%,49%,40%
At Meets Grade Level or Above,2019,50%,50%,38%,35%,38%,45%,*,*,*,58%,10%,25%,40%,33%,37%,28%
,2018,44%,45%,26%,22%,27%,27%,*,80%,-,13%,9%,22%,27%,23%,27%,15%
At Masters Grade Level,2019,11%,11%,1%,1%,1%,0%,*,*,*,17%,4%,0%,1%,0%,1%,0%
,2018,7%,8%,1%,1%,1%,2%,*,20%,-,0%,2%,0%,2%,0%,2%,0%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,57%,54%,58%,70%,*,100%,-,38%,17%,29%,59%,53%,56%,42%
,2018,67%,67%,57%,56%,57%,63%,*,*,*,50%,14%,*,59%,52%,57%,35%
At Meets Grade Level or Above,2019,49%,50%,35%,34%,33%,48%,*,80%,-,38%,11%,0%,36%,31%,34%,17%
,2018,48%,48%,33%,28%,34%,39%,*,*,*,33%,6%,*,35%,27%,32%,16%
At Masters Grade Level,2019,8%,9%,2%,2%,2%,2%,*,40%,-,0%,6%,0%,2%,2%,2%,1%
,2018,8%,9%,2%,2%,2%,5%,*,*,*,0%,1%,*,2%,2%,2%,0%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,87%,83%,88%,81%,*,*,-,88%,53%,89%,88%,82%,86%,88%
,2018,83%,83%,70%,62%,73%,73%,*,*,*,*,35%,58%,72%,66%,70%,67%
At Meets Grade Level or Above,2019,61%,61%,56%,49%,59%,47%,*,*,-,63%,22%,44%,57%,51%,55%,53%
,2018,55%,55%,36%,26%,39%,33%,*,*,*,*,8%,8%,37%,33%,36%,33%
At Masters Grade Level,2019,37%,38%,19%,17%,20%,8%,*,*,-,25%,6%,22%,19%,18%,19%,19%
,2018,32%,34%,15%,9%,17%,17%,*,*,*,*,7%,8%,16%,13%,15%,13%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,82%,77%,84%,85%,*,*,*,73%,52%,83%,86%,75%,81%,81%
,2018,87%,86%,78%,76%,78%,79%,-,*,-,*,32%,71%,80%,73%,77%,71%
At Meets Grade Level or Above,2019,62%,63%,45%,36%,47%,65%,*,*,*,55%,12%,17%,48%,38%,44%,38%
,2018,59%,60%,42%,39%,43%,44%,-,*,-,*,15%,29%,47%,33%,42%,31%
At Masters Grade Level,2019,25%,28%,11%,4%,13%,15%,*,*,*,18%,6%,17%,14%,5%,11%,7%
,2018,24%,26%,12%,9%,13%,13%,-,*,-,*,8%,0%,15%,7%,13%,7%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,78%,77%,77%,87%,*,*,*,*,33%,60%,82%,70%,77%,68%
,2018,92%,91%,77%,76%,76%,85%,*,*,-,*,40%,*,79%,72%,77%,59%
At Meets Grade Level or Above,2019,73%,75%,40%,36%,38%,80%,*,*,*,*,6%,20%,43%,34%,38%,21%
,2018,70%,71%,38%,37%,38%,45%,*,*,-,*,10%,*,43%,28%,39%,17%
At Masters Grade Level,2019,45%,49%,18%,13%,17%,53%,*,*,*,*,3%,0%,21%,14%,18%,4%
,2018,40%,43%,12%,10%,12%,19%,*,*,-,*,1%,*,13%,11%,12%,4%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,69%,62%,70%,71%,47%,94%,*,72%,31%,64%,71%,64%,68%,67%
,2018,77%,77%,65%,59%,66%,70%,57%,89%,80%,74%,29%,58%,67%,61%,64%,62%
At Meets Grade Level or Above,2019,50%,51%,35%,27%,36%,39%,22%,72%,*,44%,15%,23%,37%,30%,34%,32%
,2018,48%,49%,32%,25%,34%,35%,22%,65%,40%,42%,14%,22%,35%,27%,31%,29%
At Masters Grade Level,2019,24%,25%,12%,7%,13%,14%,6%,44%,*,16%,5%,5%,13%,10%,12%,12%
,2018,22%,23%,11%,6%,12%,13%,9%,33%,15%,13%,4%,7%,12%,9%,11%,11%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,65%,60%,67%,69%,43%,96%,*,66%,26%,56%,68%,60%,65%,62%
,2018,74%,74%,62%,57%,63%,66%,56%,89%,88%,70%,23%,53%,64%,58%,62%,58%
At Meets Grade Level or Above,2019,48%,49%,35%,29%,36%,40%,21%,73%,*,43%,13%,15%,37%,31%,34%,30%
,2018,46%,47%,32%,26%,33%,36%,11%,67%,38%,38%,13%,23%,34%,28%,31%,27%
At Masters Grade Level,2019,21%,22%,11%,7%,12%,14%,0%,42%,*,11%,4%,0%,12%,9%,11%,11%
,2018,19%,20%,11%,7%,12%,13%,0%,30%,13%,11%,3%,3%,11%,9%,10%,11%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,75%,66%,78%,74%,40%,100%,-,77%,40%,77%,77%,71%,74%,77%
,2018,81%,82%,71%,63%,73%,73%,57%,95%,71%,75%,37%,74%,73%,68%,71%,72%
At Meets Grade Level or Above,2019,52%,53%,38%,28%,41%,40%,20%,72%,-,44%,19%,38%,40%,33%,37%,39%
,2018,50%,51%,34%,24%,37%,33%,43%,68%,29%,45%,17%,31%,37%,29%,34%,36%
At Masters Grade Level,2019,26%,28%,15%,9%,17%,16%,0%,44%,-,21%,6%,13%,16%,13%,15%,17%
,2018,24%,25%,13%,7%,15%,13%,14%,47%,14%,13%,7%,16%,14%,10%,13%,14%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,55%,50%,56%,51%,*,100%,-,54%,17%,38%,57%,49%,54%,54%
,2018,66%,66%,49%,42%,50%,51%,*,57%,*,60%,13%,36%,50%,45%,48%,50%
At Meets Grade Level or Above,2019,38%,39%,22%,17%,23%,14%,*,71%,-,23%,13%,6%,23%,19%,21%,19%
,2018,41%,42%,23%,18%,24%,20%,*,43%,*,27%,8%,0%,24%,20%,23%,23%
At Masters Grade Level,2019,14%,15%,5%,5%,6%,1%,*,29%,-,0%,5%,0%,6%,4%,5%,5%
,2018,13%,13%,3%,2%,3%,5%,*,0%,*,7%,1%,0%,4%,3%,3%,3%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,74%,66%,76%,85%,*,83%,*,80%,40%,75%,77%,67%,72%,72%
,2018,80%,80%,69%,64%,70%,79%,*,100%,*,82%,32%,60%,72%,64%,68%,63%
At Meets Grade Level or Above,2019,54%,55%,37%,28%,38%,50%,*,67%,*,56%,13%,29%,40%,30%,36%,33%
,2018,51%,52%,34%,27%,35%,47%,*,88%,*,59%,17%,20%,38%,26%,33%,27%
At Masters Grade Level,2019,25%,27%,11%,5%,13%,17%,*,42%,*,24%,5%,4%,13%,8%,11%,10%
,2018,23%,24%,11%,6%,12%,19%,*,50%,*,24%,6%,4%,13%,7%,11%,8%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,66%,61%,66%,88%,*,80%,*,100%,27%,67%,69%,60%,65%,58%
,2018,78%,79%,66%,60%,67%,81%,*,100%,*,92%,35%,25%,68%,62%,66%,54%
At Meets Grade Level or Above,2019,55%,57%,28%,23%,28%,48%,*,80%,*,43%,7%,8%,30%,25%,27%,20%
,2018,53%,54%,30%,27%,30%,40%,*,40%,*,50%,14%,0%,33%,23%,30%,16%
At Masters Grade Level,2019,33%,36%,13%,9%,12%,33%,*,80%,*,29%,3%,0%,14%,10%,12%,7%
,2018,31%,32%,11%,7%,11%,18%,*,20%,*,17%,3%,0%,11%,9%,10%,5%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,26%,17%,28%,42%,*,*,-,8%,15%,29%,27%,24%,24%,28%
,2018,34%,34%,23%,13%,24%,28%,*,80%,-,13%,21%,0%,25%,19%,22%,22%
Reading and Mathematics Including EOC,2019,35%,36%,26%,17%,28%,42%,*,*,-,8%,15%,29%,27%,24%,24%,28%
,2018,34%,34%,23%,13%,24%,28%,*,80%,-,13%,21%,0%,25%,19%,22%,22%
Reading Including EOC,2019,45%,45%,33%,24%,35%,42%,*,*,-,15%,16%,29%,33%,33%,30%,34%
,2018,43%,44%,33%,26%,33%,39%,*,80%,-,13%,23%,10%,34%,29%,31%,29%
Math Including EOC,2019,49%,48%,38%,24%,41%,58%,*,*,-,15%,18%,29%,40%,34%,36%,42%
,2018,47%,48%,38%,23%,41%,42%,*,80%,-,63%,26%,50%,41%,31%,38%,37%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,24%,9%,28%,14%,*,80%,-,13%,14%,18%,28%,16%,23%,24%
,2018,36%,37%,27%,16%,30%,25%,*,40%,-,20%,11%,20%,29%,24%,27%,30%
Reading and Mathematics Including EOC,2019,35%,36%,24%,9%,28%,14%,*,80%,-,13%,14%,18%,28%,16%,23%,24%
,2018,36%,37%,27%,16%,30%,25%,*,40%,-,20%,11%,20%,29%,24%,27%,30%
Reading Including EOC,2019,44%,45%,32%,21%,36%,19%,*,80%,-,25%,15%,18%,36%,25%,31%,30%
,2018,46%,46%,36%,28%,38%,39%,*,40%,-,40%,16%,30%,38%,32%,36%,36%
Math Including EOC,2019,48%,49%,40%,21%,44%,37%,*,80%,-,50%,21%,64%,46%,29%,39%,42%
