Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING ISD (101919) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Approaches Grade Level or Above,2019,68%,69%,57%,51%,58%,71%,61%,67%,55%,77%,21%,25%,60%,49%,56%,32%
,2018,67%,67%,54%,49%,55%,67%,53%,75%,60%,88%,19%,51%,59%,44%,53%,35%
At Meets Grade Level or Above,2019,49%,50%,36%,29%,38%,54%,33%,54%,27%,62%,13%,8%,39%,29%,36%,13%
,2018,48%,48%,33%,26%,34%,52%,30%,61%,40%,66%,10%,24%,36%,26%,32%,16%
At Masters Grade Level,2019,8%,9%,3%,2%,3%,7%,3%,2%,0%,3%,2%,0%,3%,2%,3%,0%
,2018,8%,9%,2%,2%,2%,5%,0%,18%,10%,6%,3%,0%,3%,2%,2%,0%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,67%,63%,69%,69%,75%,89%,57%,63%,37%,58%,71%,59%,67%,60%
,2018,83%,83%,70%,65%,72%,79%,72%,87%,67%,95%,38%,54%,74%,63%,70%,65%
At Meets Grade Level or Above,2019,61%,61%,32%,25%,34%,34%,46%,74%,43%,50%,12%,16%,36%,23%,31%,24%
,2018,55%,55%,31%,25%,32%,44%,36%,63%,33%,49%,13%,16%,34%,23%,30%,27%
At Masters Grade Level,2019,37%,38%,14%,10%,16%,18%,21%,54%,29%,31%,3%,7%,17%,9%,14%,8%
,2018,32%,34%,13%,9%,14%,21%,20%,43%,25%,20%,3%,8%,15%,9%,13%,12%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,76%,73%,77%,90%,73%,95%,63%,87%,45%,67%,79%,70%,76%,67%
,2018,87%,86%,75%,71%,76%,87%,61%,93%,67%,97%,43%,63%,78%,69%,75%,65%
