Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CROSBY ISD (101906) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,67%,67%,69%,56%,70%,74%,*,*,-,100%,29%,80%,71%,66%,64%,46%
At Meets Grade Level or Above,2019,49%,50%,46%,35%,39%,58%,*,60%,-,57%,13%,*,48%,42%,34%,10%
,2018,48%,48%,45%,30%,43%,54%,*,*,-,44%,20%,60%,49%,37%,35%,10%
At Masters Grade Level,2019,8%,9%,7%,2%,5%,10%,*,20%,-,14%,10%,*,8%,4%,3%,0%
,2018,8%,9%,4%,2%,5%,4%,*,*,-,11%,7%,20%,5%,3%,3%,2%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,92%,84%,94%,93%,*,*,-,100%,70%,90%,93%,90%,88%,93%
,2018,83%,83%,88%,82%,86%,91%,*,*,-,100%,59%,71%,89%,84%,85%,81%
At Meets Grade Level or Above,2019,61%,61%,73%,55%,73%,80%,*,*,-,88%,35%,70%,76%,66%,66%,67%
,2018,55%,55%,57%,46%,51%,65%,*,*,-,78%,17%,57%,60%,51%,50%,39%
At Masters Grade Level,2019,37%,38%,34%,21%,32%,42%,*,*,-,38%,3%,30%,36%,31%,25%,33%
,2018,32%,34%,24%,19%,21%,28%,*,*,-,22%,5%,29%,27%,18%,19%,7%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,90%,83%,89%,93%,*,*,-,100%,75%,80%,92%,84%,85%,83%
