Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF EXCELLENCE (101858) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2019,51%,52%,38%,38%,36%,52%,*,41%,-,67%,27%,*,36%,40%,36%,31%
,2018,52%,53%,28%,18%,27%,35%,-,36%,-,63%,25%,*,29%,27%,23%,17%
At Masters Grade Level,2019,25%,27%,10%,14%,9%,12%,*,9%,-,17%,12%,*,13%,8%,11%,6%
,2018,28%,29%,7%,5%,6%,14%,-,5%,-,25%,7%,*,5%,8%,6%,3%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,78%,74%,73%,88%,*,95%,*,90%,38%,*,85%,71%,73%,71%
,2018,65%,66%,77%,75%,69%,82%,*,96%,-,91%,37%,60%,88%,68%,71%,62%
At Meets Grade Level or Above,2019,37%,38%,43%,39%,33%,52%,*,77%,*,80%,19%,*,55%,30%,36%,27%
,2018,36%,37%,47%,38%,38%,44%,*,79%,-,73%,27%,20%,59%,37%,38%,26%
At Masters Grade Level,2019,21%,23%,26%,22%,17%,31%,*,63%,*,50%,19%,*,36%,17%,21%,11%
,2018,21%,22%,25%,23%,18%,26%,*,48%,-,36%,10%,20%,34%,19%,19%,9%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,80%,83%,77%,71%,-,96%,*,78%,33%,80%,84%,75%,77%,65%
,2018,65%,65%,79%,77%,77%,87%,*,85%,-,*,25%,20%,84%,73%,76%,56%
At Meets Grade Level or Above,2019,50%,50%,65%,69%,60%,58%,-,84%,*,67%,17%,20%,70%,57%,61%,40%
,2018,44%,45%,57%,50%,50%,77%,*,75%,-,*,16%,20%,60%,52%,51%,25%
At Masters Grade Level,2019,11%,11%,15%,19%,7%,33%,-,27%,*,33%,7%,0%,16%,12%,10%,1%
,2018,7%,8%,10%,8%,6%,19%,*,25%,-,*,6%,0%,12%,8%,7%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,84%,91%,78%,100%,-,93%,-,*,39%,*,85%,82%,82%,63%
,2018,67%,67%,79%,77%,74%,90%,*,89%,-,80%,20%,*,85%,68%,74%,55%
At Meets Grade Level or Above,2019,49%,50%,65%,68%,57%,94%,-,83%,-,*,18%,*,69%,56%,60%,31%
,2018,48%,48%,66%,66%,60%,71%,*,82%,-,60%,13%,*,70%,59%,60%,34%
At Masters Grade Level,2019,8%,9%,15%,9%,11%,33%,-,26%,-,*,6%,*,15%,12%,11%,2%
,2018,8%,9%,11%,2%,6%,19%,*,30%,-,0%,3%,*,14%,4%,5%,0%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,94%,98%,93%,80%,-,100%,*,100%,61%,*,97%,91%,93%,93%
,2018,83%,83%,95%,93%,93%,98%,*,100%,*,*,66%,75%,97%,92%,94%,91%
At Meets Grade Level or Above,2019,61%,61%,83%,83%,81%,72%,-,94%,*,89%,30%,*,88%,76%,78%,80%
,2018,55%,55%,80%,70%,75%,89%,*,97%,*,*,31%,63%,86%,73%,77%,72%
At Masters Grade Level,2019,37%,38%,63%,61%,56%,64%,-,89%,*,56%,17%,*,69%,55%,57%,55%
,2018,32%,34%,59%,43%,49%,78%,*,85%,*,*,24%,38%,65%,51%,53%,43%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,95%,96%,94%,88%,-,98%,*,100%,67%,*,96%,94%,96%,92%
,2018,87%,86%,96%,96%,94%,98%,*,99%,*,100%,71%,86%,96%,96%,96%,92%
At Meets Grade Level or Above,2019,62%,63%,75%,81%,68%,77%,-,88%,*,89%,25%,*,81%,68%,69%,60%
,2018,59%,60%,76%,68%,70%,86%,*,93%,*,80%,26%,29%,80%,71%,73%,52%
At Masters Grade Level,2019,25%,28%,42%,42%,26%,58%,-,80%,*,67%,13%,*,49%,34%,33%,22%
,2018,24%,26%,29%,23%,18%,41%,*,51%,*,40%,6%,14%,32%,25%,20%,13%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,97%,100%,95%,100%,-,100%,-,*,84%,*,97%,96%,95%,90%
,2018,92%,91%,98%,97%,97%,100%,-,100%,-,100%,77%,-,98%,96%,98%,93%
At Meets Grade Level or Above,2019,73%,75%,86%,83%,80%,100%,-,97%,-,*,37%,*,87%,82%,81%,80%
,2018,70%,71%,87%,92%,81%,96%,-,97%,-,86%,46%,-,86%,89%,84%,71%
At Masters Grade Level,2019,45%,49%,54%,57%,45%,69%,-,67%,-,*,11%,*,55%,46%,44%,30%
,2018,40%,43%,56%,59%,47%,72%,-,72%,-,71%,23%,-,59%,48%,50%,25%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,82%,80%,78%,90%,62%,95%,78%,91%,47%,66%,85%,78%,78%,77%
,2018,77%,77%,81%,79%,77%,84%,88%,94%,*,87%,46%,68%,85%,78%,77%,75%
At Meets Grade Level or Above,2019,50%,51%,54%,50%,47%,67%,33%,79%,33%,64%,22%,35%,60%,47%,47%,44%
,2018,48%,49%,53%,47%,46%,56%,53%,78%,*,59%,24%,34%,60%,47%,45%,40%
At Masters Grade Level,2019,24%,25%,28%,24%,20%,41%,5%,55%,11%,33%,11%,14%,33%,23%,21%,20%
,2018,22%,23%,25%,20%,19%,27%,29%,51%,*,28%,9%,12%,31%,20%,19%,16%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,82%,81%,77%,90%,67%,94%,*,90%,43%,67%,85%,79%,78%,75%
