Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
GOOSE CREEK CISD (101911) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,54%,54%,43%,36%,41%,52%,40%,79%,*,44%,15%,34%,44%,39%,37%,40%
At Masters Grade Level,2021,30%,31%,24%,13%,22%,36%,17%,52%,-,31%,3%,17%,24%,23%,19%,21%
,2019,29%,30%,21%,17%,19%,29%,40%,50%,*,22%,4%,14%,22%,17%,16%,18%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,71%,58%,72%,74%,50%,91%,-,69%,41%,83%,72%,67%,68%,74%
,2019,90%,89%,87%,83%,88%,92%,80%,96%,*,72%,60%,83%,89%,82%,86%,89%
At Meets Grade Level or Above,2021,44%,45%,42%,29%,42%,46%,33%,83%,-,50%,18%,43%,43%,38%,38%,42%
,2019,58%,59%,51%,42%,51%,57%,60%,86%,*,50%,22%,52%,53%,46%,46%,56%
At Masters Grade Level,2021,25%,26%,23%,12%,23%,25%,0%,61%,-,31%,6%,17%,24%,17%,19%,22%
,2019,36%,38%,29%,18%,29%,36%,60%,71%,*,28%,5%,24%,31%,25%,25%,34%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,66%,52%,66%,76%,50%,91%,-,72%,33%,57%,68%,63%,63%,65%
,2019,75%,75%,76%,68%,75%,83%,100%,93%,*,71%,36%,79%,78%,69%,73%,75%
At Meets Grade Level or Above,2021,31%,32%,32%,19%,31%,44%,33%,74%,-,39%,18%,26%,33%,31%,28%,31%
,2019,49%,50%,51%,42%,49%,66%,60%,82%,*,46%,20%,52%,53%,45%,45%,48%
At Masters Grade Level,2021,13%,14%,12%,7%,10%,21%,0%,52%,-,22%,4%,13%,13%,10%,9%,11%
,2019,24%,25%,24%,15%,22%,34%,40%,54%,*,31%,5%,21%,25%,21%,19%,24%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,54%,47%,54%,59%,60%,88%,*,59%,18%,64%,55%,49%,50%,47%
,2019,68%,69%,64%,54%,63%,73%,*,87%,*,80%,26%,47%,66%,58%,59%,59%
At Meets Grade Level or Above,2021,32%,34%,25%,19%,25%,29%,0%,56%,*,24%,11%,21%,27%,19%,21%,19%
,2019,37%,38%,32%,24%,29%,41%,*,57%,*,46%,15%,18%,33%,26%,27%,23%
At Masters Grade Level,2021,15%,16%,9%,6%,9%,12%,0%,38%,*,7%,3%,11%,10%,5%,7%,6%
,2019,18%,19%,11%,9%,10%,17%,*,20%,*,11%,3%,3%,12%,10%,9%,6%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,67%,55%,69%,70%,60%,81%,*,64%,37%,71%,68%,63%,63%,65%
,2019,81%,81%,80%,75%,80%,82%,*,93%,*,86%,40%,76%,82%,74%,77%,78%
At Meets Grade Level or Above,2021,36%,37%,36%,26%,36%,43%,20%,69%,*,32%,16%,46%,38%,26%,30%,32%
,2019,47%,48%,48%,35%,46%,57%,*,90%,*,54%,19%,38%,50%,39%,43%,43%
At Masters Grade Level,2021,15%,17%,15%,8%,15%,19%,0%,44%,*,11%,3%,32%,16%,10%,12%,13%
,2019,21%,22%,20%,11%,19%,24%,*,80%,*,31%,4%,12%,21%,16%,17%,18%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,61%,53%,60%,67%,*,90%,*,63%,25%,54%,64%,51%,57%,53%
,2019,76%,77%,70%,63%,68%,80%,*,96%,*,80%,30%,70%,72%,65%,65%,58%
At Meets Grade Level or Above,2021,45%,47%,35%,27%,34%,40%,*,81%,*,48%,13%,17%,37%,27%,29%,26%
,2019,49%,51%,42%,34%,40%,53%,*,77%,*,57%,13%,43%,45%,34%,37%,30%
At Masters Grade Level,2021,25%,27%,17%,16%,16%,17%,*,52%,*,30%,3%,4%,18%,11%,13%,10%
,2019,29%,31%,21%,18%,19%,26%,*,54%,*,31%,3%,37%,22%,17%,17%,12%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,61%,52%,60%,70%,80%,96%,*,48%,29%,50%,64%,50%,56%,55%
,2019,75%,77%,78%,66%,78%,86%,*,88%,*,86%,47%,87%,80%,70%,74%,73%
At Meets Grade Level or Above,2021,27%,29%,32%,24%,31%,38%,60%,74%,*,33%,13%,17%,34%,22%,26%,24%
