Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ALDINE ISD (101902) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,21%,22%,10%,8%,10%,10%,33%,39%,22%,15%,4%,8%,11%,6%,9%,6%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,57%,51%,59%,57%,40%,82%,73%,59%,19%,47%,61%,46%,57%,33%
,2018,65%,65%,52%,47%,53%,51%,*,74%,45%,66%,20%,39%,56%,40%,51%,36%
At Meets Grade Level or Above,2019,50%,50%,34%,28%,36%,33%,20%,67%,33%,43%,12%,17%,38%,25%,33%,12%
,2018,44%,45%,27%,21%,29%,31%,*,52%,9%,55%,12%,18%,30%,19%,27%,14%
At Masters Grade Level,2019,11%,11%,4%,3%,4%,2%,0%,34%,7%,3%,1%,0%,5%,1%,3%,0%
,2018,7%,8%,2%,2%,2%,3%,*,15%,0%,3%,2%,2%,3%,1%,2%,0%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,58%,56%,58%,63%,*,76%,73%,77%,22%,43%,63%,44%,57%,31%
,2018,67%,67%,56%,53%,57%,62%,50%,70%,33%,82%,21%,26%,61%,41%,56%,33%
At Meets Grade Level or Above,2019,49%,50%,35%,31%,35%,43%,*,60%,55%,57%,15%,24%,39%,23%,34%,10%
,2018,48%,48%,31%,28%,32%,44%,17%,52%,25%,50%,12%,18%,35%,21%,31%,12%
At Masters Grade Level,2019,8%,9%,2%,2%,2%,3%,*,14%,9%,0%,4%,0%,3%,1%,2%,0%
,2018,8%,9%,2%,1%,2%,6%,0%,13%,8%,14%,3%,0%,2%,1%,2%,0%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,78%,67%,81%,70%,*,98%,71%,82%,39%,73%,81%,68%,77%,68%
,2018,83%,83%,78%,70%,80%,80%,*,94%,91%,71%,41%,63%,82%,69%,78%,75%
At Meets Grade Level or Above,2019,61%,61%,46%,30%,50%,51%,*,75%,43%,56%,19%,33%,51%,31%,45%,29%
,2018,55%,55%,40%,29%,43%,37%,*,81%,45%,25%,13%,26%,46%,24%,40%,32%
At Masters Grade Level,2019,37%,38%,24%,12%,27%,33%,*,58%,29%,24%,7%,14%,27%,14%,23%,12%
,2018,32%,34%,18%,12%,20%,17%,*,65%,36%,0%,4%,15%,22%,9%,18%,12%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,82%,80%,82%,85%,*,95%,100%,97%,46%,71%,85%,74%,82%,66%
,2018,87%,86%,81%,79%,81%,74%,*,95%,100%,93%,49%,71%,84%,72%,81%,71%
At Meets Grade Level or Above,2019,62%,63%,49%,45%,50%,54%,*,83%,78%,70%,21%,38%,54%,35%,48%,22%
,2018,59%,60%,44%,37%,46%,48%,*,81%,44%,63%,17%,32%,50%,29%,44%,28%
At Masters Grade Level,2019,25%,28%,13%,9%,14%,20%,*,47%,11%,12%,3%,7%,15%,7%,12%,3%
,2018,24%,26%,11%,8%,11%,19%,*,37%,11%,15%,3%,5%,13%,6%,11%,4%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,90%,90%,91%,83%,80%,95%,100%,91%,64%,95%,92%,83%,90%,75%
,2018,92%,91%,88%,85%,89%,88%,*,96%,90%,92%,54%,83%,90%,80%,88%,75%
At Meets Grade Level or Above,2019,73%,75%,65%,61%,66%,73%,80%,81%,80%,83%,37%,47%,69%,50%,64%,30%
,2018,70%,71%,61%,52%,63%,71%,*,85%,80%,69%,29%,52%,65%,47%,60%,33%
At Masters Grade Level,2019,45%,49%,34%,29%,34%,47%,60%,56%,40%,52%,10%,32%,37%,22%,33%,8%
,2018,40%,43%,29%,20%,31%,36%,*,58%,20%,15%,6%,13%,32%,18%,28%,11%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,70%,62%,72%,72%,72%,90%,71%,72%,34%,58%,72%,62%,69%,62%
,2018,77%,77%,69%,62%,70%,70%,65%,87%,73%,70%,35%,55%,72%,60%,68%,66%
At Meets Grade Level or Above,2019,50%,51%,36%,29%,38%,43%,37%,69%,39%,41%,19%,22%,39%,29%,35%,27%
,2018,48%,49%,35%,28%,36%,42%,39%,66%,39%,40%,20%,23%,38%,27%,34%,31%
At Masters Grade Level,2019,24%,25%,13%,9%,14%,19%,15%,39%,13%,14%,5%,8%,14%,9%,12%,9%
,2018,22%,23%,12%,8%,12%,16%,19%,37%,19%,14%,5%,8%,13%,8%,11%,10%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,65%,60%,67%,70%,68%,86%,71%,71%,29%,53%,68%,57%,65%,56%
,2018,74%,74%,64%,58%,65%,68%,68%,81%,65%,70%,29%,49%,67%,54%,64%,60%
At Meets Grade Level or Above,2019,48%,49%,34%,29%,34%,41%,41%,64%,39%,41%,17%,19%,36%,27%,32%,22%
,2018,46%,47%,31%,27%,32%,42%,32%,57%,30%,43%,18%,19%,33%,25%,31%,26%
At Masters Grade Level,2019,21%,22%,10%,8%,11%,17%,12%,30%,11%,12%,4%,6%,11%,8%,10%,7%
,2018,19%,20%,9%,7%,10%,14%,16%,30%,16%,19%,4%,7%,10%,7%,9%,9%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,77%,67%,79%,76%,80%,95%,76%,69%,41%,70%,79%,69%,76%,75%
,2018,81%,82%,77%,68%,80%,77%,69%,93%,82%,72%,43%,68%,80%,69%,77%,79%
At Meets Grade Level or Above,2019,52%,53%,41%,29%,44%,44%,40%,78%,45%,37%,21%,30%,44%,32%,40%,38%
,2018,50%,51%,40%,28%,43%,44%,44%,74%,47%,38%,22%,31%,43%,31%,40%,41%
At Masters Grade Level,2019,26%,28%,17%,9%,18%,20%,17%,49%,20%,15%,7%,11%,18%,12%,16%,16%
,2018,24%,25%,15%,9%,17%,17%,19%,48%,25%,10%,6%,11%,17%,11%,15%,16%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,58%,49%,60%,60%,64%,85%,55%,52%,22%,35%,61%,51%,57%,52%
,2018,66%,66%,54%,47%,56%,55%,63%,83%,40%,58%,23%,34%,57%,47%,54%,55%
At Meets Grade Level or Above,2019,38%,39%,24%,19%,25%,34%,14%,66%,15%,24%,15%,10%,25%,20%,23%,18%
,2018,41%,42%,25%,20%,26%,36%,50%,55%,20%,27%,16%,10%,27%,20%,25%,24%
At Masters Grade Level,2019,14%,15%,6%,4%,6%,13%,7%,32%,0%,9%,3%,2%,6%,6%,5%,4%
,2018,13%,13%,5%,4%,5%,6%,13%,16%,10%,2%,5%,4%,5%,3%,4%,4%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,72%,66%,73%,76%,83%,90%,76%,87%,38%,57%,75%,64%,71%,60%
,2018,80%,80%,70%,65%,72%,68%,54%,88%,85%,72%,39%,55%,73%,62%,70%,66%
At Meets Grade Level or Above,2019,54%,55%,38%,31%,40%,48%,33%,69%,43%,53%,19%,24%,42%,29%,37%,23%
,2018,51%,52%,35%,27%,36%,39%,46%,73%,38%,43%,19%,20%,38%,25%,34%,27%
At Masters Grade Level,2019,25%,27%,11%,8%,11%,19%,17%,39%,10%,12%,5%,5%,12%,7%,10%,5%
,2018,23%,24%,10%,7%,10%,17%,23%,40%,19%,16%,4%,4%,12%,6%,10%,6%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,72%,68%,73%,78%,50%,93%,69%,89%,46%,52%,75%,62%,71%,50%
,2018,78%,79%,70%,68%,70%,69%,57%,90%,74%,75%,41%,52%,73%,61%,69%,54%
At Meets Grade Level or Above,2019,55%,57%,43%,39%,43%,59%,50%,67%,38%,64%,28%,15%,46%,32%,41%,17%
,2018,53%,54%,41%,36%,41%,48%,29%,73%,53%,43%,25%,25%,44%,30%,40%,21%
At Masters Grade Level,2019,33%,36%,22%,19%,22%,34%,38%,49%,15%,36%,9%,11%,24%,14%,21%,5%
,2018,31%,32%,19%,14%,20%,23%,29%,50%,21%,15%,5%,10%,21%,12%,18%,7%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,22%,16%,23%,28%,*,47%,11%,28%,16%,14%,23%,19%,21%,23%
,2018,34%,34%,20%,18%,20%,36%,*,55%,33%,21%,18%,16%,21%,20%,20%,20%
Reading and Mathematics Including EOC,2019,35%,36%,22%,16%,23%,28%,*,47%,11%,28%,16%,14%,23%,19%,21%,23%
,2018,34%,34%,20%,18%,20%,36%,*,55%,33%,21%,18%,16%,21%,20%,20%,20%
Reading Including EOC,2019,45%,45%,30%,26%,30%,28%,*,49%,11%,38%,20%,17%,30%,29%,28%,30%
,2018,43%,44%,28%,26%,28%,41%,*,63%,40%,34%,20%,20%,28%,28%,27%,28%
Math Including EOC,2019,49%,48%,39%,27%,42%,41%,*,72%,33%,43%,23%,34%,41%,30%,38%,43%
,2018,47%,48%,39%,30%,41%,49%,*,69%,73%,41%,26%,38%,40%,34%,39%,42%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,23%,14%,24%,24%,13%,68%,29%,19%,16%,17%,24%,19%,22%,22%
,2018,36%,37%,24%,20%,25%,35%,*,57%,*,34%,19%,18%,25%,21%,23%,24%
Reading and Mathematics Including EOC,2019,35%,36%,23%,14%,24%,24%,13%,68%,29%,19%,16%,17%,24%,19%,22%,22%
,2018,36%,37%,24%,20%,25%,35%,*,57%,*,34%,19%,18%,25%,21%,23%,24%
Reading Including EOC,2019,44%,45%,31%,22%,32%,34%,38%,70%,43%,35%,18%,21%,32%,27%,30%,29%
,2018,46%,46%,32%,29%,32%,42%,*,61%,*,41%,21%,24%,33%,29%,31%,31%
Math Including EOC,2019,48%,49%,39%,23%,43%,36%,13%,80%,57%,26%,24%,36%,41%,32%,38%,43%
,2018,49%,51%,44%,33%,47%,45%,40%,71%,*,42%,27%,35%,47%,38%,44%,48%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,29%,23%,31%,29%,60%,55%,*,29%,17%,17%,32%,23%,29%,26%
,2018,44%,44%,28%,22%,29%,34%,*,53%,71%,22%,22%,17%,30%,21%,27%,29%
Reading and Mathematics Including EOC,2019,44%,44%,29%,23%,31%,29%,60%,55%,*,29%,17%,17%,32%,23%,29%,26%
,2018,44%,44%,28%,22%,29%,34%,*,53%,71%,22%,22%,17%,30%,21%,27%,29%
Reading Including EOC,2019,54%,54%,38%,34%,39%,42%,60%,62%,*,32%,21%,24%,39%,35%,37%,33%
,2018,54%,54%,36%,31%,37%,43%,*,55%,71%,33%,24%,22%,38%,30%,35%,36%
Math Including EOC,2019,58%,59%,51%,38%,54%,46%,100%,76%,*,32%,24%,43%,54%,41%,50%,53%
,2018,58%,59%,47%,34%,50%,52%,60%,74%,63%,36%,27%,37%,51%,37%,46%,52%
6th Graders,,,,,,,,,,,,,,,,,
