Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
KLEIN ISD (101915) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,54%,54%,58%,46%,48%,71%,64%,76%,*,66%,28%,53%,61%,51%,45%,44%
At Masters Grade Level,2021,30%,31%,37%,25%,30%,50%,60%,53%,*,38%,11%,29%,40%,29%,26%,28%
,2019,29%,30%,34%,22%,25%,45%,36%,54%,*,44%,8%,30%,37%,26%,21%,23%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,81%,69%,78%,89%,80%,94%,*,81%,59%,87%,84%,75%,74%,80%
,2019,90%,89%,93%,89%,92%,96%,100%,100%,*,91%,75%,96%,95%,91%,89%,92%
At Meets Grade Level or Above,2021,44%,45%,55%,37%,48%,67%,80%,78%,*,58%,30%,58%,58%,45%,43%,51%
,2019,58%,59%,66%,49%,59%,77%,55%,89%,*,68%,36%,71%,70%,57%,54%,60%
At Masters Grade Level,2021,25%,26%,32%,16%,26%,44%,50%,55%,*,38%,11%,34%,36%,23%,22%,29%
,2019,36%,38%,44%,26%,36%,56%,18%,69%,*,44%,15%,49%,48%,35%,31%,38%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,72%,58%,65%,86%,80%,84%,*,76%,44%,71%,75%,64%,60%,62%
,2019,75%,75%,78%,66%,71%,91%,73%,91%,*,82%,46%,81%,81%,72%,68%,70%
At Meets Grade Level or Above,2021,31%,32%,39%,24%,30%,57%,70%,57%,*,41%,23%,45%,43%,29%,25%,29%
,2019,49%,50%,54%,33%,44%,70%,27%,76%,*,57%,27%,54%,59%,44%,38%,42%
At Masters Grade Level,2021,13%,14%,17%,6%,10%,29%,40%,30%,*,22%,6%,13%,20%,9%,8%,10%
,2019,24%,25%,29%,12%,20%,44%,18%,47%,*,37%,12%,38%,33%,22%,17%,19%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,68%,57%,60%,81%,38%,86%,*,72%,34%,74%,72%,59%,58%,57%
,2019,68%,69%,73%,60%,65%,85%,58%,86%,80%,83%,32%,71%,75%,66%,59%,58%
At Meets Grade Level or Above,2021,32%,34%,37%,28%,27%,52%,13%,57%,*,44%,19%,38%,40%,29%,26%,24%
,2019,37%,38%,43%,30%,33%,58%,50%,61%,40%,53%,19%,42%,46%,36%,29%,26%
At Masters Grade Level,2021,15%,16%,16%,10%,11%,25%,13%,26%,*,17%,6%,12%,18%,11%,9%,8%
,2019,18%,19%,21%,13%,15%,30%,17%,36%,0%,23%,7%,21%,23%,16%,13%,11%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,73%,59%,70%,83%,75%,90%,*,80%,48%,83%,76%,67%,66%,69%
,2019,81%,81%,83%,73%,79%,89%,82%,96%,80%,86%,54%,93%,86%,76%,75%,78%
At Meets Grade Level or Above,2021,36%,37%,35%,23%,29%,47%,0%,59%,*,42%,23%,35%,38%,28%,25%,28%
,2019,47%,48%,47%,36%,39%,59%,55%,74%,40%,59%,23%,50%,51%,40%,36%,39%
At Masters Grade Level,2021,15%,17%,12%,7%,8%,19%,0%,27%,*,13%,5%,23%,13%,10%,7%,8%
,2019,21%,22%,17%,8%,12%,23%,18%,42%,0%,18%,7%,18%,19%,13%,11%,14%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,75%,62%,69%,85%,88%,89%,43%,77%,35%,75%,77%,68%,64%,59%
,2019,76%,77%,80%,70%,75%,89%,67%,92%,*,84%,36%,77%,83%,72%,71%,68%
At Meets Grade Level or Above,2021,45%,47%,51%,34%,42%,65%,50%,70%,14%,60%,21%,51%,54%,41%,38%,31%
,2019,49%,51%,55%,40%,46%,69%,33%,76%,*,63%,20%,38%,60%,44%,41%,38%
At Masters Grade Level,2021,25%,27%,29%,17%,21%,41%,50%,46%,14%,37%,8%,33%,31%,23%,19%,14%
,2019,29%,31%,34%,21%,25%,45%,33%,60%,*,42%,7%,17%,38%,24%,21%,18%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,64%,46%,56%,78%,63%,88%,71%,69%,32%,63%,68%,55%,51%,53%
,2019,75%,77%,82%,69%,78%,90%,80%,97%,*,84%,41%,84%,85%,75%,73%,74%
