Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,27%,29%,7%,4%,7%,12%,*,*,-,*,12%,0%,7%,7%,6%,6%
,2019,43%,46%,23%,26%,22%,26%,0%,*,-,43%,18%,21%,22%,24%,22%,20%
At Masters Grade Level,2021,12%,13%,1%,0%,1%,0%,*,*,-,*,4%,0%,1%,2%,1%,2%
,2019,17%,18%,2%,2%,2%,2%,0%,*,-,0%,1%,0%,1%,4%,2%,2%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,56%,52%,56%,59%,*,100%,-,88%,18%,29%,60%,46%,53%,52%
,2019,70%,72%,70%,72%,69%,66%,80%,100%,*,67%,29%,55%,72%,62%,67%,68%
At Meets Grade Level or Above,2021,33%,34%,24%,22%,23%,28%,*,50%,-,50%,11%,12%,26%,17%,21%,20%
,2019,42%,43%,34%,31%,34%,38%,60%,85%,*,44%,14%,20%,37%,27%,32%,30%
At Masters Grade Level,2021,10%,10%,5%,4%,5%,3%,*,13%,-,0%,2%,0%,6%,2%,3%,3%
,2019,18%,19%,10%,8%,10%,11%,0%,38%,*,11%,4%,5%,11%,7%,9%,8%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,70%,70%,69%,68%,*,100%,-,100%,31%,57%,73%,58%,68%,63%
,2019,86%,86%,84%,84%,84%,85%,100%,92%,-,91%,42%,77%,86%,77%,83%,81%
At Meets Grade Level or Above,2021,46%,48%,36%,32%,37%,30%,*,86%,-,43%,11%,36%,39%,28%,34%,30%
,2019,55%,56%,47%,48%,46%,52%,83%,75%,-,55%,16%,32%,51%,35%,45%,40%
At Masters Grade Level,2021,21%,22%,12%,12%,12%,14%,*,43%,-,29%,1%,7%,14%,7%,11%,9%
,2019,28%,30%,22%,19%,22%,30%,33%,50%,-,27%,8%,14%,24%,14%,20%,18%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,65%,58%,65%,67%,*,100%,-,89%,31%,53%,68%,55%,63%,63%
,2019,88%,88%,91%,91%,91%,90%,*,94%,*,89%,53%,92%,92%,90%,91%,91%
At Meets Grade Level or Above,2021,36%,37%,38%,31%,38%,43%,*,100%,-,67%,15%,27%,41%,28%,35%,37%
,2019,57%,58%,63%,63%,63%,48%,*,94%,*,56%,18%,58%,66%,54%,62%,62%
At Masters Grade Level,2021,11%,11%,9%,7%,9%,15%,*,50%,-,0%,1%,7%,11%,6%,8%,9%
,2019,17%,18%,15%,13%,15%,8%,*,56%,*,22%,5%,15%,15%,12%,14%,13%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,63%,63%,63%,59%,*,100%,-,100%,30%,54%,66%,51%,61%,57%
,2019,81%,81%,80%,76%,81%,88%,100%,92%,-,91%,37%,82%,83%,72%,79%,78%
At Meets Grade Level or Above,2021,43%,45%,37%,32%,37%,39%,*,71%,-,83%,17%,31%,39%,27%,34%,31%
,2019,51%,52%,48%,42%,49%,59%,67%,83%,-,55%,21%,45%,53%,36%,46%,43%
At Masters Grade Level,2021,24%,25%,16%,14%,16%,22%,*,57%,-,17%,2%,15%,18%,10%,14%,12%
