Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CYPRESS-FAIRBANKS ISD (101907) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,8%,9%,12%,6%,6%,20%,4%,30%,0%,21%,4%,2%,13%,7%,6%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,93%,88%,92%,97%,92%,99%,100%,97%,73%,90%,95%,88%,91%,89%
,2018,83%,83%,92%,88%,91%,97%,81%,99%,100%,96%,69%,89%,94%,87%,89%,86%
At Meets Grade Level or Above,2019,61%,61%,76%,63%,71%,87%,62%,95%,90%,83%,41%,65%,79%,63%,67%,61%
,2018,55%,55%,72%,59%,66%,85%,62%,94%,71%,83%,35%,64%,76%,60%,63%,54%
At Masters Grade Level,2019,37%,38%,53%,37%,44%,68%,38%,85%,76%,60%,15%,44%,56%,40%,41%,35%
,2018,32%,34%,48%,32%,39%,65%,38%,82%,57%,64%,13%,37%,53%,36%,35%,28%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,94%,90%,91%,98%,88%,98%,100%,97%,73%,86%,95%,88%,91%,85%
,2018,87%,86%,93%,90%,91%,97%,87%,98%,100%,97%,71%,88%,94%,87%,89%,82%
At Meets Grade Level or Above,2019,62%,63%,75%,64%,69%,90%,68%,92%,90%,85%,40%,58%,80%,62%,66%,50%
,2018,59%,60%,72%,61%,65%,88%,63%,92%,78%,84%,34%,64%,77%,59%,62%,42%
At Masters Grade Level,2019,25%,28%,38%,23%,27%,56%,34%,68%,40%,51%,9%,28%,42%,26%,25%,13%
,2018,24%,26%,35%,20%,24%,52%,27%,65%,44%,53%,7%,27%,38%,23%,22%,10%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,97%,94%,96%,99%,90%,98%,100%,99%,83%,88%,98%,92%,95%,87%
,2018,92%,91%,96%,94%,95%,98%,88%,98%,100%,97%,74%,97%,97%,93%,94%,84%
At Meets Grade Level or Above,2019,73%,75%,86%,79%,82%,94%,63%,94%,92%,94%,53%,72%,88%,76%,80%,56%
,2018,70%,71%,83%,76%,78%,92%,76%,93%,100%,87%,43%,78%,85%,73%,76%,51%
At Masters Grade Level,2019,45%,49%,63%,48%,55%,78%,32%,82%,33%,79%,23%,44%,66%,50%,51%,29%
,2018,40%,43%,58%,43%,48%,74%,51%,76%,100%,74%,15%,53%,61%,45%,45%,22%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,84%,76%,81%,92%,77%,95%,92%,89%,53%,80%,86%,77%,78%,76%
,2018,77%,77%,83%,75%,79%,92%,73%,95%,90%,89%,53%,78%,85%,76%,76%,74%
At Meets Grade Level or Above,2019,50%,51%,58%,46%,51%,74%,46%,82%,70%,68%,29%,51%,62%,48%,47%,42%
,2018,48%,49%,57%,44%,49%,73%,45%,81%,65%,67%,29%,49%,60%,47%,45%,40%
At Masters Grade Level,2019,24%,25%,31%,19%,23%,44%,20%,57%,36%,40%,9%,25%,33%,22%,20%,19%
,2018,22%,23%,28%,17%,20%,42%,20%,54%,33%,38%,8%,23%,31%,21%,18%,17%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,82%,73%,78%,91%,75%,93%,90%,88%,46%,76%,84%,74%,75%,72%
,2018,74%,74%,81%,72%,77%,91%,67%,92%,89%,88%,45%,74%,83%,73%,74%,70%
At Meets Grade Level or Above,2019,48%,49%,56%,45%,48%,72%,44%,77%,64%,68%,25%,45%,60%,46%,45%,38%
,2018,46%,47%,55%,42%,46%,71%,41%,77%,57%,67%,25%,43%,58%,46%,43%,37%
At Masters Grade Level,2019,21%,22%,26%,17%,19%,38%,18%,48%,31%,36%,6%,21%,28%,19%,17%,16%
,2018,19%,20%,25%,15%,18%,37%,16%,46%,23%,34%,7%,19%,27%,19%,16%,16%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,86%,78%,84%,94%,81%,97%,96%,90%,61%,85%,88%,81%,81%,82%
,2018,81%,82%,86%,78%,83%,93%,76%,97%,95%,90%,63%,84%,88%,81%,81%,81%
At Meets Grade Level or Above,2019,52%,53%,58%,44%,51%,74%,47%,86%,74%,67%,31%,56%,61%,49%,47%,48%
,2018,50%,51%,57%,43%,50%,73%,43%,86%,72%,67%,32%,54%,61%,48%,46%,47%
At Masters Grade Level,2019,26%,28%,32%,19%,24%,47%,23%,66%,43%,40%,11%,30%,35%,24%,22%,24%
,2018,24%,25%,31%,17%,22%,44%,20%,64%,35%,40%,10%,28%,33%,23%,20%,22%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,74%,64%,68%,85%,60%,92%,86%,81%,35%,72%,76%,66%,65%,64%
,2018,66%,66%,71%,62%,64%,83%,61%,89%,77%,79%,32%,60%,74%,61%,61%,59%
At Meets Grade Level or Above,2019,38%,39%,43%,33%,33%,57%,30%,71%,59%,56%,18%,37%,46%,35%,31%,29%
,2018,41%,42%,46%,35%,36%,61%,33%,73%,58%,55%,20%,34%,49%,37%,33%,31%
At Masters Grade Level,2019,14%,15%,17%,10%,10%,24%,11%,40%,18%,23%,4%,11%,18%,12%,9%,8%
,2018,13%,13%,14%,8%,8%,21%,3%,35%,15%,22%,4%,8%,15%,10%,7%,7%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,90%,83%,87%,96%,83%,97%,95%,93%,62%,86%,92%,83%,85%,82%
,2018,80%,80%,88%,80%,85%,96%,87%,97%,96%,92%,62%,87%,91%,81%,83%,80%
At Meets Grade Level or Above,2019,54%,55%,68%,54%,61%,84%,60%,89%,87%,76%,35%,60%,72%,56%,57%,51%
,2018,51%,52%,63%,49%,55%,80%,53%,86%,70%,73%,32%,56%,67%,51%,51%,43%
