Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,28%,29%,21%,13%,22%,27%,*,67%,*,17%,2%,29%,22%,16%,19%,19%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,63%,63%,63%,63%,67%,83%,-,64%,29%,73%,66%,55%,61%,58%
,2018,65%,66%,49%,46%,49%,63%,*,92%,*,33%,17%,50%,52%,41%,47%,44%
At Meets Grade Level or Above,2019,37%,38%,29%,26%,29%,39%,17%,67%,-,45%,16%,41%,32%,22%,28%,24%
,2018,36%,37%,23%,24%,22%,32%,*,67%,*,17%,10%,43%,25%,17%,21%,17%
At Masters Grade Level,2019,21%,23%,16%,13%,15%,25%,17%,42%,-,27%,7%,27%,18%,10%,14%,12%
,2018,21%,22%,13%,13%,13%,18%,*,58%,*,0%,3%,29%,15%,9%,12%,9%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,67%,68%,67%,73%,60%,79%,*,60%,27%,33%,71%,55%,66%,58%
,2018,65%,65%,67%,63%,68%,68%,*,83%,*,83%,35%,50%,70%,58%,66%,59%
At Meets Grade Level or Above,2019,50%,50%,44%,41%,45%,47%,60%,71%,*,50%,16%,19%,48%,32%,42%,33%
,2018,44%,45%,40%,34%,41%,47%,*,67%,*,58%,15%,38%,43%,32%,39%,30%
At Masters Grade Level,2019,11%,11%,5%,5%,5%,9%,0%,29%,*,0%,0%,0%,6%,3%,4%,1%
,2018,7%,8%,3%,2%,3%,5%,*,25%,*,8%,2%,0%,3%,2%,2%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,66%,67%,66%,63%,*,81%,*,91%,31%,53%,70%,55%,65%,51%
,2018,67%,67%,65%,66%,65%,61%,*,85%,-,88%,24%,50%,70%,52%,65%,50%
