Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING ISD (101919) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,54%,54%,41%,33%,45%,49%,37%,67%,60%,43%,24%,26%,44%,37%,39%,44%
At Masters Grade Level,2021,30%,31%,16%,12%,16%,28%,25%,44%,17%,28%,4%,12%,18%,13%,15%,18%
,2019,29%,30%,20%,15%,21%,25%,17%,40%,20%,23%,7%,13%,22%,15%,18%,21%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,58%,46%,63%,70%,69%,78%,83%,62%,34%,69%,60%,52%,56%,64%
,2019,90%,89%,83%,75%,88%,89%,89%,92%,90%,85%,65%,72%,85%,79%,83%,88%
At Meets Grade Level or Above,2021,44%,45%,31%,22%,35%,43%,41%,61%,67%,36%,18%,34%,36%,24%,30%,39%
,2019,58%,59%,46%,35%,52%,50%,57%,77%,60%,51%,24%,36%,51%,38%,44%,55%
At Masters Grade Level,2021,25%,26%,15%,9%,16%,24%,21%,49%,33%,18%,4%,14%,17%,10%,14%,20%
,2019,36%,38%,25%,15%,30%,26%,26%,60%,50%,34%,6%,15%,30%,18%,24%,33%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,44%,35%,46%,62%,57%,69%,83%,53%,24%,56%,47%,39%,42%,46%
,2019,75%,75%,61%,51%,66%,72%,66%,77%,80%,72%,39%,44%,64%,56%,59%,65%
At Meets Grade Level or Above,2021,31%,32%,16%,11%,16%,34%,17%,35%,50%,21%,15%,26%,18%,12%,15%,16%
,2019,49%,50%,34%,25%,38%,45%,34%,52%,30%,47%,24%,23%,37%,29%,32%,37%
At Masters Grade Level,2021,13%,14%,4%,3%,4%,10%,5%,15%,0%,11%,3%,0%,5%,4%,4%,4%
,2019,24%,25%,13%,8%,15%,18%,20%,32%,10%,15%,6%,10%,15%,9%,11%,15%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,49%,42%,50%,65%,54%,77%,*,63%,25%,31%,53%,42%,47%,49%
,2019,68%,69%,57%,52%,59%,69%,63%,84%,14%,61%,25%,45%,61%,51%,56%,53%
At Meets Grade Level or Above,2021,32%,34%,19%,13%,20%,30%,24%,44%,*,43%,17%,3%,22%,14%,18%,19%
,2019,37%,38%,26%,22%,26%,39%,32%,43%,14%,33%,16%,17%,28%,21%,24%,21%
At Masters Grade Level,2021,15%,16%,7%,5%,7%,10%,4%,23%,*,11%,4%,3%,8%,6%,6%,6%
,2019,18%,19%,10%,8%,10%,13%,5%,33%,14%,11%,4%,6%,12%,7%,9%,9%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,52%,41%,55%,64%,63%,85%,*,71%,31%,53%,55%,46%,50%,56%
,2019,81%,81%,68%,60%,71%,81%,68%,91%,57%,75%,36%,64%,71%,62%,68%,68%
At Meets Grade Level or Above,2021,36%,37%,18%,13%,19%,29%,20%,53%,*,27%,18%,13%,21%,14%,16%,19%
,2019,47%,48%,27%,20%,29%,38%,26%,66%,43%,31%,17%,21%,31%,20%,27%,27%
At Masters Grade Level,2021,15%,17%,5%,3%,5%,9%,9%,20%,*,9%,6%,3%,5%,4%,4%,5%
,2019,21%,22%,7%,4%,8%,10%,0%,30%,29%,14%,6%,2%,9%,5%,6%,7%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,51%,44%,54%,59%,50%,82%,83%,47%,25%,41%,54%,46%,49%,53%
,2019,76%,77%,65%,58%,67%,81%,73%,87%,67%,79%,31%,49%,67%,61%,65%,62%
At Meets Grade Level or Above,2021,45%,47%,28%,23%,29%,27%,45%,69%,50%,22%,18%,14%,30%,22%,25%,30%
,2019,49%,51%,37%,30%,38%,55%,45%,68%,50%,53%,20%,26%,40%,30%,36%,31%
At Masters Grade Level,2021,25%,27%,13%,9%,14%,14%,25%,36%,17%,9%,8%,9%,14%,10%,11%,13%
,2019,29%,31%,20%,16%,21%,29%,23%,43%,17%,37%,8%,11%,23%,15%,19%,16%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,39%,27%,43%,53%,65%,75%,50%,36%,21%,36%,42%,32%,37%,42%
,2019,75%,77%,61%,53%,64%,76%,77%,87%,50%,74%,33%,54%,64%,57%,61%,60%
