Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
KATY ISD (101914) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Approaches Grade Level or Above,2019,88%,88%,96%,90%,94%,98%,100%,99%,93%,99%,67%,96%,96%,95%,92%,95%
,2018,86%,87%,95%,91%,92%,97%,94%,99%,100%,94%,64%,97%,96%,93%,91%,92%
At Meets Grade Level or Above,2019,57%,58%,81%,65%,73%,86%,84%,96%,87%,80%,39%,83%,83%,74%,66%,78%
,2018,51%,52%,74%,60%,63%,82%,50%,93%,86%,72%,36%,74%,77%,67%,58%,64%
At Masters Grade Level,2019,17%,18%,40%,19%,26%,43%,42%,72%,20%,40%,10%,33%,43%,32%,20%,37%
,2018,15%,16%,31%,15%,19%,34%,25%,62%,57%,31%,10%,37%,33%,26%,16%,25%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,93%,84%,89%,96%,100%,98%,100%,96%,64%,98%,95%,87%,85%,86%
,2018,76%,77%,89%,82%,82%,95%,73%,98%,88%,94%,55%,98%,91%,83%,79%,77%
At Meets Grade Level or Above,2019,51%,52%,74%,57%,64%,82%,79%,91%,44%,73%,33%,77%,78%,62%,55%,58%
,2018,52%,53%,72%,56%,60%,82%,27%,91%,88%,75%,35%,77%,76%,61%,54%,55%
At Masters Grade Level,2019,25%,27%,47%,26%,33%,55%,43%,74%,22%,49%,12%,48%,51%,35%,25%,29%
,2018,28%,29%,49%,28%,33%,58%,27%,76%,63%,54%,14%,50%,53%,39%,28%,29%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,86%,77%,79%,91%,86%,97%,89%,90%,50%,87%,89%,79%,74%,73%
,2018,65%,66%,85%,77%,76%,90%,80%,96%,100%,89%,51%,93%,87%,78%,72%,71%
At Meets Grade Level or Above,2019,37%,38%,61%,49%,47%,68%,43%,85%,11%,64%,27%,60%,64%,52%,41%,42%
,2018,36%,37%,60%,46%,47%,68%,47%,85%,63%,55%,29%,67%,64%,52%,42%,43%
At Masters Grade Level,2019,21%,23%,41%,29%,29%,45%,36%,70%,11%,45%,13%,40%,45%,33%,22%,26%
,2018,21%,22%,41%,24%,28%,46%,20%,70%,50%,39%,11%,47%,44%,32%,23%,24%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,84%,75%,77%,91%,81%,96%,89%,92%,42%,88%,88%,76%,73%,69%
,2018,65%,65%,83%,73%,77%,88%,86%,96%,78%,88%,41%,81%,87%,74%,72%,63%
At Meets Grade Level or Above,2019,50%,50%,73%,61%,62%,83%,69%,91%,78%,82%,29%,66%,79%,60%,55%,49%
,2018,44%,45%,68%,53%,57%,77%,62%,90%,78%,73%,25%,63%,73%,57%,51%,39%
At Masters Grade Level,2019,11%,11%,28%,14%,17%,33%,6%,59%,22%,33%,4%,15%,33%,17%,11%,11%
,2018,7%,8%,23%,9%,13%,27%,29%,52%,22%,22%,5%,14%,26%,15%,9%,6%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,84%,73%,78%,89%,87%,95%,100%,90%,44%,84%,87%,75%,72%,61%
,2018,67%,67%,83%,74%,76%,89%,71%,94%,83%,87%,36%,78%,86%,74%,72%,57%
At Meets Grade Level or Above,2019,49%,50%,70%,56%,59%,80%,74%,89%,73%,80%,28%,65%,76%,55%,51%,34%
,2018,48%,48%,69%,54%,59%,79%,41%,88%,83%,75%,24%,62%,74%,58%,53%,36%
At Masters Grade Level,2019,8%,9%,20%,9%,12%,23%,17%,45%,0%,21%,6%,11%,23%,11%,8%,3%
,2018,8%,9%,18%,9%,11%,20%,6%,42%,17%,22%,5%,10%,20%,12%,8%,3%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,93%,89%,92%,94%,89%,99%,100%,94%,62%,95%,94%,91%,90%,91%
,2018,83%,83%,93%,87%,92%,95%,90%,99%,100%,95%,60%,97%,95%,90%,89%,90%
At Meets Grade Level or Above,2019,61%,61%,80%,70%,73%,83%,61%,97%,100%,78%,37%,77%,83%,72%,67%,74%
,2018,55%,55%,78%,64%,70%,83%,57%,96%,67%,81%,34%,75%,82%,67%,65%,66%
At Masters Grade Level,2019,37%,38%,61%,47%,49%,66%,39%,89%,50%,60%,18%,62%,64%,52%,42%,53%
,2018,32%,34%,58%,41%,45%,63%,38%,89%,44%,66%,13%,51%,62%,49%,40%,44%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,96%,92%,93%,97%,100%,99%,100%,99%,75%,96%,97%,93%,92%,91%
,2018,87%,86%,96%,92%,94%,97%,95%,99%,100%,99%,72%,98%,97%,93%,92%,89%
At Meets Grade Level or Above,2019,62%,63%,83%,71%,75%,90%,88%,94%,89%,85%,42%,84%,87%,72%,68%,64%
,2018,59%,60%,83%,70%,75%,89%,75%,96%,89%,90%,41%,81%,87%,73%,70%,61%
At Masters Grade Level,2019,25%,28%,50%,32%,35%,59%,25%,78%,56%,56%,11%,41%,55%,37%,28%,27%
,2018,24%,26%,51%,29%,39%,58%,35%,80%,33%,54%,14%,43%,56%,37%,32%,24%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,97%,96%,96%,98%,100%,99%,100%,98%,80%,95%,98%,96%,95%,91%
,2018,92%,91%,97%,93%,96%,98%,100%,99%,100%,97%,78%,96%,97%,95%,94%,90%
At Meets Grade Level or Above,2019,73%,75%,89%,83%,84%,94%,93%,96%,100%,92%,56%,86%,91%,82%,80%,67%
,2018,70%,71%,88%,76%,83%,93%,84%,96%,82%,89%,54%,90%,90%,81%,78%,65%
At Masters Grade Level,2019,45%,49%,70%,57%,60%,80%,67%,84%,64%,77%,26%,71%,73%,60%,53%,40%
,2018,40%,43%,65%,49%,54%,74%,56%,81%,64%,64%,21%,48%,68%,54%,47%,33%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,90%,82%,85%,93%,88%,97%,92%,92%,60%,91%,91%,85%,81%,85%
,2018,77%,77%,89%,82%,84%,93%,86%,97%,93%,91%,60%,91%,91%,85%,81%,84%
At Meets Grade Level or Above,2019,50%,51%,69%,55%,59%,76%,61%,89%,66%,72%,34%,67%,72%,61%,52%,59%
,2018,48%,49%,68%,54%,57%,75%,58%,88%,73%,70%,34%,67%,71%,60%,52%,56%
At Masters Grade Level,2019,24%,25%,41%,26%,29%,46%,30%,68%,31%,44%,12%,37%,44%,33%,23%,33%
,2018,22%,23%,38%,24%,27%,43%,28%,65%,45%,41%,13%,34%,41%,31%,22%,29%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,88%,80%,83%,92%,88%,96%,89%,92%,56%,90%,90%,83%,78%,82%
,2018,74%,74%,88%,79%,82%,92%,86%,96%,86%,90%,55%,88%,90%,82%,78%,81%
At Meets Grade Level or Above,2019,48%,49%,67%,54%,57%,74%,58%,86%,65%,72%,31%,65%,71%,58%,49%,55%
,2018,46%,47%,66%,52%,55%,74%,56%,85%,71%,69%,31%,64%,69%,58%,49%,52%
At Masters Grade Level,2019,21%,22%,37%,23%,26%,42%,22%,62%,27%,41%,10%,32%,40%,29%,20%,30%
,2018,19%,20%,35%,22%,24%,40%,30%,59%,42%,39%,12%,31%,38%,29%,20%,27%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,91%,83%,88%,94%,91%,98%,91%,93%,65%,94%,93%,88%,85%,90%
,2018,81%,82%,92%,84%,88%,94%,87%,99%,98%,92%,66%,94%,93%,89%,86%,90%
At Meets Grade Level or Above,2019,52%,53%,69%,53%,59%,76%,67%,92%,70%,70%,36%,72%,72%,62%,52%,65%
,2018,50%,51%,68%,52%,57%,74%,55%,91%,71%,69%,36%,69%,71%,61%,52%,62%
At Masters Grade Level,2019,26%,28%,43%,27%,30%,47%,37%,76%,36%,45%,15%,41%,46%,36%,24%,39%
,2018,24%,25%,39%,24%,27%,42%,28%,71%,45%,42%,14%,36%,41%,34%,23%,34%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,85%,75%,78%,89%,72%,96%,93%,86%,50%,82%,87%,80%,73%,81%
,2018,66%,66%,82%,75%,75%,87%,72%,95%,86%,86%,48%,83%,84%,78%,71%,77%
At Meets Grade Level or Above,2019,38%,39%,60%,44%,48%,66%,40%,83%,64%,61%,27%,53%,63%,52%,40%,53%
,2018,41%,42%,62%,51%,49%,67%,53%,85%,64%,66%,29%,56%,65%,55%,45%,52%
At Masters Grade Level,2019,14%,15%,29%,18%,18%,31%,26%,54%,21%,32%,6%,24%,31%,23%,13%,24%
,2018,13%,13%,26%,17%,16%,27%,9%,50%,29%,28%,9%,17%,28%,21%,14%,20%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,92%,85%,89%,95%,91%,98%,100%,95%,66%,95%,94%,88%,85%,88%
,2018,80%,80%,92%,85%,87%,95%,87%,98%,96%,94%,65%,97%,93%,87%,85%,84%
At Meets Grade Level or Above,2019,54%,55%,75%,60%,66%,82%,74%,91%,70%,77%,38%,73%,79%,66%,58%,63%
,2018,51%,52%,72%,57%,62%,80%,65%,90%,85%,76%,37%,74%,76%,63%,56%,57%
At Masters Grade Level,2019,25%,27%,45%,28%,32%,53%,26%,72%,33%,49%,13%,40%,50%,35%,25%,32%
,2018,23%,24%,44%,25%,31%,51%,25%,71%,50%,47%,14%,41%,48%,35%,26%,28%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,92%,87%,87%,95%,93%,98%,95%,94%,63%,89%,93%,87%,84%,79%
,2018,78%,79%,91%,85%,86%,94%,93%,97%,100%,93%,63%,94%,92%,86%,83%,78%
At Meets Grade Level or Above,2019,55%,57%,75%,66%,66%,81%,69%,90%,60%,78%,40%,66%,78%,65%,60%,50%
,2018,53%,54%,74%,61%,65%,80%,70%,90%,74%,70%,40%,75%,77%,65%,60%,50%
At Masters Grade Level,2019,33%,36%,56%,43%,44%,62%,52%,76%,40%,60%,19%,48%,59%,45%,37%,31%
,2018,31%,32%,52%,36%,41%,60%,43%,75%,58%,50%,15%,47%,56%,42%,35%,27%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,51%,35%,37%,55%,58%,77%,25%,55%,26%,50%,53%,43%,30%,45%
,2018,34%,34%,51%,33%,39%,58%,39%,76%,20%,53%,29%,42%,54%,44%,32%,47%
Reading and Mathematics Including EOC,2019,35%,36%,51%,35%,37%,55%,58%,77%,25%,55%,26%,50%,53%,43%,30%,45%
,2018,34%,34%,51%,33%,39%,58%,39%,76%,20%,53%,29%,42%,54%,44%,32%,47%
Reading Including EOC,2019,45%,45%,60%,47%,50%,65%,63%,81%,50%,65%,34%,58%,62%,54%,42%,54%
,2018,43%,44%,61%,44%,51%,68%,45%,79%,40%,63%,37%,54%,63%,55%,45%,55%
Math Including EOC,2019,49%,48%,62%,45%,48%,67%,68%,87%,25%,63%,34%,67%,64%,55%,42%,59%
,2018,47%,48%,64%,45%,52%,68%,52%,89%,60%,68%,39%,63%,66%,57%,45%,61%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,52%,32%,40%,60%,34%,77%,*,49%,26%,55%,55%,45%,31%,48%
,2018,36%,37%,55%,41%,41%,60%,50%,81%,50%,58%,30%,53%,57%,50%,37%,51%
Reading and Mathematics Including EOC,2019,35%,36%,52%,32%,40%,60%,34%,77%,*,49%,26%,55%,55%,45%,31%,48%
,2018,36%,37%,55%,41%,41%,60%,50%,81%,50%,58%,30%,53%,57%,50%,37%,51%
Reading Including EOC,2019,44%,45%,62%,45%,52%,69%,41%,80%,*,63%,32%,63%,65%,54%,44%,57%
,2018,46%,46%,65%,54%,54%,71%,61%,84%,63%,66%,36%,68%,67%,61%,49%,61%
Math Including EOC,2019,48%,49%,64%,42%,52%,72%,59%,90%,*,65%,37%,72%,68%,57%,44%,63%
,2018,49%,51%,66%,49%,53%,72%,56%,90%,63%,70%,38%,64%,68%,61%,50%,64%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,63%,46%,50%,69%,63%,86%,56%,66%,27%,58%,65%,57%,43%,58%
,2018,44%,44%,63%,45%,52%,70%,60%,85%,78%,62%,34%,62%,67%,56%,45%,59%
Reading and Mathematics Including EOC,2019,44%,44%,63%,46%,50%,69%,63%,86%,56%,66%,27%,58%,65%,57%,43%,58%
,2018,44%,44%,63%,45%,52%,70%,60%,85%,78%,62%,34%,62%,67%,56%,45%,59%
Reading Including EOC,2019,54%,54%,71%,59%,61%,77%,63%,88%,67%,76%,36%,71%,73%,67%,55%,67%
,2018,54%,54%,72%,59%,62%,79%,65%,88%,89%,72%,42%,72%,74%,67%,55%,66%
Math Including EOC,2019,58%,59%,73%,56%,63%,79%,69%,94%,67%,75%,39%,73%,75%,68%,57%,72%
,2018,58%,59%,75%,59%,67%,80%,75%,93%,78%,71%,47%,80%,78%,67%,62%,74%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,51%,35%,37%,58%,29%,78%,64%,56%,21%,46%,55%,41%,28%,44%
,2018,31%,33%,49%,35%,33%,56%,60%,76%,63%,53%,21%,48%,51%,43%,30%,41%
Reading and Mathematics Including EOC,2019,31%,32%,51%,35%,37%,58%,29%,78%,64%,56%,21%,46%,55%,41%,28%,44%
,2018,31%,33%,49%,35%,33%,56%,60%,76%,63%,53%,21%,48%,51%,43%,30%,41%
Reading Including EOC,2019,37%,38%,56%,44%,43%,63%,33%,80%,73%,62%,25%,52%,60%,48%,35%,48%
,2018,39%,41%,56%,44%,43%,63%,67%,78%,63%,60%,28%,55%,59%,51%,39%,48%
Math Including EOC,2019,48%,49%,68%,51%,54%,76%,76%,93%,73%,69%,33%,70%,72%,58%,46%,64%
,2018,45%,47%,64%,49%,49%,72%,60%,91%,88%,67%,32%,71%,67%,57%,45%,59%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,60%,43%,47%,68%,53%,84%,80%,64%,27%,63%,64%,50%,39%,52%
,2018,35%,37%,56%,38%,43%,64%,23%,81%,50%,54%,23%,57%,60%,46%,36%,41%
Reading and Mathematics Including EOC,2019,37%,40%,61%,43%,47%,69%,53%,86%,80%,64%,27%,64%,65%,51%,40%,54%
,2018,36%,38%,57%,38%,43%,65%,29%,84%,50%,55%,23%,57%,61%,47%,36%,41%
Reading Including EOC,2019,49%,51%,71%,57%,61%,77%,60%,89%,80%,75%,35%,75%,74%,63%,53%,64%
,2018,48%,50%,68%,55%,56%,75%,64%,88%,50%,72%,30%,68%,72%,59%,51%,53%
Math Including EOC,2019,48%,50%,69%,51%,57%,77%,67%,92%,80%,72%,36%,73%,73%,61%,50%,64%
,2018,45%,46%,65%,46%,53%,72%,43%,90%,50%,66%,31%,64%,68%,56%,46%,53%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,52%,39%,42%,62%,55%,76%,38%,47%,20%,55%,56%,43%,36%,37%
,2018,28%,30%,43%,33%,33%,55%,31%,66%,67%,42%,20%,47%,47%,36%,29%,27%
Reading and Mathematics Including EOC,2019,47%,48%,68%,52%,57%,76%,64%,89%,44%,66%,23%,69%,73%,57%,48%,50%
,2018,41%,43%,61%,45%,47%,70%,40%,83%,75%,62%,22%,63%,65%,50%,42%,39%
Reading Including EOC,2019,55%,56%,74%,59%,65%,81%,79%,90%,44%,78%,31%,74%,78%,64%,56%,57%
,2018,50%,51%,67%,55%,55%,75%,53%,84%,75%,69%,28%,70%,71%,57%,51%,45%
