Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CHANNELVIEW ISD (101905) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,32%,34%,31%,31%,32%,24%,13%,80%,*,*,2%,22%,36%,20%,32%,20%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,83%,79%,83%,81%,80%,100%,-,*,52%,88%,86%,76%,83%,72%
,2018,87%,86%,84%,85%,84%,81%,75%,100%,*,*,55%,89%,87%,75%,83%,73%
At Meets Grade Level or Above,2019,62%,63%,55%,47%,57%,52%,50%,63%,-,*,23%,38%,59%,44%,54%,35%
,2018,59%,60%,50%,47%,50%,57%,25%,100%,*,*,19%,44%,56%,34%,49%,31%
At Masters Grade Level,2019,25%,28%,16%,9%,18%,14%,10%,13%,-,*,3%,13%,19%,8%,15%,8%
,2018,24%,26%,16%,10%,16%,13%,0%,80%,*,*,4%,0%,19%,5%,15%,4%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,88%,86%,89%,86%,71%,86%,*,*,57%,80%,91%,80%,87%,75%
,2018,92%,91%,90%,96%,89%,87%,100%,100%,*,*,63%,*,93%,82%,89%,77%
At Meets Grade Level or Above,2019,73%,75%,66%,63%,67%,64%,29%,86%,*,*,25%,80%,71%,53%,65%,44%
,2018,70%,71%,64%,71%,63%,61%,67%,71%,*,*,27%,*,70%,48%,62%,42%
At Masters Grade Level,2019,45%,49%,36%,37%,36%,30%,14%,57%,*,*,10%,40%,39%,26%,33%,19%
,2018,40%,43%,28%,37%,26%,32%,17%,29%,*,*,3%,*,31%,20%,26%,10%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,76%,71%,77%,75%,78%,85%,69%,80%,43%,76%,79%,69%,75%,72%
,2018,77%,77%,74%,70%,75%,75%,76%,83%,79%,67%,46%,68%,77%,68%,73%,70%
At Meets Grade Level or Above,2019,50%,51%,44%,38%,45%,43%,45%,69%,58%,38%,21%,36%,47%,37%,42%,38%
,2018,48%,49%,41%,36%,41%,43%,41%,63%,53%,34%,22%,35%,44%,34%,40%,34%
At Masters Grade Level,2019,24%,25%,17%,12%,17%,16%,21%,40%,35%,10%,8%,15%,18%,13%,16%,15%
,2018,22%,23%,15%,12%,15%,16%,14%,34%,26%,8%,6%,9%,16%,12%,14%,12%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,71%,65%,72%,72%,73%,80%,60%,75%,33%,65%,74%,62%,70%,66%
,2018,74%,74%,69%,66%,70%,73%,65%,71%,71%,72%,37%,61%,72%,63%,68%,63%
At Meets Grade Level or Above,2019,48%,49%,39%,34%,40%,40%,41%,58%,50%,28%,17%,26%,42%,33%,37%,32%
,2018,46%,47%,37%,33%,37%,42%,32%,56%,57%,38%,21%,24%,40%,31%,36%,28%
At Masters Grade Level,2019,21%,22%,13%,9%,13%,13%,15%,24%,20%,6%,6%,8%,14%,10%,12%,11%
,2018,19%,20%,12%,9%,12%,13%,9%,27%,14%,9%,5%,4%,13%,10%,11%,10%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,84%,79%,85%,82%,88%,88%,75%,81%,55%,88%,86%,78%,83%,84%
,2018,81%,82%,83%,77%,84%,82%,86%,98%,83%,69%,58%,84%,85%,78%,82%,83%
At Meets Grade Level or Above,2019,52%,53%,51%,41%,53%,49%,54%,79%,63%,41%,26%,55%,54%,44%,49%,51%
,2018,50%,51%,46%,34%,48%,46%,53%,75%,50%,24%,25%,45%,49%,39%,45%,45%
At Masters Grade Level,2019,26%,28%,23%,14%,24%,21%,30%,55%,50%,15%,12%,30%,25%,18%,22%,23%
,2018,24%,25%,20%,15%,20%,20%,25%,50%,33%,7%,9%,11%,21%,17%,19%,20%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,62%,54%,64%,55%,50%,78%,*,73%,35%,53%,65%,57%,61%,64%
,2018,66%,66%,58%,55%,59%,57%,56%,60%,*,38%,26%,48%,60%,54%,57%,55%
At Meets Grade Level or Above,2019,38%,39%,24%,18%,26%,17%,20%,67%,*,18%,18%,6%,25%,22%,22%,23%
,2018,41%,42%,31%,36%,30%,26%,44%,40%,*,38%,16%,35%,32%,29%,30%,27%
At Masters Grade Level,2019,14%,15%,7%,3%,7%,2%,10%,67%,*,0%,8%,0%,6%,7%,6%,6%
,2018,13%,13%,4%,6%,4%,2%,0%,10%,*,13%,3%,4%,5%,3%,4%,4%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,81%,78%,81%,84%,83%,100%,80%,100%,51%,91%,84%,74%,79%,73%
,2018,80%,80%,79%,75%,79%,78%,90%,90%,*,75%,47%,69%,82%,72%,78%,72%
At Meets Grade Level or Above,2019,54%,55%,52%,47%,52%,56%,57%,82%,60%,67%,26%,36%,56%,43%,50%,40%
,2018,51%,52%,46%,39%,46%,51%,31%,71%,*,38%,21%,38%,49%,36%,44%,34%
At Masters Grade Level,2019,25%,27%,19%,14%,19%,19%,22%,35%,40%,8%,6%,9%,21%,13%,17%,14%
,2018,23%,24%,17%,10%,17%,20%,7%,43%,*,0%,5%,12%,19%,10%,16%,10%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,78%,79%,77%,77%,77%,82%,*,80%,50%,64%,81%,70%,76%,64%
,2018,78%,79%,74%,71%,74%,78%,80%,93%,*,67%,48%,67%,77%,66%,73%,58%
At Meets Grade Level or Above,2019,55%,57%,46%,43%,47%,43%,31%,73%,*,50%,24%,43%,50%,37%,44%,30%
,2018,53%,54%,42%,43%,42%,43%,50%,57%,*,50%,23%,42%,46%,33%,41%,25%
At Masters Grade Level,2019,33%,36%,23%,23%,23%,20%,15%,55%,*,20%,9%,14%,25%,16%,20%,11%
,2018,31%,32%,18%,22%,17%,21%,20%,21%,*,17%,3%,25%,19%,14%,17%,7%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,32%,25%,32%,33%,17%,*,*,*,13%,43%,34%,26%,31%,29%
,2018,34%,34%,30%,13%,31%,44%,25%,*,-,29%,28%,10%,31%,27%,30%,31%
Reading and Mathematics Including EOC,2019,35%,36%,32%,25%,32%,33%,17%,*,*,*,13%,43%,34%,26%,31%,29%
,2018,34%,34%,30%,13%,31%,44%,25%,*,-,29%,28%,10%,31%,27%,30%,31%
Reading Including EOC,2019,45%,45%,40%,31%,41%,41%,33%,*,*,*,17%,43%,41%,38%,39%,39%
,2018,43%,44%,38%,26%,38%,46%,38%,*,-,57%,30%,30%,38%,36%,38%,37%
Math Including EOC,2019,49%,48%,47%,37%,48%,47%,25%,*,*,*,23%,71%,50%,38%,46%,44%
,2018,47%,48%,52%,38%,53%,63%,50%,*,-,29%,36%,50%,54%,46%,51%,57%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,28%,19%,28%,35%,40%,*,-,33%,25%,17%,30%,23%,27%,29%
,2018,36%,37%,29%,25%,29%,27%,33%,80%,*,*,16%,8%,31%,24%,27%,30%
Reading and Mathematics Including EOC,2019,35%,36%,28%,19%,28%,35%,40%,*,-,33%,25%,17%,30%,23%,27%,29%
,2018,36%,37%,29%,25%,29%,27%,33%,80%,*,*,16%,8%,31%,24%,27%,30%
Reading Including EOC,2019,44%,45%,33%,25%,34%,37%,40%,*,-,50%,28%,17%,36%,28%,32%,34%
