Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCIENCE ACADEMY (101846) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,29%,30%,31%,41%,19%,50%,-,73%,-,-,3%,*,36%,23%,29%,26%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,62%,60%,60%,70%,-,92%,-,*,41%,*,61%,62%,61%,62%
,2019,90%,89%,89%,92%,85%,100%,-,91%,-,-,52%,*,90%,87%,88%,88%
At Meets Grade Level or Above,2021,44%,45%,30%,25%,29%,20%,-,69%,-,*,23%,*,26%,35%,28%,26%
,2019,58%,59%,62%,74%,49%,80%,-,91%,-,-,16%,*,62%,62%,59%,56%
At Masters Grade Level,2021,25%,26%,12%,10%,11%,10%,-,38%,-,*,9%,*,11%,15%,12%,10%
,2019,36%,38%,38%,48%,26%,50%,-,73%,-,-,6%,*,42%,30%,37%,31%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,48%,48%,42%,40%,-,92%,-,*,32%,*,49%,45%,45%,41%
,2019,75%,75%,67%,75%,60%,80%,-,73%,-,-,42%,*,67%,68%,65%,60%
At Meets Grade Level or Above,2021,31%,32%,14%,14%,10%,0%,-,54%,-,*,5%,*,15%,11%,12%,10%
,2019,49%,50%,37%,44%,27%,50%,-,64%,-,-,13%,*,38%,33%,32%,27%
At Masters Grade Level,2021,13%,14%,4%,2%,3%,0%,-,23%,-,*,5%,*,4%,3%,3%,4%
,2019,24%,25%,15%,21%,8%,20%,-,27%,-,-,3%,*,14%,17%,13%,11%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,62%,68%,57%,79%,*,80%,-,*,29%,71%,69%,58%,59%,55%
,2019,68%,69%,67%,67%,63%,80%,-,89%,-,*,28%,40%,66%,68%,66%,62%
At Meets Grade Level or Above,2021,32%,34%,29%,35%,23%,36%,*,50%,-,*,10%,14%,34%,25%,26%,22%
,2019,37%,38%,33%,39%,29%,40%,-,30%,-,*,11%,0%,31%,34%,32%,23%
At Masters Grade Level,2021,15%,16%,10%,15%,6%,7%,*,30%,-,*,10%,0%,13%,8%,9%,6%
,2019,18%,19%,15%,20%,11%,10%,-,15%,-,*,3%,0%,16%,14%,14%,9%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,67%,67%,64%,69%,*,84%,-,*,29%,86%,70%,64%,65%,66%
,2019,81%,81%,81%,76%,82%,90%,-,96%,-,*,33%,60%,81%,82%,81%,84%
At Meets Grade Level or Above,2021,36%,37%,30%,29%,28%,31%,*,58%,-,*,10%,43%,31%,30%,26%,27%
,2019,47%,48%,43%,41%,40%,50%,-,63%,-,*,11%,0%,44%,42%,41%,40%
At Masters Grade Level,2021,15%,17%,9%,7%,7%,8%,*,42%,-,*,5%,14%,10%,8%,7%,7%
,2019,21%,22%,17%,17%,13%,40%,-,30%,-,*,3%,0%,16%,17%,16%,13%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,70%,81%,63%,78%,-,85%,-,*,36%,*,71%,69%,69%,62%
,2019,76%,77%,80%,83%,76%,90%,-,93%,-,83%,39%,*,86%,76%,78%,71%
At Meets Grade Level or Above,2021,45%,47%,42%,61%,32%,33%,-,60%,-,*,18%,*,41%,42%,40%,30%
,2019,49%,51%,52%,52%,47%,60%,-,83%,-,67%,18%,*,56%,50%,51%,43%
At Masters Grade Level,2021,25%,27%,20%,36%,11%,33%,-,30%,-,*,9%,*,18%,21%,19%,11%
,2019,29%,31%,30%,27%,25%,40%,-,57%,-,50%,8%,*,33%,27%,28%,22%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,58%,65%,51%,78%,-,79%,-,*,12%,*,56%,58%,56%,52%
,2019,75%,77%,83%,82%,81%,100%,-,97%,-,83%,47%,*,85%,82%,82%,79%
At Meets Grade Level or Above,2021,27%,29%,28%,34%,22%,33%,-,53%,-,*,6%,*,26%,29%,28%,24%
,2019,43%,46%,48%,43%,43%,60%,-,83%,-,83%,18%,*,49%,47%,46%,36%
At Masters Grade Level,2021,12%,13%,10%,12%,7%,33%,-,21%,-,*,0%,*,10%,11%,10%,7%
,2019,17%,18%,19%,16%,15%,40%,-,43%,-,50%,11%,*,23%,17%,17%,12%
Grade 7 Writing,,,,,,,,,,,,,,,,,
