Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
CYPRESS-FAIRBANKS ISD (101907) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,54%,54%,61%,52%,54%,77%,46%,79%,*,75%,30%,55%,64%,53%,50%,53%
At Masters Grade Level,2021,30%,31%,38%,28%,29%,54%,24%,61%,57%,45%,10%,31%,40%,31%,27%,31%
,2019,29%,30%,36%,27%,28%,50%,23%,58%,*,45%,10%,33%,39%,28%,25%,29%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,75%,61%,70%,88%,63%,93%,86%,82%,52%,74%,77%,68%,67%,72%
,2019,90%,89%,92%,86%,92%,96%,95%,98%,*,91%,72%,93%,94%,89%,89%,92%
At Meets Grade Level or Above,2021,44%,45%,51%,33%,43%,68%,35%,82%,57%,59%,29%,51%,55%,41%,39%,47%
,2019,58%,59%,62%,50%,56%,75%,56%,87%,*,68%,33%,66%,65%,55%,52%,59%
At Masters Grade Level,2021,25%,26%,31%,15%,23%,46%,11%,64%,29%,35%,10%,29%,34%,23%,19%,27%
,2019,36%,38%,41%,26%,33%,55%,35%,74%,*,47%,16%,42%,44%,33%,29%,38%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,75%,59%,70%,89%,65%,92%,71%,81%,45%,78%,78%,65%,66%,71%
,2019,75%,75%,86%,77%,85%,94%,80%,96%,*,91%,54%,90%,89%,80%,81%,85%
At Meets Grade Level or Above,2021,31%,32%,44%,27%,35%,63%,37%,72%,57%,53%,24%,41%,48%,33%,31%,37%
,2019,49%,50%,65%,49%,59%,80%,56%,86%,*,71%,35%,65%,68%,55%,53%,60%
At Masters Grade Level,2021,13%,14%,21%,10%,13%,35%,11%,45%,14%,25%,7%,18%,24%,13%,11%,16%
,2019,24%,25%,38%,24%,29%,55%,21%,64%,*,49%,15%,42%,41%,27%,25%,32%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,73%,61%,67%,87%,68%,92%,100%,78%,34%,75%,76%,64%,64%,59%
,2019,68%,69%,75%,65%,70%,86%,71%,90%,86%,86%,38%,71%,78%,67%,66%,61%
At Meets Grade Level or Above,2021,32%,34%,43%,31%,33%,60%,38%,70%,75%,50%,15%,43%,46%,33%,31%,25%
,2019,37%,38%,45%,34%,37%,61%,18%,67%,71%,57%,22%,42%,48%,36%,33%,27%
At Masters Grade Level,2021,15%,16%,20%,12%,13%,32%,17%,43%,38%,25%,4%,19%,22%,16%,12%,10%
,2019,18%,19%,23%,14%,17%,35%,13%,45%,43%,34%,6%,22%,26%,17%,14%,11%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,77%,63%,72%,92%,59%,94%,100%,82%,51%,83%,80%,67%,68%,66%
,2019,81%,81%,85%,75%,82%,94%,79%,97%,100%,90%,59%,85%,87%,78%,78%,77%
At Meets Grade Level or Above,2021,36%,37%,48%,30%,37%,70%,28%,82%,88%,55%,22%,52%,51%,37%,34%,31%
,2019,47%,48%,55%,39%,46%,73%,45%,87%,71%,69%,28%,55%,59%,44%,41%,39%
At Masters Grade Level,2021,15%,17%,23%,9%,14%,38%,11%,55%,25%,26%,6%,21%,25%,16%,12%,11%
,2019,21%,22%,29%,15%,20%,45%,13%,65%,57%,39%,10%,27%,32%,22%,18%,18%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,81%,72%,78%,90%,78%,93%,80%,85%,44%,86%,84%,72%,74%,68%
,2019,76%,77%,84%,76%,79%,92%,78%,95%,100%,90%,48%,83%,86%,77%,77%,71%
At Meets Grade Level or Above,2021,45%,47%,58%,45%,51%,73%,60%,80%,60%,67%,27%,61%,61%,47%,46%,36%
,2019,49%,51%,59%,47%,51%,74%,54%,82%,64%,70%,26%,52%,62%,49%,47%,38%
At Masters Grade Level,2021,25%,27%,35%,24%,28%,47%,22%,59%,60%,45%,10%,38%,37%,27%,24%,16%
,2019,29%,31%,37%,27%,28%,50%,36%,66%,18%,52%,9%,34%,41%,27%,26%,19%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,69%,52%,63%,85%,61%,92%,80%,74%,43%,77%,72%,58%,57%,54%
,2019,75%,77%,84%,74%,79%,93%,80%,98%,91%,89%,55%,84%,86%,78%,77%,74%
