Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,YoY_State,State,YoY_Region,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Harmony_Schools_South_Grade 5 Science,Harmony_Schools_South,Grade 5 Science,At Approaches Grade Level or Above,2021_2022,0.04,0.66,0.04,0.66,0.17,0.65,0.17,0.65,0.16,0.58,0.6,1,0.18,0.63,0.24,0.65
Harmony_Schools_South_Grade 5 Science,Harmony_Schools_South,Grade 5 Science,At Approaches Grade Level or Above,2021_2022,0.04,0.66,0.04,0.66,0.17,0.65,0.17,0.65,0.16,0.58,0.6,1,0.18,0.63,0.24,0.65
Cypress_Fairbanks_ISD_Grade 4 Reading,Cypress_Fairbanks_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.19,0.6,0.18,0.48,0.23,0.55,0.18,0.74,0.22,0.51,0.24,0.56
Cypress_Fairbanks_ISD_Grade 4 Reading,Cypress_Fairbanks_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.19,0.6,0.18,0.48,0.23,0.55,0.18,0.74,0.22,0.51,0.24,0.56
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.22,0.76,0.29,0.72,0.22,0.75,0.17,0.84,0.22,0.74,0.24,0.74
Pasadena_ISD_Grade 4 Reading,Pasadena_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.22,0.76,0.29,0.72,0.22,0.75,0.17,0.84,0.22,0.74,0.24,0.74
Galena_Park_ISD_Grade 3 Mathematics,Galena_Park_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021_2022,0.12,0.43,0.13,0.44,0.2,0.43,0.2,0.35,0.21,0.44,0.17,0.48,0.22,0.42,0.24,0.47
Galena_Park_ISD_Grade 3 Mathematics,Galena_Park_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2021_2022,0.12,0.43,0.13,0.44,0.2,0.43,0.2,0.35,0.21,0.44,0.17,0.48,0.22,0.42,0.24,0.47
Harmony_Schools_South_Grade 3 Mathematics,Harmony_Schools_South,Grade 3 Mathematics,At Approaches Grade Level or Above,2021_2022,0.09,0.71,0.09,0.71,0.24,0.62,0.14,0.6,0.33,0.55,0.34,0.8,0.23,0.59,0.24,0.58
Harmony_Schools_South_Grade 3 Mathematics,Harmony_Schools_South,Grade 3 Mathematics,At Approaches Grade Level or Above,2021_2022,0.09,0.71,0.09,0.71,0.24,0.62,0.14,0.6,0.33,0.55,0.34,0.8,0.23,0.59,0.24,0.58
Houston_ISD_Grade 4 Mathematics,Houston_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021_2022,0.11,0.7,0.1,0.7,0.17,0.66,0.16,0.51,0.22,0.67,0.05,0.84,0.21,0.62,0.23,0.68
Houston_ISD_Grade 4 Mathematics,Houston_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021_2022,0.11,0.7,0.1,0.7,0.17,0.66,0.16,0.51,0.22,0.67,0.05,0.84,0.21,0.62,0.23,0.68
Crosby_ISD_Grade 5 Science,Crosby_ISD,Grade 5 Science,At Meets Grade Level or Above,2021_2022,0.07,0.38,0.07,0.39,0.09,0.4,-0.11,0.17,0.16,0.4,0.05,0.47,0.08,0.32,0.23,0.34
Crosby_ISD_Grade 5 Science,Crosby_ISD,Grade 5 Science,At Meets Grade Level or Above,2021_2022,0.07,0.38,0.07,0.39,0.09,0.4,-0.11,0.17,0.16,0.4,0.05,0.47,0.08,0.32,0.23,0.34
Harmony_Schools_South_Grade 5 Science,Harmony_Schools_South,Grade 5 Science,At Meets Grade Level or Above,2021_2022,0.07,0.38,0.07,0.39,0.24,0.38,0.27,0.41,0.2,0.3,0.71,0.71,0.24,0.36,0.23,0.33
Harmony_Schools_South_Grade 5 Science,Harmony_Schools_South,Grade 5 Science,At Meets Grade Level or Above,2021_2022,0.07,0.38,0.07,0.39,0.24,0.38,0.27,0.41,0.2,0.3,0.71,0.71,0.24,0.36,0.23,0.33
Sheldon_ISD_Grade 7 Reading,Sheldon_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021_2022,0.11,0.8,0.1,0.81,0.22,0.71,0.27,0.63,0.21,0.74,0.19,0.74,0.23,0.71,0.23,0.71
Sheldon_ISD_Grade 7 Reading,Sheldon_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021_2022,0.11,0.8,0.1,0.81,0.22,0.71,0.27,0.63,0.21,0.74,0.19,0.74,0.23,0.71,0.23,0.71
Alief_ISD_Grade 4 Reading,Alief_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.22,0.71,0.18,0.72,0.23,0.68,0.16,0.72,0.22,0.7,0.23,0.7
Alief_ISD_Grade 4 Reading,Alief_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021_2022,0.14,0.77,0.14,0.77,0.22,0.71,0.18,0.72,0.23,0.68,0.16,0.72,0.22,0.7,0.23,0.7
Harmony_Schools_South_Grade 4 Reading,Harmony_Schools_South,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.19,0.49,0.08,0.51,0.26,0.43,0.34,0.67,0.2,0.47,0.23,0.43
Harmony_Schools_South_Grade 4 Reading,Harmony_Schools_South,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.19,0.49,0.08,0.51,0.26,0.43,0.34,0.67,0.2,0.47,0.23,0.43
Crosby_ISD_Grade 5 Science,Crosby_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021_2022,0.04,0.66,0.04,0.66,0.06,0.72,-0.06,0.46,0.1,0.7,0.02,0.81,0.03,0.61,0.22,0.68
Crosby_ISD_Grade 5 Science,Crosby_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021_2022,0.04,0.66,0.04,0.66,0.06,0.72,-0.06,0.46,0.1,0.7,0.02,0.81,0.03,0.61,0.22,0.68
Harmony_Schools_West_Grade 3 Reading,Harmony_Schools_West,Grade 3 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.51,0.13,0.52,0.17,0.58,0.22,0.61,0.22,0.31,0.21,0.77,0.22,0.53,0.22,0.54
Harmony_Schools_West_Grade 3 Reading,Harmony_Schools_West,Grade 3 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.51,0.13,0.52,0.17,0.58,0.22,0.61,0.22,0.31,0.21,0.77,0.22,0.53,0.22,0.54
Sheldon_ISD_Grade 4 Reading,Sheldon_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.21,0.43,0.18,0.32,0.2,0.44,0.38,0.59,0.21,0.41,0.22,0.43
Sheldon_ISD_Grade 4 Reading,Sheldon_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.21,0.43,0.18,0.32,0.2,0.44,0.38,0.59,0.21,0.41,0.22,0.43
Pasadena_ISD_Grade 6 Reading,Pasadena_ISD,Grade 6 Reading,At Meets Grade Level or Above,2021_2022,0.11,0.43,0.1,0.44,0.08,0.32,0.04,0.27,0.09,0.31,0.04,0.4,0.08,0.29,0.22,0.31
Pasadena_ISD_Grade 6 Reading,Pasadena_ISD,Grade 6 Reading,At Meets Grade Level or Above,2021_2022,0.11,0.43,0.1,0.44,0.08,0.32,0.04,0.27,0.09,0.31,0.04,0.4,0.08,0.29,0.22,0.31
Crosby_ISD_Grade 3 Reading,Crosby_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021_2022,0.09,0.76,0.08,0.76,0.09,0.8,0.16,0.67,0.1,0.79,0.05,0.85,0.16,0.78,0.22,0.77
Crosby_ISD_Grade 3 Reading,Crosby_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021_2022,0.09,0.76,0.08,0.76,0.09,0.8,0.16,0.67,0.1,0.79,0.05,0.85,0.16,0.78,0.22,0.77
Yes_Prep_Schools_Grade 8 Mathematics,Yes_Prep_Schools,Grade 8 Mathematics,At Approaches Grade Level or Above,2021_2022,0.09,0.71,0.1,0.72,0.21,0.77,0.27,0.66,0.21,0.78,0.2,0.82,0.21,0.76,0.22,0.74
Yes_Prep_Schools_Grade 8 Mathematics,Yes_Prep_Schools,Grade 8 Mathematics,At Approaches Grade Level or Above,2021_2022,0.09,0.71,0.1,0.72,0.21,0.77,0.27,0.66,0.21,0.78,0.2,0.82,0.21,0.76,0.22,0.74
