Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
ALIEF ISD (101903) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,54%,54%,43%,47%,38%,44%,45%,57%,40%,54%,31%,39%,46%,37%,41%,40%
At Masters Grade Level,2021,30%,31%,17%,21%,12%,13%,10%,33%,*,27%,7%,13%,18%,14%,15%,15%
,2019,29%,30%,21%,22%,18%,21%,24%,36%,20%,36%,8%,16%,23%,16%,19%,19%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,49%,45%,45%,49%,34%,77%,*,82%,34%,39%,52%,41%,47%,49%
,2019,90%,89%,78%,75%,77%,82%,79%,91%,80%,93%,56%,66%,81%,72%,77%,79%
At Meets Grade Level or Above,2021,44%,45%,23%,23%,19%,22%,17%,49%,*,45%,22%,17%,25%,17%,22%,22%
,2019,58%,59%,42%,37%,39%,44%,45%,70%,40%,36%,30%,32%,44%,37%,40%,43%
At Masters Grade Level,2021,25%,26%,10%,9%,8%,8%,7%,27%,*,18%,9%,9%,11%,8%,9%,11%
,2019,36%,38%,23%,20%,20%,25%,14%,52%,40%,18%,9%,21%,25%,20%,22%,24%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,41%,42%,37%,37%,31%,62%,*,64%,29%,29%,43%,35%,39%,39%
,2019,75%,75%,63%,60%,62%,63%,59%,78%,60%,68%,39%,70%,66%,56%,62%,63%
At Meets Grade Level or Above,2021,31%,32%,14%,17%,10%,13%,10%,35%,*,9%,18%,13%,16%,11%,13%,13%
,2019,49%,50%,34%,29%,32%,39%,24%,57%,40%,43%,27%,27%,37%,28%,33%,34%
At Masters Grade Level,2021,13%,14%,4%,5%,3%,4%,0%,13%,*,9%,7%,4%,5%,4%,4%,4%
,2019,24%,25%,13%,10%,11%,19%,14%,31%,40%,14%,9%,9%,15%,10%,12%,13%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,50%,54%,46%,54%,64%,70%,*,67%,29%,60%,55%,39%,49%,49%
,2019,68%,69%,62%,66%,58%,53%,59%,77%,75%,71%,38%,62%,65%,57%,61%,59%
At Meets Grade Level or Above,2021,32%,34%,22%,25%,17%,28%,20%,41%,*,33%,17%,28%,24%,16%,20%,19%
,2019,37%,38%,30%,33%,24%,32%,27%,55%,63%,41%,22%,19%,33%,24%,28%,28%
At Masters Grade Level,2021,15%,16%,8%,9%,5%,10%,4%,23%,*,17%,4%,8%,9%,5%,7%,7%
,2019,18%,19%,14%,15%,9%,17%,9%,32%,38%,24%,7%,8%,15%,11%,12%,12%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,57%,55%,53%,60%,69%,83%,*,83%,38%,75%,61%,45%,55%,56%
,2019,81%,81%,77%,73%,76%,72%,59%,93%,100%,88%,52%,81%,79%,71%,76%,78%
At Meets Grade Level or Above,2021,36%,37%,25%,24%,22%,32%,23%,57%,*,17%,20%,33%,29%,17%,24%,26%
,2019,47%,48%,43%,39%,37%,37%,32%,79%,88%,53%,28%,43%,45%,37%,41%,43%
At Masters Grade Level,2021,15%,17%,9%,8%,6%,15%,12%,29%,*,0%,8%,21%,10%,6%,8%,9%
,2019,21%,22%,21%,16%,16%,19%,9%,56%,50%,35%,11%,27%,23%,16%,19%,22%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,60%,63%,56%,64%,50%,76%,*,78%,32%,75%,64%,50%,59%,58%
,2019,76%,77%,68%,71%,65%,59%,54%,83%,*,72%,43%,51%,73%,59%,67%,65%
At Meets Grade Level or Above,2021,45%,47%,33%,36%,29%,34%,19%,54%,*,44%,23%,29%,36%,26%,32%,32%
,2019,49%,51%,41%,43%,35%,37%,36%,65%,*,36%,30%,23%,45%,32%,39%,37%
At Masters Grade Level,2021,25%,27%,18%,18%,14%,21%,19%,36%,*,11%,8%,17%,19%,14%,17%,16%
,2019,29%,31%,22%,23%,18%,19%,25%,46%,*,12%,10%,9%,25%,16%,21%,19%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,50%,45%,48%,55%,50%,78%,*,67%,32%,48%,53%,42%,49%,51%
,2019,75%,77%,74%,72%,72%,66%,79%,91%,*,64%,51%,71%,77%,67%,73%,73%
