Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING BRANCH ISD (101920) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,48%,48%,47%,33%,33%,76%,*,76%,*,90%,16%,24%,50%,38%,31%,13%
At Masters Grade Level,2019,8%,9%,9%,3%,3%,20%,0%,24%,*,21%,3%,3%,10%,7%,3%,1%
,2018,8%,9%,9%,4%,4%,19%,*,26%,*,24%,3%,0%,10%,7%,4%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,84%,69%,79%,94%,71%,97%,*,87%,49%,93%,85%,79%,78%,78%
,2018,83%,83%,85%,74%,80%,96%,86%,98%,-,93%,50%,89%,87%,81%,79%,77%
At Meets Grade Level or Above,2019,61%,61%,61%,39%,51%,83%,29%,95%,*,65%,24%,72%,63%,55%,50%,49%
,2018,55%,55%,58%,35%,44%,82%,57%,92%,-,85%,20%,55%,61%,49%,44%,41%
At Masters Grade Level,2019,37%,38%,18%,11%,17%,18%,0%,31%,*,15%,6%,23%,19%,13%,18%,19%
,2018,32%,34%,15%,10%,12%,17%,29%,28%,-,28%,3%,18%,15%,13%,12%,13%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,88%,79%,84%,97%,100%,98%,*,94%,56%,86%,89%,87%,83%,80%
,2018,87%,86%,88%,80%,83%,97%,80%,98%,-,98%,63%,73%,89%,83%,82%,78%
At Meets Grade Level or Above,2019,62%,63%,64%,46%,51%,89%,60%,90%,*,88%,25%,69%,66%,56%,50%,44%
