Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
BETA ACADEMY (101870) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,37%,38%,65%,*,63%,-,-,-,-,-,*,-,54%,*,75%,60%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,100%,*,100%,-,-,-,-,-,*,-,100%,*,100%,100%
At Meets Grade Level or Above,2019,62%,63%,82%,*,81%,-,-,-,-,-,*,-,77%,*,83%,80%
At Masters Grade Level,2019,25%,28%,12%,*,6%,-,-,-,-,-,*,-,8%,*,8%,0%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,92%,95%,92%,98%,-,74%,-,80%,71%,*,93%,92%,92%,90%
,2018,77%,77%,92%,88%,92%,88%,-,100%,-,*,73%,*,96%,92%,93%,94%
At Meets Grade Level or Above,2019,50%,51%,60%,56%,61%,64%,-,39%,-,40%,18%,*,60%,59%,58%,56%
,2018,48%,49%,59%,55%,59%,65%,-,75%,-,*,30%,*,61%,59%,64%,60%
At Masters Grade Level,2019,24%,25%,27%,30%,27%,27%,-,17%,-,20%,6%,*,27%,27%,27%,25%
,2018,22%,23%,24%,25%,23%,38%,-,42%,-,*,9%,*,29%,24%,28%,22%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,96%,97%,97%,100%,-,78%,-,*,82%,*,96%,97%,95%,95%
,2018,74%,74%,95%,91%,95%,93%,-,*,-,-,75%,*,94%,95%,96%,97%
At Meets Grade Level or Above,2019,48%,49%,67%,58%,69%,63%,-,33%,-,*,30%,*,66%,67%,65%,67%
,2018,46%,47%,61%,52%,60%,71%,-,*,-,-,25%,*,59%,61%,64%,62%
At Masters Grade Level,2019,21%,22%,35%,35%,36%,31%,-,11%,-,*,9%,*,36%,34%,35%,31%
,2018,19%,20%,31%,30%,29%,57%,-,*,-,-,8%,*,32%,30%,30%,28%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,90%,100%,89%,100%,-,78%,-,*,67%,*,90%,91%,90%,87%
,2018,81%,82%,94%,87%,95%,87%,-,100%,-,*,79%,*,97%,93%,93%,94%
At Meets Grade Level or Above,2019,52%,53%,54%,58%,54%,50%,-,44%,-,*,12%,*,56%,53%,51%,49%
,2018,50%,51%,62%,61%,62%,60%,-,67%,-,*,36%,*,63%,61%,66%,61%
At Masters Grade Level,2019,26%,28%,24%,32%,23%,25%,-,22%,-,*,9%,*,23%,25%,23%,24%
,2018,24%,25%,22%,30%,21%,27%,-,33%,-,*,7%,*,26%,22%,29%,19%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,90%,*,91%,91%,-,*,-,-,50%,*,93%,88%,90%,86%
,2018,66%,66%,87%,100%,87%,*,-,-,-,*,*,-,-,87%,93%,85%
At Meets Grade Level or Above,2019,38%,39%,66%,*,64%,82%,-,*,-,-,17%,*,66%,66%,61%,50%
,2018,41%,42%,62%,50%,63%,*,-,-,-,*,*,-,-,62%,70%,69%
At Masters Grade Level,2019,14%,15%,26%,*,26%,27%,-,*,-,-,0%,*,26%,26%,27%,28%
,2018,13%,13%,26%,0%,28%,*,-,-,-,*,*,-,-,26%,33%,27%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,87%,75%,89%,*,-,*,-,*,67%,-,92%,82%,87%,93%
,2018,80%,80%,84%,71%,85%,*,-,*,-,-,60%,*,-,84%,88%,100%
At Meets Grade Level or Above,2019,54%,55%,48%,42%,49%,*,-,*,-,*,8%,-,51%,45%,51%,46%
,2018,51%,52%,48%,57%,44%,*,-,*,-,-,20%,*,-,48%,46%,47%
At Masters Grade Level,2019,25%,27%,13%,17%,12%,*,-,*,-,*,0%,-,12%,15%,13%,4%
,2018,23%,24%,13%,14%,12%,*,-,*,-,-,20%,*,-,13%,17%,11%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,96%,*,96%,*,-,-,-,-,*,-,93%,100%,94%,*
,2018,78%,79%,81%,*,80%,-,-,-,-,-,-,*,-,81%,80%,88%
At Meets Grade Level or Above,2019,55%,57%,63%,*,64%,*,-,-,-,-,*,-,60%,67%,67%,*
,2018,53%,54%,19%,*,20%,-,-,-,-,-,-,*,-,19%,40%,25%
At Masters Grade Level,2019,33%,36%,26%,*,28%,*,-,-,-,-,*,-,40%,8%,33%,*
,2018,31%,32%,5%,*,5%,-,-,-,-,-,-,*,-,5%,10%,0%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,44%,38%,48%,*,-,*,-,*,*,-,34%,64%,43%,45%
,2018,34%,34%,38%,40%,37%,60%,-,*,-,-,*,-,47%,28%,45%,38%
Reading and Mathematics Including EOC,2019,35%,36%,44%,38%,48%,*,-,*,-,*,*,-,34%,64%,43%,45%
,2018,34%,34%,38%,40%,37%,60%,-,*,-,-,*,-,47%,28%,45%,38%
Reading Including EOC,2019,45%,45%,65%,63%,70%,*,-,*,-,*,*,-,60%,76%,68%,72%
,2018,43%,44%,54%,40%,50%,100%,-,*,-,-,*,-,59%,48%,55%,46%
Math Including EOC,2019,49%,48%,55%,63%,56%,*,-,*,-,*,*,-,49%,68%,54%,48%
,2018,47%,48%,54%,60%,54%,60%,-,*,-,-,*,-,63%,44%,61%,47%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,27%,*,27%,20%,-,*,-,-,0%,-,29%,26%,26%,24%
,2018,36%,37%,42%,33%,43%,*,-,-,-,-,*,-,-,42%,39%,31%
Reading and Mathematics Including EOC,2019,35%,36%,27%,*,27%,20%,-,*,-,-,0%,-,29%,26%,26%,24%
,2018,36%,37%,42%,33%,43%,*,-,-,-,-,*,-,-,42%,39%,31%
Reading Including EOC,2019,44%,45%,61%,*,61%,40%,-,*,-,-,14%,-,63%,59%,61%,60%
,2018,46%,46%,58%,50%,60%,*,-,-,-,-,*,-,-,58%,54%,50%
Math Including EOC,2019,48%,49%,28%,*,28%,20%,-,*,-,-,0%,-,29%,28%,26%,24%
,2018,49%,51%,56%,67%,55%,*,-,*,-,*,50%,-,-,56%,52%,50%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,38%,30%,41%,-,-,*,-,*,0%,-,33%,41%,34%,35%
