Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HUFFMAN ISD (101925) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,29%,30%,28%,*,21%,31%,-,*,-,*,7%,33%,26%,31%,15%,9%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,68%,*,58%,73%,*,-,-,*,40%,100%,70%,61%,56%,52%
,2019,90%,89%,89%,*,83%,92%,-,*,-,*,73%,100%,90%,88%,82%,84%
At Meets Grade Level or Above,2021,44%,45%,37%,*,22%,43%,*,-,-,*,6%,33%,40%,29%,24%,26%
,2019,58%,59%,58%,*,44%,64%,-,*,-,*,33%,50%,60%,55%,43%,41%
At Masters Grade Level,2021,25%,26%,16%,*,9%,18%,*,-,-,*,0%,17%,17%,13%,14%,15%
,2019,36%,38%,32%,*,28%,34%,-,*,-,*,10%,50%,33%,30%,19%,22%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,59%,*,54%,62%,*,-,-,*,15%,67%,62%,51%,47%,48%
,2019,75%,75%,76%,*,68%,81%,-,*,-,*,45%,67%,77%,75%,62%,63%
At Meets Grade Level or Above,2021,31%,32%,24%,*,9%,30%,*,-,-,*,0%,50%,26%,19%,13%,7%
,2019,49%,50%,41%,*,30%,47%,-,*,-,*,21%,17%,46%,32%,22%,22%
At Masters Grade Level,2021,13%,14%,8%,*,3%,11%,*,-,-,*,0%,0%,10%,4%,4%,4%
,2019,24%,25%,13%,*,10%,14%,-,*,-,*,0%,0%,14%,12%,4%,9%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,59%,71%,58%,59%,-,*,-,-,32%,40%,65%,46%,43%,61%
,2019,68%,69%,62%,*,49%,65%,-,*,-,67%,23%,*,61%,63%,52%,63%
At Meets Grade Level or Above,2021,32%,34%,24%,43%,21%,25%,-,*,-,-,15%,20%,28%,16%,13%,25%
,2019,37%,38%,33%,*,18%,39%,-,*,-,33%,9%,*,32%,37%,20%,25%
At Masters Grade Level,2021,15%,16%,10%,29%,14%,7%,-,*,-,-,6%,20%,11%,8%,7%,14%
,2019,18%,19%,14%,*,10%,15%,-,*,-,17%,9%,*,13%,16%,7%,19%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,68%,67%,62%,71%,-,*,-,-,55%,50%,74%,53%,48%,64%
,2019,81%,81%,74%,*,62%,79%,-,*,-,50%,32%,*,76%,70%,65%,75%
At Meets Grade Level or Above,2021,36%,37%,27%,33%,25%,28%,-,*,-,-,12%,17%,32%,16%,18%,25%
,2019,47%,48%,32%,*,25%,34%,-,*,-,33%,5%,*,28%,39%,22%,44%
At Masters Grade Level,2021,15%,17%,11%,17%,10%,11%,-,*,-,-,9%,0%,13%,7%,6%,7%
,2019,21%,22%,8%,*,3%,9%,-,*,-,0%,5%,*,8%,8%,6%,6%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,68%,*,53%,73%,*,*,-,*,24%,*,68%,68%,53%,45%
,2019,76%,77%,74%,83%,67%,75%,*,*,-,*,23%,*,74%,74%,69%,59%
At Meets Grade Level or Above,2021,45%,47%,34%,*,28%,37%,*,*,-,*,9%,*,34%,34%,29%,14%
,2019,49%,51%,42%,67%,34%,45%,*,*,-,*,18%,*,43%,42%,31%,37%
At Masters Grade Level,2021,25%,27%,17%,*,15%,16%,*,*,-,*,3%,*,17%,18%,13%,3%
,2019,29%,31%,21%,50%,14%,23%,*,*,-,*,5%,*,21%,25%,17%,15%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,45%,*,32%,50%,*,*,-,*,19%,*,46%,40%,34%,38%
,2019,75%,77%,68%,67%,59%,70%,*,*,-,*,27%,*,70%,61%,58%,48%
At Meets Grade Level or Above,2021,27%,29%,11%,*,5%,12%,*,*,-,*,3%,*,11%,12%,11%,17%
,2019,43%,46%,30%,33%,21%,32%,*,*,-,*,18%,*,31%,26%,19%,19%
At Masters Grade Level,2021,12%,13%,1%,*,0%,0%,*,*,-,*,0%,*,0%,2%,2%,4%
,2019,17%,18%,7%,17%,5%,7%,*,*,-,*,5%,*,8%,5%,5%,4%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,63%,*,51%,68%,*,*,-,*,24%,*,65%,57%,47%,23%
