Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.74,0.50,0.68,0.77,-,*,-,1.00,0.56,0.76,0.71,0.64,1.00
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.77,0.53,0.64,0.89,-,*,-,-,0.75,0.74,0.81,0.79,*
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Meets Grade Level or Above,2022,0.38,0.39,0.45,0.20,0.39,0.51,-,*,-,0.40,0.00,0.56,0.36,0.36,0.80
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Meets Grade Level or Above,2021,0.31,0.32,0.38,0.27,0.32,0.45,-,*,-,-,0.25,0.33,0.47,0.29,*
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Masters Grade Level,2022,0.18,0.19,0.26,0.20,0.25,0.28,-,*,-,0.00,0.00,0.36,0.18,0.27,0.60
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Masters Grade Level,2021,0.13,0.14,0.16,0.13,0.14,0.17,-,*,-,-,0.00,0.09,0.28,0.07,*
Aristoi_Classical_Academy_Grade 6 Reading,Aristoi_Classical_Academy,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.70,0.70,0.92,0.81,0.94,0.94,*,*,-,*,0.65,0.95,0.89,0.80,*
Aristoi_Classical_Academy_Grade 6 Reading,Aristoi_Classical_Academy,Grade 6 Reading,At Approaches Grade Level or Above,2021,0.62,0.64,0.81,0.75,0.78,0.83,-,*,-,-,0.43,0.74,0.86,0.76,*
Aristoi_Classical_Academy_Grade 6 Reading,Aristoi_Classical_Academy,Grade 6 Reading,At Meets Grade Level or Above,2022,0.43,0.44,0.74,0.63,0.65,0.83,*,*,-,*,0.35,0.78,0.69,0.64,*
Aristoi_Classical_Academy_Grade 6 Reading,Aristoi_Classical_Academy,Grade 6 Reading,At Meets Grade Level or Above,2021,0.32,0.34,0.45,0.50,0.39,0.44,-,*,-,-,0.29,0.47,0.43,0.29,*
Aristoi_Classical_Academy_Grade 6 Reading,Aristoi_Classical_Academy,Grade 6 Reading,At Masters Grade Level,2022,0.23,0.24,0.45,0.19,0.35,0.58,*,*,-,*,0.05,0.41,0.49,0.32,*
Aristoi_Classical_Academy_Grade 6 Reading,Aristoi_Classical_Academy,Grade 6 Reading,At Masters Grade Level,2021,0.15,0.16,0.21,0.33,0.04,0.24,-,*,-,-,0.00,0.12,0.27,0.06,*
Aristoi_Classical_Academy_Grade 6 Mathematics,Aristoi_Classical_Academy,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.86,0.69,0.84,0.92,*,*,-,*,0.55,0.90,0.82,0.76,*
Aristoi_Classical_Academy_Grade 6 Mathematics,Aristoi_Classical_Academy,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.81,0.83,0.71,0.85,-,*,-,-,0.57,0.77,0.84,0.65,*
Aristoi_Classical_Academy_Grade 6 Mathematics,Aristoi_Classical_Academy,Grade 6 Mathematics,At Meets Grade Level or Above,2022,0.39,0.40,0.62,0.56,0.45,0.71,*,*,-,*,0.25,0.62,0.62,0.48,*
Aristoi_Classical_Academy_Grade 6 Mathematics,Aristoi_Classical_Academy,Grade 6 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.61,0.67,0.38,0.71,-,*,-,-,0.43,0.54,0.66,0.35,*
Aristoi_Classical_Academy_Grade 6 Mathematics,Aristoi_Classical_Academy,Grade 6 Mathematics,At Masters Grade Level,2022,0.16,0.18,0.31,0.19,0.23,0.38,*,*,-,*,0.05,0.28,0.36,0.24,*
Aristoi_Classical_Academy_Grade 6 Mathematics,Aristoi_Classical_Academy,Grade 6 Mathematics,At Masters Grade Level,2021,0.15,0.17,0.18,0.08,0.13,0.24,-,*,-,-,0.14,0.06,0.27,0.06,*
Aristoi_Classical_Academy_Grade 7 Reading,Aristoi_Classical_Academy,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.80,0.81,0.94,0.89,0.95,0.93,-,*,-,*,0.57,0.92,0.95,0.95,*
Aristoi_Classical_Academy_Grade 7 Reading,Aristoi_Classical_Academy,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.88,*,0.94,0.89,-,*,-,*,0.29,0.88,0.87,0.88,*
Aristoi_Classical_Academy_Grade 7 Reading,Aristoi_Classical_Academy,Grade 7 Reading,At Meets Grade Level or Above,2022,0.56,0.58,0.85,0.89,0.82,0.88,-,*,-,*,0.43,0.82,0.87,0.85,*
Aristoi_Classical_Academy_Grade 7 Reading,Aristoi_Classical_Academy,Grade 7 Reading,At Meets Grade Level or Above,2021,0.45,0.47,0.64,*,0.44,0.82,-,*,-,*,0.29,0.64,0.65,0.56,*
Aristoi_Classical_Academy_Grade 7 Reading,Aristoi_Classical_Academy,Grade 7 Reading,At Masters Grade Level,2022,0.37,0.39,0.59,0.67,0.32,0.71,-,*,-,*,0.14,0.54,0.64,0.50,*
Aristoi_Classical_Academy_Grade 7 Reading,Aristoi_Classical_Academy,Grade 7 Reading,At Masters Grade Level,2021,0.25,0.27,0.38,*,0.28,0.45,-,*,-,*,0.14,0.36,0.39,0.50,*
Aristoi_Classical_Academy_Grade 7 Mathematics,Aristoi_Classical_Academy,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.83,0.67,0.82,0.85,-,*,-,*,0.43,0.74,0.92,0.80,*
Aristoi_Classical_Academy_Grade 7 Mathematics,Aristoi_Classical_Academy,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,0.55,0.57,0.73,*,0.72,0.76,-,*,-,*,0.14,0.76,0.71,0.69,*
Aristoi_Classical_Academy_Grade 7 Mathematics,Aristoi_Classical_Academy,Grade 7 Mathematics,At Meets Grade Level or Above,2022,0.31,0.34,0.50,0.22,0.45,0.56,-,*,-,*,0.14,0.46,0.54,0.45,*
Aristoi_Classical_Academy_Grade 7 Mathematics,Aristoi_Classical_Academy,Grade 7 Mathematics,At Meets Grade Level or Above,2021,0.27,0.29,0.34,*,0.28,0.37,-,*,-,*,0.00,0.36,0.32,0.19,*
Aristoi_Classical_Academy_Grade 7 Mathematics,Aristoi_Classical_Academy,Grade 7 Mathematics,At Masters Grade Level,2022,0.13,0.15,0.17,0.00,0.09,0.24,-,*,-,*,0.00,0.10,0.23,0.15,*
Aristoi_Classical_Academy_Grade 7 Mathematics,Aristoi_Classical_Academy,Grade 7 Mathematics,At Masters Grade Level,2021,0.12,0.13,0.19,*,0.22,0.16,-,*,-,*,0.00,0.21,0.16,0.19,*
