Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
KLEIN ISD (101915) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,29%,31%,34%,21%,25%,45%,33%,60%,*,42%,7%,17%,38%,24%,21%,18%
,2018,29%,30%,34%,22%,27%,44%,25%,51%,*,41%,11%,32%,37%,28%,22%,19%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,82%,69%,78%,90%,80%,97%,*,84%,41%,84%,85%,75%,73%,74%
,2018,72%,75%,80%,66%,75%,88%,87%,95%,*,88%,46%,87%,83%,74%,70%,73%
At Meets Grade Level or Above,2019,43%,46%,50%,33%,40%,63%,50%,84%,*,49%,19%,38%,55%,39%,35%,36%
,2018,40%,43%,50%,29%,40%,63%,33%,79%,*,61%,22%,54%,54%,40%,35%,38%
At Masters Grade Level,2019,17%,18%,20%,9%,12%,27%,10%,56%,*,22%,5%,14%,23%,14%,11%,12%
,2018,18%,20%,24%,11%,15%,32%,13%,55%,*,35%,7%,25%,27%,18%,13%,14%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,73%,61%,65%,85%,67%,89%,*,82%,26%,65%,76%,65%,61%,59%
,2018,69%,69%,73%,63%,64%,83%,81%,87%,*,79%,29%,67%,76%,65%,60%,55%
At Meets Grade Level or Above,2019,42%,43%,44%,31%,34%,56%,56%,72%,*,54%,14%,29%,48%,35%,31%,26%
,2018,43%,44%,47%,35%,35%,61%,44%,69%,*,58%,18%,46%,51%,38%,31%,27%
At Masters Grade Level,2019,18%,19%,19%,12%,12%,25%,0%,46%,*,22%,5%,8%,21%,13%,10%,7%
,2018,15%,16%,15%,8%,9%,20%,6%,34%,*,24%,4%,17%,17%,11%,7%,6%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,88%,82%,84%,94%,88%,97%,*,96%,51%,93%,91%,81%,82%,77%
,2018,86%,86%,90%,83%,86%,96%,100%,95%,*,92%,60%,92%,92%,84%,83%,77%
At Meets Grade Level or Above,2019,55%,56%,60%,44%,50%,72%,65%,81%,*,73%,24%,58%,64%,48%,45%,39%
,2018,49%,51%,54%,39%,47%,67%,36%,69%,*,63%,27%,58%,58%,45%,40%,33%
At Masters Grade Level,2019,28%,30%,33%,19%,24%,44%,41%,51%,*,45%,7%,37%,36%,23%,20%,16%
,2018,27%,28%,30%,18%,24%,38%,7%,45%,*,37%,7%,26%,32%,24%,17%,15%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,91%,85%,90%,95%,100%,98%,*,93%,67%,94%,93%,87%,88%,89%
,2018,86%,87%,88%,83%,85%,93%,82%,97%,*,91%,59%,86%,89%,85%,84%,83%
At Meets Grade Level or Above,2019,57%,58%,56%,47%,50%,65%,69%,83%,*,64%,28%,84%,59%,49%,47%,45%
,2018,51%,52%,45%,30%,41%,57%,45%,74%,*,48%,26%,28%,48%,41%,37%,37%
At Masters Grade Level,2019,17%,18%,14%,7%,10%,18%,8%,42%,*,20%,6%,13%,16%,8%,9%,8%
,2018,15%,16%,10%,4%,7%,13%,0%,40%,*,14%,6%,7%,11%,7%,6%,7%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,84%,76%,79%,91%,88%,95%,*,90%,49%,88%,87%,75%,77%,73%
,2018,76%,77%,81%,68%,74%,92%,75%,92%,*,90%,45%,84%,84%,74%,71%,65%
At Meets Grade Level or Above,2019,51%,52%,56%,40%,47%,69%,47%,77%,*,73%,26%,71%,60%,45%,43%,38%
,2018,52%,53%,61%,40%,51%,79%,44%,81%,*,68%,26%,76%,66%,50%,45%,38%
At Masters Grade Level,2019,25%,27%,29%,14%,20%,42%,24%,53%,*,37%,10%,36%,33%,20%,18%,14%
,2018,28%,29%,35%,17%,26%,51%,19%,60%,*,36%,8%,38%,38%,28%,20%,16%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,72%,61%,64%,83%,82%,90%,*,85%,37%,83%,76%,63%,61%,54%
,2018,65%,66%,69%,54%,60%,82%,50%,87%,*,76%,33%,79%,72%,61%,55%,49%
At Meets Grade Level or Above,2019,37%,38%,41%,27%,31%,52%,47%,65%,*,52%,20%,55%,45%,30%,27%,21%
,2018,36%,37%,38%,24%,30%,49%,25%,63%,*,45%,19%,38%,40%,33%,25%,21%
At Masters Grade Level,2019,21%,23%,23%,13%,16%,33%,6%,43%,*,32%,7%,38%,26%,16%,14%,10%
,2018,21%,22%,21%,13%,14%,29%,13%,41%,*,26%,6%,28%,23%,17%,11%,9%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,68%,57%,61%,82%,67%,84%,*,79%,28%,42%,72%,58%,56%,46%
,2018,65%,65%,66%,50%,59%,80%,75%,84%,100%,82%,23%,68%,71%,55%,53%,43%
At Meets Grade Level or Above,2019,50%,50%,52%,37%,43%,70%,52%,75%,*,64%,15%,26%,56%,41%,37%,29%
,2018,44%,45%,46%,30%,37%,64%,44%,70%,83%,59%,11%,53%,51%,35%,31%,19%
At Masters Grade Level,2019,11%,11%,13%,5%,7%,22%,10%,32%,*,21%,3%,2%,15%,8%,5%,2%
,2018,7%,8%,9%,4%,4%,14%,0%,24%,17%,12%,2%,4%,10%,6%,4%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,69%,60%,61%,82%,69%,85%,80%,81%,23%,58%,73%,59%,57%,41%
,2018,67%,67%,70%,58%,62%,83%,79%,83%,*,81%,25%,58%,76%,56%,59%,38%
At Meets Grade Level or Above,2019,49%,50%,52%,37%,41%,70%,38%,74%,80%,61%,12%,40%,56%,41%,36%,20%
,2018,48%,48%,53%,37%,42%,70%,79%,71%,*,69%,15%,36%,58%,39%,37%,16%
At Masters Grade Level,2019,8%,9%,10%,4%,5%,17%,0%,22%,20%,15%,3%,2%,11%,6%,4%,1%
,2018,8%,9%,11%,4%,6%,18%,14%,26%,*,21%,4%,6%,13%,8%,4%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,84%,77%,79%,90%,93%,97%,*,87%,49%,74%,86%,78%,76%,75%
,2018,83%,83%,83%,72%,80%,89%,100%,97%,*,90%,43%,81%,87%,74%,75%,73%
At Meets Grade Level or Above,2019,61%,61%,60%,43%,53%,70%,67%,89%,*,64%,22%,49%,64%,49%,47%,49%
,2018,55%,55%,55%,36%,47%,69%,61%,87%,*,68%,16%,48%,61%,44%,42%,39%
At Masters Grade Level,2019,37%,38%,38%,21%,29%,48%,53%,75%,*,45%,7%,26%,41%,29%,26%,28%
,2018,32%,34%,33%,15%,25%,44%,33%,73%,*,41%,6%,29%,37%,25%,22%,21%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,87%,82%,82%,95%,72%,96%,*,95%,59%,82%,90%,81%,80%,72%
,2018,87%,86%,88%,79%,84%,95%,85%,96%,100%,96%,58%,85%,91%,80%,81%,74%
At Meets Grade Level or Above,2019,62%,63%,64%,48%,54%,81%,56%,83%,*,75%,26%,45%,68%,52%,47%,36%
,2018,59%,60%,64%,45%,52%,81%,62%,87%,100%,81%,20%,67%,69%,52%,47%,34%
At Masters Grade Level,2019,25%,28%,29%,14%,20%,43%,22%,50%,*,33%,5%,5%,32%,21%,14%,8%
,2018,24%,26%,30%,14%,19%,45%,15%,61%,60%,42%,4%,26%,34%,21%,15%,9%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,94%,90%,92%,97%,100%,97%,*,96%,68%,88%,95%,89%,90%,82%
,2018,92%,91%,94%,90%,92%,96%,100%,97%,*,97%,65%,94%,95%,91%,91%,82%
At Meets Grade Level or Above,2019,73%,75%,80%,71%,73%,90%,90%,88%,*,90%,40%,69%,84%,69%,69%,48%
,2018,70%,71%,80%,68%,74%,89%,92%,90%,*,85%,39%,74%,83%,70%,70%,50%
At Masters Grade Level,2019,45%,49%,56%,43%,45%,70%,90%,72%,*,73%,17%,50%,61%,42%,42%,23%
,2018,40%,43%,53%,38%,43%,67%,77%,68%,*,64%,14%,52%,56%,42%,39%,20%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,81%,71%,75%,89%,78%,92%,86%,86%,47%,80%,83%,74%,72%,70%
,2018,77%,77%,80%,69%,75%,89%,78%,92%,83%,87%,46%,80%,83%,74%,71%,69%
At Meets Grade Level or Above,2019,50%,51%,54%,39%,44%,67%,53%,76%,55%,62%,24%,49%,57%,44%,40%,38%
,2018,48%,49%,53%,37%,44%,67%,48%,75%,69%,62%,24%,49%,57%,44%,39%,36%
At Masters Grade Level,2019,24%,25%,26%,15%,19%,37%,22%,48%,21%,32%,8%,24%,29%,20%,16%,15%
,2018,22%,23%,26%,14%,18%,35%,18%,47%,20%,32%,7%,23%,28%,20%,15%,14%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,78%,68%,72%,88%,74%,90%,86%,84%,39%,75%,81%,70%,68%,65%
,2018,74%,74%,78%,66%,72%,88%,79%,89%,74%,87%,40%,75%,81%,70%,67%,64%
At Meets Grade Level or Above,2019,48%,49%,52%,38%,42%,67%,52%,73%,50%,61%,21%,42%,56%,43%,38%,34%
,2018,46%,47%,52%,37%,42%,66%,50%,70%,61%,62%,22%,46%,55%,43%,37%,31%
At Masters Grade Level,2019,21%,22%,24%,13%,16%,34%,22%,42%,21%,31%,6%,19%,26%,18%,14%,13%
,2018,19%,20%,23%,13%,16%,32%,15%,39%,23%,31%,6%,18%,25%,18%,13%,12%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,84%,76%,81%,91%,86%,96%,88%,86%,57%,88%,87%,79%,78%,80%
,2018,81%,82%,84%,74%,81%,91%,82%,96%,91%,89%,54%,87%,87%,79%,77%,79%
At Meets Grade Level or Above,2019,52%,53%,55%,40%,47%,66%,57%,82%,63%,60%,28%,56%,58%,46%,43%,46%
,2018,50%,51%,53%,35%,45%,65%,44%,80%,65%,60%,26%,49%,57%,46%,40%,44%
At Masters Grade Level,2019,26%,28%,28%,15%,20%,37%,22%,57%,17%,31%,9%,28%,30%,22%,18%,22%
,2018,24%,25%,27%,13%,20%,35%,18%,55%,13%,32%,8%,25%,29%,21%,16%,19%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,72%,60%,64%,83%,62%,88%,67%,81%,34%,65%,75%,64%,60%,61%
,2018,66%,66%,71%,61%,63%,81%,71%,87%,57%,78%,31%,70%,75%,64%,58%,58%
At Meets Grade Level or Above,2019,38%,39%,42%,30%,32%,54%,52%,66%,17%,50%,19%,29%,45%,35%,29%,28%
,2018,41%,42%,47%,35%,36%,60%,43%,68%,43%,55%,21%,42%,50%,40%,32%,31%
At Masters Grade Level,2019,14%,15%,15%,11%,10%,21%,5%,33%,0%,16%,6%,7%,17%,12%,8%,7%
,2018,13%,13%,15%,7%,9%,19%,7%,31%,0%,22%,4%,13%,16%,11%,7%,7%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,84%,75%,78%,92%,78%,94%,88%,89%,52%,83%,86%,76%,75%,72%
,2018,80%,80%,83%,72%,78%,93%,77%,93%,93%,92%,52%,83%,86%,77%,75%,70%
At Meets Grade Level or Above,2019,54%,55%,58%,41%,49%,74%,46%,79%,63%,68%,26%,57%,63%,47%,43%,39%
,2018,51%,52%,57%,39%,47%,73%,49%,78%,93%,71%,24%,64%,62%,47%,42%,36%
At Masters Grade Level,2019,25%,27%,29%,14%,20%,43%,22%,50%,25%,36%,9%,29%,32%,21%,16%,14%
,2018,23%,24%,29%,14%,20%,43%,15%,53%,29%,35%,7%,30%,32%,22%,15%,13%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,83%,74%,78%,90%,89%,94%,100%,90%,52%,85%,86%,75%,75%,65%
,2018,78%,79%,81%,73%,76%,89%,72%,92%,100%,86%,49%,86%,84%,75%,73%,61%
At Meets Grade Level or Above,2019,55%,57%,60%,47%,52%,71%,63%,77%,71%,70%,30%,60%,65%,48%,47%,32%
,2018,53%,54%,59%,47%,51%,69%,55%,78%,100%,65%,29%,54%,62%,50%,47%,32%
At Masters Grade Level,2019,33%,36%,40%,27%,31%,51%,37%,58%,43%,51%,12%,43%,44%,28%,27%,15%
,2018,31%,32%,37%,25%,29%,48%,41%,56%,33%,44%,10%,39%,40%,28%,25%,13%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,39%,28%,29%,52%,55%,61%,*,49%,25%,33%,42%,31%,26%,29%
,2018,34%,34%,38%,27%,29%,52%,25%,53%,*,45%,27%,28%,40%,32%,25%,26%
Reading and Mathematics Including EOC,2019,35%,36%,39%,28%,29%,52%,55%,61%,*,49%,25%,33%,42%,31%,26%,29%
,2018,34%,34%,38%,27%,29%,52%,25%,53%,*,45%,27%,28%,40%,32%,25%,26%
Reading Including EOC,2019,45%,45%,50%,39%,40%,62%,55%,69%,*,57%,30%,42%,52%,42%,37%,38%
,2018,43%,44%,47%,36%,36%,62%,42%,59%,*,59%,30%,35%,49%,39%,33%,30%
Math Including EOC,2019,49%,48%,51%,36%,42%,63%,55%,75%,*,57%,32%,51%,54%,41%,38%,44%
,2018,47%,48%,53%,38%,45%,64%,42%,69%,*,57%,36%,43%,54%,47%,40%,45%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,38%,24%,29%,51%,33%,60%,*,42%,26%,36%,41%,33%,26%,29%
,2018,36%,37%,43%,23%,34%,56%,15%,65%,*,48%,26%,38%,46%,36%,27%,30%
Reading and Mathematics Including EOC,2019,35%,36%,38%,24%,29%,51%,33%,60%,*,42%,26%,36%,41%,33%,26%,29%
,2018,36%,37%,43%,23%,34%,56%,15%,65%,*,48%,26%,38%,46%,36%,27%,30%
Reading Including EOC,2019,44%,45%,48%,34%,38%,64%,50%,67%,*,52%,31%,38%,50%,43%,35%,37%
,2018,46%,46%,51%,34%,42%,64%,31%,71%,*,55%,28%,50%,54%,45%,35%,37%
Math Including EOC,2019,48%,49%,51%,36%,44%,63%,42%,73%,*,57%,34%,57%,54%,45%,40%,47%
,2018,49%,51%,57%,36%,49%,70%,31%,84%,*,63%,33%,58%,60%,51%,42%,49%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,51%,35%,40%,64%,55%,74%,*,58%,24%,49%,55%,41%,36%,38%
,2018,44%,44%,52%,37%,42%,65%,40%,71%,83%,62%,25%,53%,56%,43%,37%,39%
Reading and Mathematics Including EOC,2019,44%,44%,51%,35%,40%,64%,55%,74%,*,58%,24%,49%,55%,41%,36%,38%
,2018,44%,44%,52%,37%,42%,65%,40%,71%,83%,62%,25%,53%,56%,43%,37%,39%
Reading Including EOC,2019,54%,54%,58%,46%,48%,71%,64%,76%,*,66%,28%,53%,61%,51%,45%,44%
,2018,54%,54%,61%,48%,52%,75%,60%,73%,83%,73%,31%,58%,65%,53%,46%,47%
Math Including EOC,2019,58%,59%,66%,49%,59%,77%,55%,89%,*,68%,36%,71%,70%,57%,53%,60%
,2018,58%,59%,66%,50%,60%,77%,50%,87%,83%,71%,40%,61%,70%,59%,55%,60%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,36%,22%,25%,49%,50%,57%,20%,49%,16%,35%,39%,28%,23%,22%
