Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ALIEF ISD (101903) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,15%,16%,13%,13%,8%,7%,15%,32%,*,26%,16%,6%,15%,7%,12%,11%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,80%,83%,76%,78%,72%,87%,*,95%,47%,82%,84%,69%,79%,75%
,2018,86%,86%,80%,83%,76%,80%,67%,91%,100%,100%,56%,68%,84%,70%,80%,74%
At Meets Grade Level or Above,2019,55%,56%,47%,47%,43%,49%,38%,65%,*,55%,25%,31%,52%,35%,45%,41%
,2018,49%,51%,41%,41%,34%,35%,33%,63%,60%,71%,34%,41%,44%,33%,39%,31%
At Masters Grade Level,2019,28%,30%,21%,22%,17%,22%,7%,41%,*,25%,11%,5%,25%,14%,20%,16%
,2018,27%,28%,20%,19%,16%,19%,17%,38%,20%,50%,21%,24%,22%,16%,19%,14%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,83%,83%,81%,90%,73%,94%,*,81%,52%,82%,85%,79%,83%,82%
,2018,86%,87%,83%,81%,82%,80%,78%,96%,*,100%,47%,64%,84%,81%,83%,82%
At Meets Grade Level or Above,2019,57%,58%,50%,49%,46%,54%,46%,76%,*,38%,30%,44%,53%,43%,49%,47%
,2018,51%,52%,45%,41%,41%,45%,39%,75%,*,82%,29%,39%,46%,42%,44%,43%
At Masters Grade Level,2019,17%,18%,13%,13%,9%,16%,4%,36%,*,13%,12%,8%,13%,12%,12%,11%
,2018,15%,16%,11%,8%,9%,13%,9%,29%,*,18%,15%,11%,11%,11%,11%,10%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,75%,77%,71%,75%,62%,90%,*,85%,47%,74%,79%,67%,74%,70%
,2018,76%,77%,68%,69%,62%,64%,63%,91%,100%,87%,34%,64%,72%,59%,67%,61%
At Meets Grade Level or Above,2019,51%,52%,45%,45%,39%,46%,28%,70%,*,60%,25%,29%,50%,34%,44%,39%
,2018,52%,53%,41%,38%,34%,32%,33%,75%,80%,80%,25%,36%,44%,33%,39%,34%
At Masters Grade Level,2019,25%,27%,22%,20%,17%,23%,7%,47%,*,35%,10%,13%,24%,15%,20%,17%
,2018,28%,29%,20%,15%,15%,18%,15%,52%,60%,40%,9%,21%,23%,14%,19%,16%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,57%,61%,50%,60%,45%,76%,*,63%,35%,47%,61%,47%,56%,50%
,2018,65%,66%,50%,49%,44%,49%,41%,78%,100%,67%,29%,48%,54%,40%,48%,43%
At Meets Grade Level or Above,2019,37%,38%,27%,29%,21%,30%,14%,49%,*,32%,24%,13%,31%,19%,27%,20%
,2018,36%,37%,23%,20%,18%,18%,15%,50%,40%,47%,23%,21%,26%,16%,21%,18%
At Masters Grade Level,2019,21%,23%,15%,15%,11%,18%,7%,36%,*,16%,11%,11%,18%,10%,14%,11%
,2018,21%,22%,11%,8%,8%,5%,4%,31%,0%,33%,14%,3%,12%,7%,9%,8%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,55%,59%,50%,53%,50%,69%,63%,82%,27%,38%,61%,43%,54%,42%
,2018,65%,65%,54%,58%,50%,47%,37%,69%,60%,70%,34%,39%,62%,41%,55%,39%
At Meets Grade Level or Above,2019,50%,50%,35%,37%,29%,37%,36%,52%,38%,59%,19%,17%,40%,24%,34%,21%
,2018,44%,45%,34%,34%,30%,33%,24%,52%,40%,40%,31%,18%,39%,24%,33%,19%
At Masters Grade Level,2019,11%,11%,6%,4%,4%,5%,7%,17%,0%,18%,5%,3%,7%,4%,5%,1%
,2018,7%,8%,5%,4%,3%,9%,7%,15%,10%,20%,13%,0%,7%,3%,5%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,57%,61%,52%,53%,65%,66%,70%,74%,33%,45%,62%,46%,56%,36%
,2018,67%,67%,57%,61%,54%,46%,21%,64%,40%,86%,26%,40%,64%,43%,56%,35%
At Meets Grade Level or Above,2019,49%,50%,36%,38%,32%,39%,41%,49%,40%,47%,29%,21%,41%,27%,35%,16%
,2018,48%,48%,36%,38%,33%,32%,12%,49%,20%,57%,23%,21%,41%,26%,35%,15%
At Masters Grade Level,2019,8%,9%,5%,5%,4%,11%,12%,11%,10%,21%,17%,0%,6%,3%,5%,1%
,2018,8%,9%,5%,4%,3%,6%,0%,12%,0%,14%,11%,2%,5%,3%,4%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,77%,77%,74%,80%,94%,93%,50%,70%,43%,69%,80%,72%,78%,75%
,2018,83%,83%,76%,78%,72%,65%,52%,91%,63%,75%,52%,75%,81%,67%,76%,70%
At Meets Grade Level or Above,2019,61%,61%,50%,48%,45%,52%,65%,81%,33%,50%,23%,20%,55%,41%,51%,47%
,2018,55%,55%,44%,44%,38%,39%,23%,78%,38%,25%,28%,44%,50%,35%,44%,38%
At Masters Grade Level,2019,37%,38%,29%,25%,24%,31%,53%,61%,17%,35%,8%,6%,32%,22%,28%,27%
,2018,32%,34%,25%,20%,19%,19%,18%,64%,25%,20%,18%,21%,29%,19%,24%,21%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,80%,86%,76%,70%,80%,88%,100%,89%,58%,71%,85%,71%,81%,72%
,2018,87%,86%,77%,83%,73%,66%,60%,85%,67%,84%,64%,78%,85%,64%,78%,64%
At Meets Grade Level or Above,2019,62%,63%,50%,53%,43%,49%,47%,71%,63%,74%,24%,39%,58%,37%,49%,36%
,2018,59%,60%,47%,49%,41%,46%,33%,69%,56%,68%,35%,41%,57%,32%,47%,31%
At Masters Grade Level,2019,25%,28%,17%,16%,13%,19%,27%,38%,13%,32%,6%,11%,20%,12%,16%,10%
,2018,24%,26%,16%,14%,12%,23%,9%,34%,33%,21%,9%,14%,20%,8%,15%,7%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,90%,90%,90%,90%,*,92%,*,100%,68%,96%,93%,86%,91%,80%
,2018,92%,91%,89%,90%,89%,89%,75%,93%,*,100%,63%,93%,92%,84%,89%,79%
At Meets Grade Level or Above,2019,73%,75%,70%,71%,67%,71%,*,78%,*,100%,43%,64%,75%,59%,70%,48%
,2018,70%,71%,66%,67%,62%,74%,30%,77%,*,70%,36%,39%,70%,56%,65%,43%
At Masters Grade Level,2019,45%,49%,41%,40%,37%,45%,*,56%,*,33%,21%,36%,46%,31%,40%,21%
,2018,40%,43%,34%,34%,30%,48%,4%,46%,*,50%,16%,21%,37%,27%,33%,14%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,70%,71%,67%,69%,66%,83%,73%,78%,44%,66%,73%,63%,69%,66%
,2018,77%,77%,68%,69%,65%,66%,59%,83%,78%,76%,46%,60%,72%,59%,67%,63%
At Meets Grade Level or Above,2019,50%,51%,41%,41%,36%,41%,36%,63%,44%,44%,27%,30%,44%,33%,39%,35%
,2018,48%,49%,39%,38%,34%,40%,29%,63%,50%,48%,29%,32%,42%,31%,37%,33%
At Masters Grade Level,2019,24%,25%,18%,17%,14%,19%,13%,38%,18%,20%,10%,12%,20%,13%,16%,15%
,2018,22%,23%,16%,14%,12%,17%,11%,36%,29%,25%,12%,12%,18%,11%,15%,14%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,65%,69%,62%,65%,64%,76%,67%,81%,40%,60%,69%,57%,65%,59%
,2018,74%,74%,65%,68%,61%,65%,49%,77%,69%,77%,45%,53%,69%,55%,64%,58%
At Meets Grade Level or Above,2019,48%,49%,37%,39%,32%,40%,36%,55%,41%,45%,25%,27%,41%,29%,35%,30%
,2018,46%,47%,37%,38%,32%,38%,27%,55%,41%,51%,32%,27%,40%,29%,35%,29%
At Masters Grade Level,2019,21%,22%,14%,15%,11%,17%,13%,28%,13%,21%,9%,8%,16%,10%,13%,12%
,2018,19%,20%,14%,14%,10%,17%,11%,27%,21%,28%,12%,9%,15%,10%,13%,12%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,75%,73%,74%,75%,75%,91%,79%,80%,48%,72%,78%,70%,74%,75%
,2018,81%,82%,74%,72%,72%,70%,72%,90%,81%,77%,50%,65%,77%,67%,73%,73%
At Meets Grade Level or Above,2019,52%,53%,44%,42%,40%,44%,42%,73%,50%,41%,29%,35%,47%,38%,43%,43%
,2018,50%,51%,41%,37%,37%,40%,32%,72%,50%,39%,29%,39%,44%,34%,39%,40%
At Masters Grade Level,2019,26%,28%,21%,19%,17%,22%,14%,51%,26%,19%,10%,16%,23%,18%,20%,21%
,2018,24%,25%,18%,15%,15%,17%,15%,48%,34%,21%,13%,15%,20%,14%,17%,19%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,61%,63%,58%,60%,52%,78%,67%,65%,35%,59%,65%,54%,60%,59%
,2018,66%,66%,57%,59%,52%,58%,51%,73%,60%,66%,32%,51%,60%,48%,55%,54%
At Meets Grade Level or Above,2019,38%,39%,31%,31%,27%,32%,31%,53%,22%,35%,25%,20%,34%,25%,29%,28%
,2018,41%,42%,33%,34%,27%,38%,30%,52%,40%,47%,24%,27%,36%,26%,31%,30%
At Masters Grade Level,2019,14%,15%,10%,11%,7%,8%,10%,25%,0%,15%,9%,9%,12%,7%,9%,9%
,2018,13%,13%,10%,9%,7%,7%,10%,24%,20%,17%,9%,5%,11%,6%,9%,9%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,73%,75%,70%,69%,64%,86%,81%,79%,47%,71%,77%,65%,72%,68%
,2018,80%,80%,70%,71%,66%,64%,62%,86%,87%,75%,46%,70%,75%,60%,70%,64%
At Meets Grade Level or Above,2019,54%,55%,43%,43%,38%,45%,30%,67%,50%,57%,25%,31%,48%,33%,42%,36%
,2018,51%,52%,39%,37%,33%,40%,30%,68%,70%,65%,29%,38%,44%,30%,38%,31%
At Masters Grade Level,2019,25%,27%,17%,15%,13%,20%,14%,39%,25%,25%,8%,11%,20%,12%,16%,13%
,2018,23%,24%,15%,12%,11%,19%,11%,40%,48%,26%,9%,17%,18%,9%,14%,11%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,74%,76%,71%,71%,52%,85%,67%,72%,50%,67%,77%,68%,73%,61%
,2018,78%,79%,71%,71%,66%,71%,64%,87%,100%,80%,47%,69%,74%,64%,69%,57%
At Meets Grade Level or Above,2019,55%,57%,49%,51%,45%,45%,24%,65%,50%,48%,32%,33%,53%,41%,48%,31%
,2018,53%,54%,45%,45%,40%,49%,25%,66%,43%,56%,30%,30%,49%,38%,43%,28%
At Masters Grade Level,2019,33%,36%,28%,28%,24%,28%,6%,47%,17%,20%,16%,21%,32%,21%,27%,15%
,2018,31%,32%,23%,22%,19%,29%,4%,39%,0%,40%,15%,11%,25%,18%,22%,10%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,23%,26%,18%,30%,23%,45%,*,23%,21%,17%,25%,19%,22%,22%
,2018,34%,34%,23%,21%,19%,32%,27%,43%,*,26%,28%,34%,25%,17%,21%,22%
Reading and Mathematics Including EOC,2019,35%,36%,23%,26%,18%,30%,23%,45%,*,23%,21%,17%,25%,19%,22%,22%
,2018,34%,34%,23%,21%,19%,32%,27%,43%,*,26%,28%,34%,25%,17%,21%,22%
Reading Including EOC,2019,45%,45%,32%,35%,27%,38%,32%,50%,*,23%,23%,26%,33%,28%,31%,30%
,2018,43%,44%,31%,32%,27%,39%,32%,47%,*,48%,31%,38%,33%,25%,28%,29%
Math Including EOC,2019,49%,48%,36%,35%,31%,39%,36%,63%,*,45%,26%,26%,37%,30%,34%,35%
,2018,47%,48%,37%,31%,34%,43%,41%,66%,*,29%,29%,44%,40%,27%,35%,38%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,28%,28%,24%,33%,23%,50%,17%,30%,21%,29%,29%,24%,25%,27%
,2018,36%,37%,27%,26%,23%,26%,24%,51%,*,38%,27%,19%,29%,22%,25%,26%
Reading and Mathematics Including EOC,2019,35%,36%,28%,28%,24%,33%,23%,50%,17%,30%,21%,29%,29%,24%,25%,27%
,2018,36%,37%,27%,26%,23%,26%,24%,51%,*,38%,27%,19%,29%,22%,25%,26%
Reading Including EOC,2019,44%,45%,35%,35%,32%,44%,33%,54%,33%,45%,23%,40%,37%,31%,33%,34%
,2018,46%,46%,37%,39%,32%,36%,41%,55%,*,62%,33%,26%,38%,33%,35%,34%
Math Including EOC,2019,48%,49%,43%,41%,41%,44%,38%,67%,33%,35%,29%,42%,46%,37%,41%,43%
,2018,49%,51%,39%,34%,36%,40%,33%,66%,*,36%,27%,32%,42%,32%,37%,40%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,30%,30%,27%,31%,34%,52%,40%,29%,25%,27%,33%,24%,29%,30%
,2018,44%,44%,31%,30%,25%,33%,19%,62%,88%,43%,31%,30%,33%,26%,29%,30%
Reading and Mathematics Including EOC,2019,44%,44%,30%,30%,27%,31%,34%,52%,40%,29%,25%,27%,33%,24%,29%,30%
,2018,44%,44%,31%,30%,25%,33%,19%,62%,88%,43%,31%,30%,33%,26%,29%,30%
Reading Including EOC,2019,54%,54%,43%,47%,38%,44%,45%,57%,40%,54%,31%,39%,46%,37%,41%,40%
,2018,54%,54%,43%,45%,37%,49%,30%,67%,88%,50%,30%,47%,45%,38%,41%,40%
Math Including EOC,2019,58%,59%,42%,37%,39%,44%,45%,69%,40%,36%,30%,32%,44%,36%,40%,43%
,2018,58%,59%,42%,38%,38%,40%,29%,76%,100%,57%,37%,52%,45%,36%,40%,43%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,24%,24%,18%,25%,23%,54%,63%,35%,21%,14%,27%,18%,22%,23%
,2018,31%,33%,26%,28%,20%,24%,21%,50%,*,17%,38%,7%,28%,20%,24%,24%
Reading and Mathematics Including EOC,2019,31%,32%,24%,24%,18%,25%,23%,54%,63%,35%,21%,14%,27%,18%,22%,23%
,2018,31%,33%,26%,28%,20%,24%,21%,50%,*,17%,38%,7%,28%,20%,24%,24%
Reading Including EOC,2019,37%,38%,30%,33%,24%,31%,27%,55%,63%,41%,22%,19%,33%,24%,28%,28%
,2018,39%,41%,34%,38%,28%,31%,33%,52%,*,29%,41%,7%,36%,27%,32%,30%
Math Including EOC,2019,48%,49%,42%,39%,37%,37%,32%,78%,88%,53%,28%,43%,45%,36%,41%,43%
,2018,45%,47%,41%,38%,36%,35%,26%,77%,*,24%,26%,31%,44%,33%,39%,41%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,31%,31%,26%,30%,25%,56%,*,24%,26%,17%,34%,23%,29%,27%
,2018,35%,37%,28%,28%,24%,32%,29%,50%,*,44%,40%,18%,31%,21%,27%,28%
Reading and Mathematics Including EOC,2019,37%,40%,32%,32%,26%,31%,25%,60%,*,24%,26%,17%,35%,24%,30%,28%
,2018,36%,38%,31%,29%,25%,36%,32%,57%,*,44%,40%,18%,34%,22%,29%,30%
Reading Including EOC,2019,49%,51%,41%,43%,35%,37%,36%,65%,*,36%,30%,23%,45%,32%,39%,37%
,2018,48%,50%,41%,41%,35%,50%,40%,62%,*,58%,44%,25%,44%,32%,39%,38%
Math Including EOC,2019,48%,50%,45%,43%,40%,43%,43%,80%,*,32%,33%,37%,49%,38%,43%,43%
,2018,45%,46%,41%,36%,36%,44%,40%,73%,*,44%,27%,29%,45%,32%,40%,42%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,30%,31%,27%,33%,19%,45%,*,31%,23%,26%,33%,24%,28%,25%
,2018,28%,30%,24%,25%,21%,22%,24%,42%,*,64%,40%,30%,26%,21%,24%,18%
Reading and Mathematics Including EOC,2019,47%,48%,39%,39%,34%,42%,28%,61%,*,42%,23%,26%,43%,28%,37%,33%
,2018,41%,43%,34%,33%,29%,29%,30%,60%,60%,69%,40%,36%,37%,27%,33%,27%
Reading Including EOC,2019,55%,56%,47%,47%,43%,49%,38%,65%,*,55%,25%,31%,52%,35%,45%,41%
,2018,50%,51%,41%,41%,34%,35%,33%,63%,60%,71%,34%,41%,44%,33%,39%,31%
Math Including EOC,2019,62%,64%,56%,55%,51%,60%,48%,83%,*,47%,30%,44%,61%,47%,56%,54%
,2018,58%,60%,54%,49%,49%,51%,44%,84%,60%,85%,29%,50%,56%,49%,53%,51%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,37%,28%,28%,23%,30%,24%,50%,39%,28%,23%,22%,30%,22%,26%,26%
,2018,35%,36%,27%,26%,22%,29%,24%,50%,43%,36%,33%,24%,29%,21%,25%,25%
Reading and Mathematics Including EOC,2019,38%,39%,29%,30%,24%,32%,26%,54%,39%,30%,23%,22%,32%,23%,27%,27%
,2018,37%,38%,28%,27%,23%,30%,26%,54%,46%,37%,33%,25%,31%,22%,26%,26%
