Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
DEER PARK ISD (101908) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Approaches Grade Level or Above,2019,88%,88%,95%,74%,93%,99%,*,100%,*,100%,73%,91%,95%,96%,92%,88%
,2018,87%,86%,94%,88%,92%,97%,*,100%,-,100%,68%,90%,95%,92%,91%,84%
At Meets Grade Level or Above,2019,62%,63%,75%,43%,70%,84%,*,100%,*,81%,28%,55%,77%,68%,67%,52%
,2018,59%,60%,78%,65%,73%,85%,*,100%,-,94%,33%,70%,80%,71%,69%,52%
At Masters Grade Level,2019,25%,28%,38%,22%,31%,47%,*,65%,*,38%,5%,27%,38%,35%,29%,19%
,2018,24%,26%,35%,15%,27%,45%,*,59%,-,59%,6%,10%,36%,28%,22%,15%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,94%,97%,93%,95%,*,100%,-,94%,66%,100%,94%,94%,91%,83%
,2018,92%,91%,95%,89%,94%,96%,80%,100%,*,93%,70%,100%,94%,96%,91%,77%
At Meets Grade Level or Above,2019,73%,75%,76%,69%,72%,84%,*,91%,-,78%,31%,78%,78%,70%,68%,47%
,2018,70%,71%,76%,72%,71%,82%,40%,100%,*,73%,33%,80%,76%,72%,66%,34%
At Masters Grade Level,2019,45%,49%,45%,31%,40%,52%,*,73%,-,44%,13%,44%,46%,38%,32%,24%
,2018,40%,43%,38%,22%,32%,49%,0%,54%,*,40%,10%,40%,40%,30%,30%,4%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,84%,72%,81%,89%,86%,96%,100%,89%,51%,84%,85%,80%,78%,76%
,2018,77%,77%,84%,72%,81%,90%,91%,96%,100%,87%,54%,82%,85%,81%,78%,76%
At Meets Grade Level or Above,2019,50%,51%,56%,37%,51%,66%,76%,86%,100%,62%,24%,48%,59%,49%,46%,42%
,2018,48%,49%,57%,36%,52%,65%,79%,87%,88%,59%,27%,51%,59%,50%,47%,43%
At Masters Grade Level,2019,24%,25%,27%,15%,22%,34%,24%,56%,67%,29%,9%,23%,28%,22%,19%,16%
,2018,22%,23%,26%,13%,21%,33%,21%,51%,50%,34%,9%,21%,27%,20%,17%,17%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,80%,67%,77%,86%,91%,95%,*,85%,41%,78%,82%,75%,73%,70%
,2018,74%,74%,80%,67%,76%,86%,83%,92%,*,87%,42%,75%,81%,75%,73%,69%
At Meets Grade Level or Above,2019,48%,49%,52%,32%,45%,62%,64%,80%,*,55%,18%,40%,54%,45%,41%,35%
,2018,46%,47%,51%,32%,45%,60%,83%,80%,*,57%,20%,38%,54%,44%,40%,35%
At Masters Grade Level,2019,21%,22%,20%,9%,16%,28%,9%,35%,*,24%,5%,14%,22%,17%,13%,10%
,2018,19%,20%,19%,10%,15%,26%,8%,34%,*,27%,6%,15%,21%,15%,12%,12%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,89%,79%,88%,92%,100%,95%,*,93%,64%,93%,90%,86%,85%,87%
,2018,81%,82%,89%,78%,87%,93%,100%,98%,*,90%,66%,89%,90%,87%,85%,87%
At Meets Grade Level or Above,2019,52%,53%,60%,38%,56%,69%,100%,91%,*,69%,29%,58%,63%,53%,51%,53%
,2018,50%,51%,60%,38%,56%,68%,88%,96%,*,57%,31%,65%,63%,53%,51%,54%
At Masters Grade Level,2019,26%,28%,32%,18%,27%,39%,33%,73%,*,36%,12%,31%,34%,26%,23%,23%
,2018,24%,25%,30%,15%,26%,36%,50%,79%,*,35%,11%,26%,32%,23%,22%,23%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,70%,55%,65%,78%,*,95%,-,84%,27%,73%,72%,65%,61%,61%
,2018,66%,66%,75%,56%,71%,84%,*,100%,*,72%,46%,50%,77%,70%,65%,66%
At Meets Grade Level or Above,2019,38%,39%,39%,31%,34%,47%,*,70%,-,42%,11%,30%,42%,31%,30%,30%
,2018,41%,42%,48%,19%,41%,61%,*,89%,*,50%,40%,33%,49%,43%,35%,37%
At Masters Grade Level,2019,14%,15%,13%,10%,10%,17%,*,45%,-,14%,3%,3%,14%,9%,7%,7%
,2018,13%,13%,16%,11%,13%,22%,*,44%,*,28%,14%,0%,18%,12%,10%,10%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,91%,78%,87%,97%,*,100%,*,100%,66%,86%,91%,88%,86%,81%
,2018,80%,80%,90%,80%,86%,95%,100%,100%,*,92%,60%,92%,91%,88%,85%,79%
At Meets Grade Level or Above,2019,54%,55%,70%,47%,63%,81%,*,100%,*,80%,33%,56%,72%,63%,60%,51%
,2018,51%,52%,68%,45%,62%,76%,100%,91%,*,81%,31%,62%,70%,60%,57%,49%
At Masters Grade Level,2019,25%,27%,38%,27%,31%,49%,*,75%,*,39%,15%,34%,39%,33%,28%,23%
,2018,23%,24%,34%,14%,27%,44%,40%,53%,*,50%,9%,29%,36%,27%,22%,20%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,84%,79%,81%,89%,80%,100%,*,81%,52%,80%,85%,81%,78%,68%
,2018,78%,79%,81%,69%,79%,85%,86%,100%,*,77%,57%,78%,82%,79%,75%,66%
At Meets Grade Level or Above,2019,55%,57%,59%,48%,54%,67%,80%,87%,*,59%,28%,52%,61%,52%,50%,37%
,2018,53%,54%,56%,44%,53%,61%,43%,87%,*,49%,27%,43%,57%,49%,46%,30%
At Masters Grade Level,2019,33%,36%,33%,21%,30%,38%,20%,65%,*,30%,11%,32%,34%,27%,24%,20%
,2018,31%,32%,29%,14%,24%,36%,0%,52%,*,33%,8%,17%,31%,22%,21%,9%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,35%,22%,30%,44%,-,71%,-,18%,17%,33%,38%,26%,24%,25%
,2018,34%,34%,35%,17%,29%,45%,-,80%,-,29%,27%,33%,37%,25%,25%,26%
Reading and Mathematics Including EOC,2019,35%,36%,35%,22%,30%,44%,-,71%,-,18%,17%,33%,38%,26%,24%,25%
,2018,34%,34%,35%,17%,29%,45%,-,80%,-,29%,27%,33%,37%,25%,25%,26%
Reading Including EOC,2019,45%,45%,45%,22%,39%,55%,-,71%,-,27%,18%,40%,46%,40%,33%,32%
,2018,43%,44%,46%,17%,41%,56%,-,80%,-,58%,34%,33%,50%,33%,38%,41%
Math Including EOC,2019,49%,48%,49%,22%,44%,58%,-,86%,-,41%,24%,60%,52%,39%,38%,42%
,2018,47%,48%,48%,33%,44%,58%,-,80%,-,32%,38%,55%,51%,40%,40%,41%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,37%,24%,30%,50%,*,67%,-,39%,18%,35%,40%,28%,25%,19%
,2018,36%,37%,42%,24%,35%,54%,-,100%,-,33%,29%,35%,43%,39%,32%,26%
Reading and Mathematics Including EOC,2019,35%,36%,37%,24%,30%,50%,*,67%,-,39%,18%,35%,40%,28%,25%,19%
,2018,36%,37%,42%,24%,35%,54%,-,100%,-,33%,29%,35%,43%,39%,32%,26%
Reading Including EOC,2019,44%,45%,45%,33%,37%,61%,*,67%,-,48%,23%,39%,49%,36%,33%,26%
,2018,46%,46%,51%,43%,42%,63%,-,100%,-,48%,32%,40%,51%,50%,41%,31%
Math Including EOC,2019,48%,49%,54%,29%,48%,65%,*,100%,-,65%,26%,61%,57%,46%,44%,43%
,2018,49%,51%,59%,29%,53%,71%,-,100%,-,45%,35%,50%,62%,52%,50%,50%
5th Graders,,,,,,,,,,,,,,,,,
