Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,45%,47%,49%,35%,43%,62%,50%,73%,39%,58%,20%,52%,53%,39%,34%,34%
,2019,49%,51%,51%,38%,43%,64%,50%,74%,44%,58%,23%,43%,54%,42%,36%,32%
At Masters Grade Level,2021,25%,27%,28%,19%,23%,37%,33%,46%,33%,34%,9%,33%,31%,20%,16%,13%
,2019,29%,31%,31%,19%,24%,44%,17%,55%,19%,34%,6%,22%,34%,23%,18%,15%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,67%,47%,62%,82%,100%,93%,58%,63%,29%,74%,71%,56%,52%,56%
,2019,75%,77%,79%,66%,78%,89%,75%,94%,63%,83%,37%,77%,82%,73%,69%,72%
At Meets Grade Level or Above,2021,27%,29%,35%,19%,26%,53%,50%,68%,37%,41%,16%,43%,39%,25%,19%,19%
,2019,43%,46%,49%,29%,41%,66%,42%,82%,44%,54%,24%,43%,53%,37%,32%,32%
At Masters Grade Level,2021,12%,13%,15%,6%,9%,25%,17%,38%,11%,20%,6%,20%,18%,8%,6%,7%
,2019,17%,18%,20%,8%,13%,32%,8%,47%,19%,24%,7%,18%,23%,12%,8%,8%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,68%,55%,61%,83%,100%,89%,61%,70%,28%,60%,72%,59%,53%,48%
,2019,70%,72%,70%,61%,65%,80%,67%,89%,56%,68%,25%,56%,72%,66%,57%,56%
At Meets Grade Level or Above,2021,33%,34%,37%,24%,28%,51%,40%,66%,39%,42%,16%,34%,40%,27%,21%,18%
,2019,42%,43%,42%,30%,34%,55%,33%,67%,38%,45%,15%,28%,45%,34%,26%,22%
At Masters Grade Level,2021,10%,10%,11%,5%,7%,18%,0%,22%,11%,7%,6%,17%,12%,6%,3%,2%
,2019,18%,19%,18%,9%,11%,28%,17%,40%,13%,18%,7%,8%,20%,13%,8%,5%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,78%,66%,76%,87%,80%,92%,77%,87%,40%,58%,81%,72%,69%,69%
,2019,86%,86%,89%,81%,87%,94%,100%,97%,88%,94%,52%,93%,91%,83%,81%,77%
At Meets Grade Level or Above,2021,46%,48%,50%,36%,44%,63%,40%,68%,69%,59%,22%,38%,53%,42%,36%,33%
