Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
ARISTOI CLASSICAL ACADEMY (101803) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Approaches Grade Level or Above,2019,78%,78%,84%,82%,83%,86%,*,88%,-,83%,48%,80%,86%,83%,78%,75%
,2018,77%,77%,81%,83%,76%,83%,63%,83%,*,78%,51%,53%,80%,81%,76%,68%
At Meets Grade Level or Above,2019,50%,51%,51%,53%,44%,55%,*,50%,-,44%,23%,52%,53%,48%,38%,25%
,2018,48%,49%,47%,49%,38%,53%,38%,40%,*,40%,24%,26%,46%,48%,41%,25%
At Masters Grade Level,2019,24%,25%,23%,23%,16%,28%,*,24%,-,19%,8%,16%,25%,22%,15%,7%
,2018,22%,23%,21%,19%,15%,25%,38%,20%,*,17%,9%,11%,19%,22%,17%,4%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,89%,88%,90%,89%,*,87%,-,82%,59%,78%,91%,86%,83%,87%
,2018,74%,74%,85%,88%,79%,88%,*,93%,*,86%,53%,43%,86%,84%,80%,74%
At Meets Grade Level or Above,2019,48%,49%,60%,61%,55%,63%,*,60%,-,47%,28%,56%,62%,57%,45%,37%
,2018,46%,47%,56%,66%,48%,61%,*,50%,*,41%,27%,29%,54%,58%,50%,36%
At Masters Grade Level,2019,21%,22%,29%,28%,23%,34%,*,33%,-,18%,9%,22%,31%,27%,19%,13%
,2018,19%,20%,29%,27%,23%,33%,*,29%,*,23%,11%,29%,26%,31%,23%,8%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,84%,84%,83%,85%,*,100%,-,80%,36%,78%,86%,82%,80%,83%
,2018,81%,82%,83%,82%,81%,85%,*,86%,*,81%,50%,71%,84%,82%,75%,77%
At Meets Grade Level or Above,2019,52%,53%,46%,49%,38%,49%,*,54%,-,60%,16%,33%,49%,42%,34%,27%
,2018,50%,51%,41%,33%,33%,48%,*,29%,*,43%,23%,29%,42%,41%,37%,19%
At Masters Grade Level,2019,26%,28%,22%,20%,17%,26%,*,31%,-,20%,11%,11%,25%,20%,13%,7%
,2018,24%,25%,17%,13%,11%,22%,*,14%,*,10%,9%,0%,18%,17%,13%,5%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,77%,63%,77%,81%,*,100%,-,*,38%,80%,77%,78%,76%,55%
,2018,66%,66%,73%,82%,67%,74%,*,67%,*,80%,43%,*,66%,77%,62%,59%
At Meets Grade Level or Above,2019,38%,39%,48%,50%,47%,50%,*,40%,-,*,17%,80%,51%,44%,37%,27%
,2018,41%,42%,45%,73%,31%,49%,*,50%,*,20%,14%,*,42%,47%,24%,29%
At Masters Grade Level,2019,14%,15%,17%,19%,8%,24%,*,0%,-,*,4%,0%,15%,19%,7%,0%
,2018,13%,13%,11%,18%,8%,12%,*,0%,*,20%,0%,*,10%,12%,6%,0%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,82%,67%,78%,85%,-,71%,-,100%,50%,*,83%,81%,62%,75%
,2018,80%,80%,71%,73%,64%,75%,-,*,-,50%,53%,*,68%,73%,76%,46%
At Meets Grade Level or Above,2019,54%,55%,44%,33%,31%,55%,-,29%,-,29%,28%,*,43%,44%,30%,0%
,2018,51%,52%,38%,27%,32%,44%,-,*,-,33%,24%,*,32%,44%,35%,8%
At Masters Grade Level,2019,25%,27%,15%,8%,8%,21%,-,0%,-,14%,6%,*,15%,15%,11%,0%
,2018,23%,24%,12%,13%,4%,16%,-,*,-,17%,6%,*,8%,16%,11%,0%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,77%,100%,70%,80%,-,*,-,80%,*,-,71%,80%,71%,17%
,2018,78%,79%,71%,*,62%,77%,-,*,-,*,50%,-,65%,76%,75%,*
At Meets Grade Level or Above,2019,55%,57%,43%,60%,27%,56%,-,*,-,20%,*,-,46%,42%,41%,0%
,2018,53%,54%,46%,*,29%,55%,-,*,-,*,25%,-,47%,45%,63%,*
At Masters Grade Level,2019,33%,36%,23%,40%,9%,31%,-,*,-,20%,*,-,20%,25%,24%,0%
,2018,31%,32%,30%,*,24%,36%,-,*,-,*,13%,-,32%,29%,50%,*
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,31%,29%,14%,38%,-,*,-,*,25%,-,37%,17%,22%,*
,2018,34%,34%,34%,33%,31%,39%,-,*,-,0%,20%,*,40%,17%,32%,*
Reading and Mathematics Including EOC,2019,35%,36%,31%,29%,14%,38%,-,*,-,*,25%,-,37%,17%,22%,*
,2018,34%,34%,34%,33%,31%,39%,-,*,-,0%,20%,*,40%,17%,32%,*
Reading Including EOC,2019,45%,45%,55%,53%,50%,56%,-,*,-,*,38%,-,59%,43%,43%,*
,2018,43%,44%,50%,67%,50%,50%,-,*,-,17%,30%,*,52%,46%,42%,*
Math Including EOC,2019,49%,48%,43%,47%,18%,51%,-,*,-,*,25%,-,48%,30%,39%,*
,2018,47%,48%,44%,33%,35%,50%,-,*,-,50%,20%,*,50%,29%,48%,*
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,43%,45%,43%,38%,-,*,-,*,27%,*,50%,32%,34%,*
,2018,36%,37%,35%,50%,20%,41%,-,*,-,*,17%,*,39%,32%,24%,33%
Reading and Mathematics Including EOC,2019,35%,36%,43%,45%,43%,38%,-,*,-,*,27%,*,50%,32%,34%,*
,2018,36%,37%,35%,50%,20%,41%,-,*,-,*,17%,*,39%,32%,24%,33%
Reading Including EOC,2019,44%,45%,57%,73%,54%,54%,-,*,-,*,27%,*,60%,53%,45%,*
,2018,46%,46%,55%,83%,30%,63%,-,*,-,*,33%,*,54%,56%,41%,67%
Math Including EOC,2019,48%,49%,49%,55%,50%,41%,-,*,-,*,27%,*,52%,44%,45%,*
,2018,49%,51%,39%,50%,18%,49%,-,*,-,*,17%,*,40%,39%,24%,25%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,33%,38%,15%,38%,-,*,-,*,13%,*,33%,33%,6%,0%
,2018,44%,44%,47%,33%,36%,59%,-,*,-,*,33%,*,45%,50%,27%,43%
Reading and Mathematics Including EOC,2019,44%,44%,33%,38%,15%,38%,-,*,-,*,13%,*,33%,33%,6%,0%
