Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
CHANNELVIEW ISD (101905) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,30%,31%,21%,14%,22%,19%,17%,*,*,*,5%,*,20%,21%,19%,21%
,2019,29%,30%,19%,18%,18%,24%,43%,60%,*,*,7%,6%,20%,18%,17%,20%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,67%,45%,70%,66%,69%,*,*,*,42%,*,69%,64%,67%,70%
,2019,90%,89%,91%,84%,91%,94%,86%,100%,*,*,66%,88%,93%,85%,89%,92%
At Meets Grade Level or Above,2021,44%,45%,38%,10%,41%,39%,23%,*,*,*,18%,*,39%,35%,37%,38%
,2019,58%,59%,56%,48%,57%,57%,71%,100%,*,*,25%,56%,59%,49%,54%,58%
At Masters Grade Level,2021,25%,26%,18%,0%,20%,20%,15%,*,*,*,4%,*,19%,16%,16%,22%
,2019,36%,38%,35%,20%,35%,41%,57%,100%,*,*,12%,38%,37%,28%,33%,38%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,53%,22%,56%,54%,33%,*,*,*,20%,*,53%,52%,51%,57%
,2019,75%,75%,72%,70%,71%,84%,86%,100%,*,*,42%,88%,74%,68%,68%,69%
At Meets Grade Level or Above,2021,31%,32%,18%,8%,19%,18%,17%,*,*,*,11%,*,19%,16%,17%,20%
,2019,49%,50%,43%,37%,42%,57%,57%,100%,*,*,26%,25%,46%,37%,40%,41%
At Masters Grade Level,2021,13%,14%,5%,2%,5%,5%,17%,*,*,*,2%,*,4%,5%,5%,5%
,2019,24%,25%,18%,11%,18%,24%,29%,60%,*,*,8%,0%,19%,17%,16%,18%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,49%,30%,51%,55%,*,-,-,60%,23%,42%,53%,41%,46%,49%
,2019,68%,69%,62%,49%,62%,80%,57%,78%,-,*,28%,60%,66%,53%,59%,53%
At Meets Grade Level or Above,2021,32%,34%,17%,14%,17%,19%,*,-,-,20%,21%,17%,18%,13%,16%,15%
,2019,37%,38%,26%,22%,25%,41%,29%,56%,-,*,16%,20%,27%,24%,23%,18%
At Masters Grade Level,2021,15%,16%,6%,2%,6%,0%,*,-,-,0%,9%,8%,6%,5%,6%,4%
,2019,18%,19%,10%,5%,9%,16%,14%,11%,-,*,7%,10%,11%,7%,9%,7%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,59%,46%,60%,62%,*,-,-,60%,38%,60%,63%,49%,57%,58%
,2019,81%,81%,86%,74%,87%,92%,100%,78%,-,*,52%,90%,88%,82%,85%,84%
At Meets Grade Level or Above,2021,36%,37%,20%,14%,21%,17%,*,-,-,0%,25%,20%,22%,15%,19%,20%
,2019,47%,48%,49%,27%,50%,59%,64%,67%,-,*,20%,50%,51%,44%,47%,48%
At Masters Grade Level,2021,15%,17%,6%,2%,6%,7%,*,-,-,0%,17%,0%,8%,2%,6%,7%
,2019,21%,22%,14%,3%,14%,24%,21%,44%,-,*,9%,30%,15%,13%,12%,13%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,57%,53%,57%,53%,*,67%,*,*,26%,71%,60%,50%,54%,52%
,2019,76%,77%,74%,71%,74%,65%,80%,88%,*,80%,34%,40%,78%,65%,72%,71%
At Meets Grade Level or Above,2021,45%,47%,29%,29%,29%,28%,*,33%,*,*,11%,29%,30%,25%,26%,22%
,2019,49%,51%,39%,30%,40%,41%,20%,75%,*,0%,13%,20%,41%,33%,36%,36%
At Masters Grade Level,2021,25%,27%,13%,14%,13%,22%,*,17%,*,*,5%,14%,13%,13%,12%,7%
,2019,29%,31%,19%,15%,19%,22%,20%,63%,*,0%,11%,0%,21%,16%,17%,17%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,31%,34%,30%,22%,*,*,*,*,25%,50%,33%,28%,29%,28%
,2019,75%,77%,57%,68%,55%,58%,*,*,-,*,40%,*,56%,57%,55%,55%
At Meets Grade Level or Above,2021,27%,29%,4%,8%,4%,11%,*,*,*,*,11%,0%,2%,8%,5%,2%
,2019,43%,46%,17%,15%,16%,27%,*,*,-,*,19%,*,15%,20%,15%,14%
At Masters Grade Level,2021,12%,13%,2%,3%,1%,6%,*,*,*,*,5%,0%,0%,4%,2%,1%
