Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING BRANCH ISD (101920) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,30%,31%,36%,23%,20%,64%,*,65%,*,53%,8%,37%,39%,30%,18%,20%
,2019,29%,30%,32%,18%,17%,61%,*,58%,*,48%,7%,36%,33%,30%,14%,16%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,77%,56%,68%,94%,*,97%,*,83%,42%,77%,79%,70%,65%,68%
,2019,90%,89%,86%,76%,80%,97%,*,99%,*,92%,57%,94%,86%,86%,79%,82%
At Meets Grade Level or Above,2021,44%,45%,55%,31%,40%,82%,*,89%,*,67%,25%,60%,57%,47%,36%,41%
,2019,58%,59%,58%,33%,43%,86%,*,92%,*,70%,32%,60%,60%,53%,41%,45%
At Masters Grade Level,2021,25%,26%,36%,17%,21%,63%,*,77%,*,47%,11%,37%,38%,30%,18%,23%
,2019,36%,38%,40%,14%,24%,70%,*,77%,*,59%,16%,34%,42%,34%,21%,26%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,66%,52%,53%,89%,*,89%,*,77%,32%,71%,69%,57%,50%,52%
,2019,75%,75%,71%,57%,59%,94%,*,95%,*,85%,41%,73%,73%,67%,58%,59%
At Meets Grade Level or Above,2021,31%,32%,38%,22%,22%,66%,*,75%,*,52%,18%,37%,41%,31%,19%,22%
,2019,49%,50%,46%,26%,31%,74%,*,75%,*,60%,28%,48%,48%,41%,29%,31%
At Masters Grade Level,2021,13%,14%,19%,8%,7%,37%,*,48%,*,29%,6%,20%,20%,14%,5%,8%
,2019,24%,25%,23%,11%,11%,46%,*,44%,*,32%,10%,19%,24%,20%,10%,11%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,62%,52%,48%,86%,43%,83%,-,92%,23%,76%,63%,57%,44%,44%
,2019,68%,69%,66%,54%,54%,90%,33%,95%,*,88%,30%,78%,67%,63%,53%,53%
At Meets Grade Level or Above,2021,32%,34%,36%,26%,23%,61%,14%,61%,-,67%,14%,48%,38%,32%,18%,19%
,2019,37%,38%,38%,18%,24%,63%,17%,74%,*,71%,15%,34%,40%,31%,22%,23%
At Masters Grade Level,2021,15%,16%,19%,8%,9%,37%,14%,39%,-,36%,4%,24%,20%,15%,6%,8%
,2019,18%,19%,18%,7%,10%,34%,0%,42%,*,38%,4%,15%,20%,15%,8%,9%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,70%,49%,59%,91%,57%,94%,-,89%,39%,86%,72%,64%,56%,58%
,2019,81%,81%,80%,63%,72%,97%,50%,98%,*,94%,45%,97%,80%,77%,70%,73%
At Meets Grade Level or Above,2021,36%,37%,46%,20%,29%,76%,29%,83%,-,73%,22%,62%,47%,41%,25%,29%
,2019,47%,48%,51%,27%,35%,83%,33%,88%,*,80%,23%,58%,52%,47%,33%,36%
At Masters Grade Level,2021,15%,17%,24%,11%,10%,47%,14%,58%,-,46%,6%,33%,25%,22%,7%,10%
,2019,21%,22%,26%,8%,13%,50%,17%,64%,*,55%,6%,37%,27%,21%,11%,13%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,71%,58%,60%,92%,*,93%,*,79%,32%,81%,74%,61%,57%,57%
,2019,76%,77%,74%,63%,64%,92%,*,95%,*,95%,34%,78%,76%,69%,63%,61%
At Meets Grade Level or Above,2021,45%,47%,51%,36%,36%,77%,*,75%,*,68%,20%,58%,53%,42%,32%,33%
,2019,49%,51%,51%,29%,37%,78%,*,82%,*,77%,22%,52%,53%,46%,35%,34%
At Masters Grade Level,2021,25%,27%,30%,21%,18%,51%,*,56%,*,40%,8%,23%,32%,23%,17%,16%
,2019,29%,31%,34%,16%,20%,57%,*,65%,*,49%,8%,30%,36%,28%,19%,18%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,65%,41%,52%,93%,*,95%,*,74%,29%,83%,69%,53%,48%,52%
,2019,75%,77%,75%,51%,65%,94%,*,97%,*,92%,36%,83%,78%,68%,63%,64%
At Meets Grade Level or Above,2021,27%,29%,43%,14%,26%,75%,*,81%,*,58%,18%,62%,47%,31%,21%,25%
,2019,43%,46%,51%,20%,34%,81%,*,92%,*,67%,21%,64%,53%,44%,32%,33%
