Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,29%,30%,32%,19%,25%,43%,30%,55%,7%,41%,10%,34%,34%,27%,21%,16%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,79%,66%,78%,89%,75%,94%,63%,83%,37%,77%,82%,73%,69%,72%
,2018,72%,75%,81%,68%,77%,90%,70%,93%,73%,88%,43%,87%,84%,73%,70%,70%
At Meets Grade Level or Above,2019,43%,46%,49%,29%,41%,66%,42%,82%,44%,54%,24%,43%,53%,37%,32%,32%
,2018,40%,43%,52%,31%,44%,68%,30%,89%,40%,58%,26%,56%,57%,41%,36%,34%
At Masters Grade Level,2019,17%,18%,20%,8%,13%,32%,8%,47%,19%,24%,7%,18%,23%,12%,8%,8%
,2018,18%,20%,27%,11%,20%,40%,30%,59%,13%,31%,10%,34%,30%,19%,15%,13%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,70%,61%,65%,80%,67%,89%,56%,68%,25%,56%,72%,66%,57%,56%
,2018,69%,69%,74%,64%,68%,84%,40%,93%,73%,75%,31%,73%,77%,67%,62%,58%
At Meets Grade Level or Above,2019,42%,43%,42%,30%,34%,55%,33%,67%,38%,45%,15%,28%,45%,34%,26%,22%
,2018,43%,44%,48%,33%,37%,62%,30%,75%,27%,54%,20%,38%,50%,41%,32%,26%
At Masters Grade Level,2019,18%,19%,18%,9%,11%,28%,17%,40%,13%,18%,7%,8%,20%,13%,8%,5%
,2018,15%,16%,18%,8%,10%,27%,20%,40%,0%,22%,6%,13%,19%,14%,8%,6%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,89%,81%,87%,94%,100%,97%,88%,94%,52%,93%,91%,83%,81%,77%
,2018,86%,86%,89%,84%,87%,94%,90%,96%,92%,90%,49%,90%,91%,86%,83%,79%
At Meets Grade Level or Above,2019,55%,56%,59%,42%,53%,71%,44%,79%,44%,74%,27%,55%,62%,51%,42%,37%
,2018,49%,51%,55%,41%,48%,69%,70%,75%,54%,51%,23%,58%,59%,46%,42%,32%
At Masters Grade Level,2019,28%,30%,30%,16%,22%,42%,11%,49%,25%,49%,8%,22%,32%,22%,16%,12%
,2018,27%,28%,30%,18%,24%,41%,40%,44%,38%,30%,7%,34%,33%,22%,20%,13%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,87%,81%,86%,92%,88%,97%,92%,84%,53%,91%,88%,84%,83%,81%
,2018,86%,87%,86%,81%,87%,89%,100%,94%,75%,98%,47%,88%,87%,85%,82%,85%
At Meets Grade Level or Above,2019,57%,58%,46%,36%,43%,58%,63%,68%,58%,50%,25%,45%,47%,43%,40%,39%
,2018,51%,52%,44%,34%,43%,51%,67%,75%,38%,44%,21%,46%,46%,40%,38%,41%
At Masters Grade Level,2019,17%,18%,9%,5%,7%,12%,25%,29%,17%,16%,8%,9%,9%,8%,7%,7%
,2018,15%,16%,8%,5%,6%,11%,33%,16%,0%,10%,6%,4%,8%,8%,7%,7%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,86%,75%,81%,94%,100%,97%,81%,89%,55%,92%,89%,78%,76%,70%
,2018,76%,77%,83%,72%,80%,91%,90%,96%,77%,83%,45%,83%,85%,76%,73%,68%
