Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
LA PORTE ISD (101916) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,18%,19%,14%,9%,15%,12%,40%,88%,*,*,16%,0%,15%,14%,12%,5%
,2018,15%,16%,9%,5%,9%,10%,*,0%,*,0%,10%,0%,8%,10%,8%,9%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,85%,75%,86%,86%,*,*,*,80%,63%,60%,87%,81%,83%,83%
,2018,86%,86%,86%,70%,86%,90%,*,89%,*,80%,57%,*,89%,78%,80%,81%
At Meets Grade Level or Above,2019,55%,56%,47%,43%,46%,49%,*,*,*,60%,22%,0%,48%,41%,43%,44%
,2018,49%,51%,49%,34%,45%,54%,*,67%,*,60%,20%,*,51%,40%,39%,39%
At Masters Grade Level,2019,28%,30%,21%,16%,21%,23%,*,*,*,20%,8%,0%,22%,16%,17%,20%
,2018,27%,28%,25%,19%,22%,29%,*,33%,*,40%,11%,*,26%,22%,18%,15%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,88%,81%,88%,89%,100%,100%,*,83%,51%,63%,88%,86%,86%,84%
,2018,86%,87%,92%,88%,92%,91%,*,100%,*,*,59%,100%,93%,87%,90%,93%
At Meets Grade Level or Above,2019,57%,58%,51%,34%,48%,58%,60%,86%,*,50%,23%,38%,52%,49%,45%,35%
,2018,51%,52%,61%,48%,60%,64%,*,75%,*,*,22%,80%,62%,58%,57%,61%
At Masters Grade Level,2019,17%,18%,11%,4%,11%,11%,20%,71%,*,0%,8%,0%,11%,13%,8%,7%
,2018,15%,16%,15%,6%,16%,16%,*,0%,*,*,11%,40%,16%,11%,12%,16%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,79%,74%,80%,80%,*,*,*,80%,48%,60%,80%,78%,77%,68%
,2018,76%,77%,83%,69%,79%,90%,*,90%,*,80%,43%,*,85%,77%,78%,73%
At Meets Grade Level or Above,2019,51%,52%,46%,31%,45%,52%,*,*,*,40%,23%,0%,48%,38%,39%,35%
,2018,52%,53%,51%,29%,48%,59%,*,70%,*,60%,22%,*,55%,39%,42%,45%
At Masters Grade Level,2019,25%,27%,19%,7%,19%,22%,*,*,*,20%,12%,0%,20%,17%,16%,20%
,2018,28%,29%,27%,10%,23%,33%,*,50%,*,40%,12%,*,28%,22%,20%,18%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,65%,56%,67%,65%,*,*,*,40%,38%,20%,66%,62%,61%,64%
,2018,65%,66%,69%,60%,65%,75%,*,80%,*,80%,34%,*,70%,66%,61%,60%
At Meets Grade Level or Above,2019,37%,38%,25%,22%,24%,29%,*,*,*,20%,20%,0%,26%,24%,22%,20%
,2018,36%,37%,36%,27%,32%,40%,*,50%,*,60%,17%,*,37%,30%,27%,30%
At Masters Grade Level,2019,21%,23%,10%,4%,10%,12%,*,*,*,20%,5%,0%,11%,8%,10%,7%
,2018,21%,22%,21%,10%,19%,24%,*,30%,*,40%,9%,*,22%,18%,14%,16%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,65%,56%,66%,63%,80%,89%,*,83%,32%,50%,69%,50%,63%,59%
,2018,65%,65%,67%,50%,69%,66%,56%,86%,*,100%,34%,*,69%,59%,68%,62%
At Meets Grade Level or Above,2019,50%,50%,48%,36%,48%,49%,40%,78%,*,83%,12%,33%,52%,36%,45%,37%
,2018,44%,45%,45%,31%,44%,46%,22%,86%,*,88%,16%,*,48%,31%,45%,36%
At Masters Grade Level,2019,11%,11%,8%,6%,8%,9%,0%,11%,*,17%,5%,0%,9%,5%,7%,4%
,2018,7%,8%,5%,6%,3%,6%,0%,14%,*,13%,3%,*,5%,4%,3%,2%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,64%,53%,64%,67%,25%,100%,*,86%,27%,38%,68%,50%,63%,53%
,2018,67%,67%,67%,44%,68%,70%,33%,89%,*,67%,27%,60%,69%,60%,66%,54%
At Meets Grade Level or Above,2019,49%,50%,46%,38%,45%,49%,25%,89%,*,43%,16%,25%,50%,31%,43%,23%
,2018,48%,48%,44%,23%,41%,52%,33%,78%,*,33%,12%,40%,46%,36%,38%,27%
At Masters Grade Level,2019,8%,9%,4%,5%,2%,6%,0%,11%,*,0%,6%,0%,4%,2%,3%,0%
,2018,8%,9%,6%,2%,6%,7%,0%,22%,*,33%,3%,0%,7%,4%,5%,4%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,76%,59%,78%,76%,80%,100%,*,*,41%,*,80%,63%,73%,80%
