Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HOUSTON ISD (101912) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,54%,54%,47%,40%,43%,80%,36%,86%,*,76%,25%,39%,48%,44%,41%,39%
At Masters Grade Level,2021,30%,31%,26%,18%,20%,63%,46%,68%,50%,-,8%,28%,27%,20%,18%,19%
,2019,29%,30%,26%,19%,21%,59%,9%,66%,*,60%,9%,24%,27%,23%,19%,18%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,60%,47%,57%,86%,92%,92%,100%,-,38%,60%,62%,50%,54%,58%
,2019,90%,89%,86%,78%,86%,94%,82%,97%,*,93%,59%,82%,87%,81%,84%,87%
At Meets Grade Level or Above,2021,44%,45%,35%,22%,31%,68%,69%,81%,67%,-,23%,39%,37%,26%,28%,31%
,2019,58%,59%,55%,40%,55%,77%,59%,90%,*,72%,28%,50%,58%,45%,50%,56%
At Masters Grade Level,2021,25%,26%,20%,9%,15%,50%,54%,67%,50%,-,10%,24%,21%,15%,13%,16%
,2019,36%,38%,36%,21%,34%,62%,27%,80%,*,56%,13%,39%,38%,26%,30%,35%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,50%,41%,45%,82%,77%,88%,100%,*,29%,48%,51%,42%,42%,43%
,2019,75%,75%,68%,59%,67%,88%,73%,92%,*,85%,35%,66%,70%,63%,64%,65%
At Meets Grade Level or Above,2021,31%,32%,23%,15%,17%,58%,46%,67%,33%,*,21%,25%,24%,16%,15%,15%
,2019,49%,50%,42%,29%,40%,70%,27%,78%,*,62%,23%,39%,44%,35%,36%,37%
At Masters Grade Level,2021,13%,14%,10%,4%,6%,34%,31%,41%,0%,*,8%,15%,10%,7%,4%,5%
,2019,24%,25%,19%,10%,17%,44%,9%,54%,*,42%,9%,19%,21%,15%,14%,16%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,54%,46%,50%,84%,63%,81%,*,*,26%,37%,57%,44%,47%,46%
,2019,68%,69%,63%,55%,60%,88%,67%,91%,82%,78%,30%,55%,64%,58%,57%,55%
At Meets Grade Level or Above,2021,32%,34%,27%,21%,22%,61%,38%,63%,*,*,17%,22%,29%,21%,20%,19%
,2019,37%,38%,34%,27%,28%,68%,17%,75%,82%,64%,23%,25%,35%,29%,26%,24%
At Masters Grade Level,2021,15%,16%,13%,9%,8%,39%,25%,45%,*,*,7%,15%,14%,9%,7%,7%
,2019,18%,19%,16%,11%,12%,43%,8%,52%,55%,42%,8%,12%,17%,14%,10%,9%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,54%,41%,51%,87%,89%,86%,*,-,29%,43%,57%,44%,47%,50%
,2019,81%,81%,75%,66%,75%,93%,75%,95%,91%,86%,47%,65%,77%,70%,72%,73%
At Meets Grade Level or Above,2021,36%,37%,26%,14%,21%,62%,44%,71%,*,-,17%,24%,28%,17%,17%,19%
,2019,47%,48%,42%,30%,40%,70%,21%,86%,64%,66%,26%,37%,45%,34%,36%,39%
At Masters Grade Level,2021,15%,17%,11%,5%,7%,33%,22%,52%,*,-,8%,11%,12%,7%,5%,7%
,2019,21%,22%,20%,10%,16%,45%,4%,70%,36%,44%,12%,17%,21%,14%,14%,16%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,62%,54%,59%,87%,79%,88%,100%,67%,29%,49%,66%,48%,55%,54%
,2019,76%,77%,72%,66%,70%,90%,71%,91%,85%,94%,38%,63%,74%,66%,67%,63%
At Meets Grade Level or Above,2021,45%,47%,39%,29%,34%,73%,57%,80%,100%,58%,21%,28%,42%,27%,30%,28%
,2019,49%,51%,47%,38%,43%,77%,50%,79%,69%,85%,26%,46%,49%,40%,39%,33%
At Masters Grade Level,2021,25%,27%,21%,14%,17%,50%,36%,61%,40%,42%,10%,14%,24%,14%,14%,13%
,2019,29%,31%,28%,20%,24%,57%,29%,68%,46%,61%,12%,27%,30%,24%,22%,17%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,42%,29%,41%,73%,69%,78%,60%,63%,28%,28%,45%,33%,37%,38%
,2019,75%,77%,72%,64%,72%,88%,71%,93%,82%,89%,45%,64%,75%,65%,69%,67%
