Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
CROSBY ISD (101906) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,30%,31%,30%,21%,25%,40%,*,*,-,25%,12%,11%,32%,27%,25%,18%
,2019,29%,30%,25%,19%,23%,28%,*,*,-,36%,5%,0%,25%,25%,22%,17%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,78%,75%,74%,84%,*,*,-,75%,54%,89%,82%,69%,74%,74%
,2019,90%,89%,95%,95%,95%,95%,*,*,-,93%,73%,100%,94%,98%,95%,99%
At Meets Grade Level or Above,2021,44%,45%,49%,29%,49%,55%,*,*,-,50%,28%,67%,53%,40%,45%,47%
,2019,58%,59%,58%,51%,60%,59%,*,*,-,36%,35%,57%,58%,57%,54%,60%
At Masters Grade Level,2021,25%,26%,22%,7%,21%,27%,*,*,-,19%,6%,33%,24%,17%,20%,16%
,2019,36%,38%,33%,30%,32%,35%,*,*,-,29%,13%,14%,34%,32%,32%,34%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,66%,52%,60%,79%,*,*,-,69%,38%,78%,70%,58%,58%,46%
,2019,75%,75%,80%,70%,79%,84%,*,*,-,79%,48%,43%,79%,80%,76%,78%
At Meets Grade Level or Above,2021,31%,32%,31%,28%,24%,42%,*,*,-,31%,18%,22%,34%,24%,24%,11%
,2019,49%,50%,51%,40%,48%,57%,*,*,-,43%,35%,29%,51%,50%,45%,45%
At Masters Grade Level,2021,13%,14%,13%,4%,11%,21%,*,*,-,6%,2%,11%,14%,11%,10%,3%
,2019,24%,25%,23%,14%,22%,26%,*,*,-,21%,10%,0%,23%,21%,17%,18%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,58%,40%,59%,64%,*,-,-,50%,30%,57%,59%,55%,51%,58%
,2019,68%,69%,72%,67%,72%,74%,*,*,-,56%,29%,80%,76%,63%,69%,62%
At Meets Grade Level or Above,2021,32%,34%,25%,13%,21%,34%,*,-,-,21%,20%,14%,27%,18%,16%,16%
,2019,37%,38%,36%,35%,31%,43%,*,*,-,11%,21%,30%,40%,28%,28%,23%
At Masters Grade Level,2021,15%,16%,10%,3%,9%,15%,*,-,-,14%,3%,0%,12%,7%,6%,9%
,2019,18%,19%,14%,15%,12%,17%,*,*,-,0%,3%,10%,16%,10%,9%,7%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,70%,56%,71%,76%,*,-,-,64%,47%,71%,72%,66%,67%,69%
,2019,81%,81%,90%,88%,92%,89%,*,*,-,89%,61%,100%,92%,87%,89%,90%
At Meets Grade Level or Above,2021,36%,37%,32%,16%,27%,45%,*,-,-,7%,27%,29%,33%,27%,21%,24%
,2019,47%,48%,57%,52%,55%,59%,*,*,-,67%,26%,30%,60%,50%,52%,49%
At Masters Grade Level,2021,15%,17%,10%,3%,8%,14%,*,-,-,0%,7%,14%,10%,9%,6%,7%
,2019,21%,22%,26%,25%,23%,30%,*,*,-,0%,11%,20%,28%,21%,19%,17%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,70%,64%,68%,74%,*,*,-,67%,33%,*,69%,73%,67%,66%
,2019,76%,77%,69%,58%,70%,74%,*,*,-,38%,18%,88%,70%,68%,62%,55%
At Meets Grade Level or Above,2021,45%,47%,39%,33%,37%,44%,*,*,-,33%,23%,*,42%,31%,35%,30%
,2019,49%,51%,43%,36%,40%,51%,*,*,-,13%,9%,75%,45%,39%,33%,23%
At Masters Grade Level,2021,25%,27%,18%,21%,15%,21%,*,*,-,20%,7%,*,19%,16%,14%,9%
,2019,29%,31%,23%,21%,17%,29%,*,*,-,13%,6%,50%,25%,18%,14%,5%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,62%,49%,62%,66%,*,*,-,67%,43%,*,62%,61%,53%,57%
,2019,75%,77%,80%,70%,76%,88%,*,*,-,75%,47%,88%,80%,80%,73%,67%
At Meets Grade Level or Above,2021,27%,29%,31%,25%,30%,34%,*,*,-,33%,24%,*,33%,24%,24%,23%
,2019,43%,46%,47%,42%,42%,57%,*,*,-,0%,15%,38%,48%,47%,37%,29%
At Masters Grade Level,2021,12%,13%,11%,9%,10%,13%,*,*,-,13%,2%,*,12%,8%,8%,5%
