Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
SHELDON ISD (101924) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,30%,31%,17%,13%,19%,25%,*,-,-,0%,4%,*,20%,13%,15%,17%
,2019,29%,30%,21%,12%,24%,30%,*,20%,-,0%,5%,0%,24%,16%,20%,20%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,57%,48%,60%,71%,*,-,-,50%,29%,*,60%,52%,56%,60%
,2019,90%,89%,84%,70%,87%,87%,*,100%,-,90%,53%,91%,86%,80%,84%,90%
At Meets Grade Level or Above,2021,44%,45%,31%,19%,34%,42%,*,-,-,20%,13%,*,35%,24%,29%,34%
,2019,58%,59%,45%,23%,51%,39%,*,60%,-,70%,19%,45%,47%,41%,45%,52%
At Masters Grade Level,2021,25%,26%,14%,8%,16%,8%,*,-,-,10%,4%,*,15%,11%,13%,18%
,2019,36%,38%,26%,11%,30%,17%,*,40%,-,40%,5%,18%,26%,24%,25%,32%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,49%,40%,52%,71%,*,-,-,50%,26%,*,52%,44%,47%,48%
,2019,75%,75%,67%,53%,70%,78%,*,60%,-,80%,33%,73%,70%,61%,65%,69%
At Meets Grade Level or Above,2021,31%,32%,16%,13%,17%,13%,*,-,-,10%,11%,*,16%,15%,15%,17%
,2019,49%,50%,36%,23%,39%,43%,*,40%,-,50%,17%,36%,39%,30%,35%,39%
At Masters Grade Level,2021,13%,14%,4%,4%,4%,0%,*,-,-,0%,4%,*,4%,4%,4%,5%
,2019,24%,25%,15%,8%,17%,20%,*,20%,-,30%,3%,0%,17%,12%,15%,17%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,50%,50%,49%,47%,*,57%,-,67%,22%,43%,50%,48%,48%,46%
,2019,68%,69%,56%,47%,57%,67%,*,-,-,80%,20%,60%,59%,50%,55%,53%
At Meets Grade Level or Above,2021,32%,34%,17%,12%,20%,0%,*,43%,-,11%,12%,14%,18%,14%,15%,17%
,2019,37%,38%,27%,18%,29%,39%,*,-,-,60%,14%,20%,29%,23%,27%,24%
At Masters Grade Level,2021,15%,16%,6%,2%,8%,0%,*,29%,-,0%,2%,0%,7%,4%,6%,6%
,2019,18%,19%,10%,6%,11%,17%,*,-,-,0%,1%,0%,11%,9%,10%,11%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,49%,43%,50%,49%,*,80%,-,89%,16%,71%,52%,42%,47%,47%
,2019,81%,81%,70%,59%,73%,78%,*,-,-,80%,31%,80%,72%,66%,69%,72%
At Meets Grade Level or Above,2021,36%,37%,15%,11%,16%,9%,*,80%,-,11%,10%,29%,17%,11%,14%,15%
,2019,47%,48%,25%,17%,27%,31%,*,-,-,40%,16%,20%,27%,21%,25%,25%
At Masters Grade Level,2021,15%,17%,2%,0%,2%,0%,*,40%,-,0%,0%,0%,2%,1%,1%,2%
,2019,21%,22%,8%,6%,9%,6%,*,-,-,40%,8%,0%,9%,7%,8%,8%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,49%,36%,53%,55%,-,*,-,89%,28%,38%,51%,46%,48%,48%
,2019,76%,77%,69%,67%,70%,50%,-,*,-,80%,36%,40%,71%,64%,67%,65%
At Meets Grade Level or Above,2021,45%,47%,25%,18%,28%,27%,-,*,-,22%,17%,0%,28%,20%,24%,22%
,2019,49%,51%,31%,27%,33%,21%,-,*,-,40%,18%,0%,34%,26%,31%,30%
At Masters Grade Level,2021,25%,27%,12%,6%,14%,12%,-,*,-,11%,5%,0%,13%,9%,10%,8%
,2019,29%,31%,15%,11%,16%,13%,-,*,-,20%,10%,0%,16%,13%,15%,13%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,34%,23%,37%,42%,-,*,-,44%,18%,13%,35%,31%,31%,34%
,2019,75%,77%,65%,56%,68%,50%,-,*,-,40%,34%,40%,66%,61%,64%,65%
At Meets Grade Level or Above,2021,27%,29%,10%,6%,11%,16%,-,*,-,11%,12%,0%,11%,7%,9%,9%
,2019,43%,46%,25%,22%,27%,17%,-,*,-,20%,23%,0%,27%,21%,25%,23%
At Masters Grade Level,2021,12%,13%,3%,1%,4%,6%,-,*,-,0%,5%,0%,4%,2%,3%,3%
