Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
ALDINE ISD (101902) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,54%,54%,38%,34%,39%,42%,60%,62%,*,32%,21%,24%,39%,35%,37%,33%
At Masters Grade Level,2021,30%,31%,12%,10%,12%,15%,33%,28%,20%,11%,4%,8%,13%,9%,12%,11%
,2019,29%,30%,16%,13%,16%,23%,40%,28%,*,13%,5%,8%,16%,13%,15%,12%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,51%,38%,54%,52%,50%,87%,80%,33%,35%,50%,54%,42%,50%,54%
,2019,90%,89%,88%,79%,91%,85%,100%,97%,*,71%,51%,88%,91%,83%,88%,92%
At Meets Grade Level or Above,2021,44%,45%,23%,14%,25%,25%,33%,59%,0%,13%,20%,15%,26%,16%,23%,25%
,2019,58%,59%,51%,38%,54%,46%,100%,78%,*,32%,24%,43%,54%,41%,50%,53%
At Masters Grade Level,2021,25%,26%,9%,3%,10%,4%,17%,36%,0%,3%,4%,6%,10%,5%,9%,11%
,2019,36%,38%,28%,19%,30%,33%,60%,64%,*,16%,9%,24%,30%,22%,27%,28%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,38%,31%,38%,48%,50%,72%,80%,31%,26%,27%,40%,30%,36%,36%
,2019,75%,75%,63%,54%,65%,65%,100%,83%,*,74%,32%,57%,66%,56%,62%,62%
At Meets Grade Level or Above,2021,31%,32%,10%,9%,9%,10%,0%,31%,0%,21%,17%,3%,11%,7%,9%,8%
,2019,49%,50%,32%,24%,33%,41%,40%,57%,*,32%,18%,22%,34%,26%,31%,29%
At Masters Grade Level,2021,13%,14%,2%,2%,2%,4%,0%,5%,0%,3%,3%,0%,2%,2%,2%,2%
,2019,24%,25%,10%,7%,11%,18%,40%,33%,*,6%,6%,4%,11%,8%,10%,9%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,43%,41%,43%,48%,*,79%,25%,48%,19%,30%,46%,35%,43%,40%
,2019,68%,69%,55%,52%,55%,74%,67%,84%,63%,58%,24%,44%,58%,47%,54%,41%
At Meets Grade Level or Above,2021,32%,34%,14%,13%,14%,16%,*,52%,0%,22%,11%,11%,15%,11%,14%,12%
,2019,37%,38%,22%,21%,21%,33%,67%,50%,63%,23%,16%,14%,22%,19%,20%,12%
At Masters Grade Level,2021,15%,16%,5%,3%,5%,7%,*,29%,0%,4%,4%,4%,5%,4%,4%,4%
,2019,18%,19%,7%,7%,7%,15%,17%,14%,38%,8%,4%,6%,8%,6%,6%,3%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,48%,38%,49%,61%,*,88%,63%,50%,21%,34%,51%,38%,47%,48%
,2019,81%,81%,71%,63%,73%,76%,67%,89%,75%,69%,34%,59%,74%,63%,70%,65%
At Meets Grade Level or Above,2021,36%,37%,13%,8%,14%,30%,*,62%,13%,27%,12%,4%,14%,11%,13%,13%
,2019,47%,48%,30%,22%,32%,32%,50%,73%,50%,27%,18%,16%,32%,23%,28%,22%
At Masters Grade Level,2021,15%,17%,3%,2%,3%,5%,*,40%,0%,0%,4%,0%,4%,3%,3%,3%
,2019,21%,22%,9%,6%,9%,8%,33%,43%,38%,19%,5%,2%,10%,6%,8%,5%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,54%,50%,54%,48%,*,85%,*,55%,21%,55%,57%,44%,53%,50%
,2019,76%,77%,68%,64%,69%,81%,83%,97%,67%,56%,25%,44%,71%,60%,67%,51%
At Meets Grade Level or Above,2021,45%,47%,27%,23%,27%,25%,*,63%,*,21%,12%,20%,28%,24%,26%,23%
,2019,49%,51%,37%,32%,38%,54%,17%,74%,33%,30%,17%,21%,39%,31%,35%,19%
At Masters Grade Level,2021,25%,27%,12%,12%,11%,13%,*,38%,*,10%,6%,7%,13%,9%,11%,9%
,2019,29%,31%,17%,15%,17%,36%,0%,46%,17%,22%,6%,14%,18%,14%,16%,6%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,33%,25%,35%,30%,*,78%,*,19%,18%,26%,35%,28%,33%,33%
,2019,75%,77%,68%,60%,71%,76%,100%,98%,67%,46%,30%,45%,71%,62%,67%,59%
