Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF EXCELLENCE (101858) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,30%,31%,28%,25%,25%,29%,-,47%,*,29%,5%,*,32%,24%,20%,20%
,2019,29%,30%,30%,25%,22%,45%,-,63%,-,36%,16%,29%,37%,25%,23%,26%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,66%,61%,64%,74%,-,82%,*,71%,50%,*,69%,63%,60%,60%
,2019,90%,89%,87%,82%,84%,96%,-,100%,-,100%,62%,71%,91%,84%,84%,88%
At Meets Grade Level or Above,2021,44%,45%,41%,33%,40%,51%,-,60%,*,43%,20%,*,43%,40%,35%,36%
,2019,58%,59%,55%,48%,45%,70%,-,93%,-,71%,22%,29%,65%,46%,46%,50%
At Masters Grade Level,2021,25%,26%,21%,16%,19%,21%,-,44%,*,0%,7%,*,23%,20%,14%,15%
,2019,36%,38%,34%,27%,26%,47%,-,74%,-,43%,8%,29%,41%,29%,26%,31%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,55%,46%,51%,66%,-,78%,*,83%,28%,*,56%,54%,48%,49%
,2019,75%,75%,65%,61%,59%,77%,-,86%,-,93%,43%,29%,75%,57%,59%,60%
At Meets Grade Level or Above,2021,31%,32%,26%,18%,21%,32%,-,58%,*,33%,19%,*,30%,23%,19%,18%
,2019,49%,50%,36%,26%,31%,51%,-,61%,-,64%,24%,14%,45%,29%,29%,32%
At Masters Grade Level,2021,13%,14%,10%,6%,7%,18%,-,27%,*,17%,7%,*,11%,10%,6%,6%
,2019,24%,25%,15%,6%,12%,21%,-,40%,-,14%,11%,0%,18%,13%,11%,14%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,67%,73%,59%,86%,-,80%,43%,83%,25%,29%,70%,64%,61%,60%
,2019,68%,69%,74%,74%,68%,81%,-,93%,-,57%,44%,50%,77%,72%,70%,68%
At Meets Grade Level or Above,2021,32%,34%,34%,34%,28%,48%,-,53%,14%,50%,14%,14%,37%,31%,29%,30%
,2019,37%,38%,41%,38%,33%,58%,-,68%,-,43%,28%,0%,48%,36%,33%,31%
At Masters Grade Level,2021,15%,16%,14%,12%,12%,24%,-,24%,0%,25%,4%,0%,17%,12%,10%,12%
,2019,18%,19%,21%,21%,14%,38%,-,40%,-,14%,18%,0%,24%,19%,16%,15%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,69%,63%,63%,86%,-,88%,86%,92%,29%,57%,74%,65%,65%,67%
,2019,81%,81%,86%,86%,84%,88%,-,99%,-,71%,64%,88%,90%,84%,85%,83%
At Meets Grade Level or Above,2021,36%,37%,32%,34%,24%,38%,-,65%,29%,67%,21%,14%,37%,29%,26%,27%
,2019,47%,48%,56%,53%,47%,71%,-,88%,-,43%,31%,63%,62%,51%,48%,48%
At Masters Grade Level,2021,15%,17%,12%,15%,7%,17%,-,35%,0%,17%,7%,0%,15%,10%,8%,10%
,2019,21%,22%,31%,25%,21%,50%,-,66%,-,29%,15%,13%,37%,27%,22%,22%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,67%,63%,63%,74%,-,94%,*,67%,25%,60%,70%,65%,62%,61%
,2019,76%,77%,85%,81%,82%,98%,*,92%,-,100%,37%,*,89%,81%,80%,76%
At Meets Grade Level or Above,2021,45%,47%,39%,35%,33%,51%,-,69%,*,44%,12%,40%,43%,35%,34%,28%
,2019,49%,51%,61%,53%,55%,81%,*,76%,-,80%,17%,*,67%,56%,53%,48%
At Masters Grade Level,2021,25%,27%,19%,12%,15%,33%,-,46%,*,11%,4%,40%,22%,17%,15%,13%
,2019,29%,31%,35%,26%,26%,65%,*,54%,-,30%,12%,*,39%,31%,26%,23%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,53%,43%,48%,75%,-,87%,*,33%,20%,80%,60%,47%,50%,44%
,2019,75%,77%,85%,74%,84%,94%,*,97%,-,90%,54%,*,90%,81%,80%,81%
At Meets Grade Level or Above,2021,27%,29%,28%,18%,24%,39%,-,65%,*,33%,8%,40%,35%,23%,22%,18%
,2019,43%,46%,55%,45%,46%,85%,*,78%,-,70%,15%,*,64%,48%,47%,41%
