Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GOOSE CREEK CISD (101911) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,72%,75%,75%,63%,76%,79%,*,94%,*,83%,37%,83%,77%,65%,72%,65%
At Meets Grade Level or Above,2019,43%,46%,50%,42%,47%,63%,*,81%,*,63%,22%,67%,52%,42%,44%,41%
,2018,40%,43%,38%,21%,38%,49%,*,81%,*,43%,14%,39%,41%,29%,33%,28%
At Masters Grade Level,2019,17%,18%,20%,12%,18%,25%,*,65%,*,29%,4%,17%,20%,16%,16%,13%
,2018,18%,20%,16%,7%,15%,26%,*,53%,*,9%,2%,22%,18%,11%,13%,10%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,66%,64%,63%,74%,*,92%,*,78%,23%,60%,68%,59%,61%,53%
,2018,69%,69%,66%,61%,65%,73%,*,87%,*,78%,22%,63%,68%,59%,62%,53%
At Meets Grade Level or Above,2019,42%,43%,36%,31%,33%,45%,*,73%,*,47%,11%,37%,38%,30%,31%,21%
,2018,43%,44%,39%,33%,37%,47%,*,67%,*,39%,12%,38%,41%,32%,34%,23%
At Masters Grade Level,2019,18%,19%,13%,7%,12%,20%,*,27%,*,22%,4%,23%,14%,9%,10%,6%
,2018,15%,16%,11%,6%,10%,19%,*,37%,*,13%,3%,13%,13%,7%,9%,4%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,85%,79%,86%,88%,*,86%,*,81%,44%,86%,87%,78%,82%,74%
,2018,86%,86%,84%,82%,83%,87%,*,93%,-,83%,44%,81%,85%,79%,82%,71%
At Meets Grade Level or Above,2019,55%,56%,48%,34%,49%,55%,*,61%,*,67%,17%,57%,51%,39%,43%,30%
,2018,49%,51%,42%,38%,39%,54%,*,62%,-,50%,17%,19%,44%,37%,37%,20%
At Masters Grade Level,2019,28%,30%,22%,12%,22%,28%,*,44%,*,24%,6%,24%,24%,16%,18%,10%
,2018,27%,28%,20%,15%,17%,29%,*,45%,-,28%,3%,0%,21%,16%,15%,8%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,90%,85%,91%,91%,*,95%,*,89%,60%,95%,90%,88%,88%,86%
,2018,86%,87%,84%,81%,83%,91%,*,100%,-,86%,44%,79%,85%,83%,82%,78%
At Meets Grade Level or Above,2019,57%,58%,58%,47%,59%,64%,*,80%,*,63%,26%,63%,60%,51%,54%,46%
,2018,51%,52%,44%,40%,43%,53%,*,77%,-,57%,21%,26%,45%,44%,42%,35%
At Masters Grade Level,2019,17%,18%,17%,12%,18%,20%,*,35%,*,21%,8%,11%,18%,16%,15%,12%
,2018,15%,16%,8%,6%,7%,9%,*,31%,-,7%,7%,5%,7%,9%,7%,6%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,80%,73%,81%,83%,*,89%,*,85%,40%,86%,83%,71%,77%,68%
,2018,76%,77%,74%,67%,71%,84%,*,90%,-,78%,30%,71%,75%,69%,70%,56%
At Meets Grade Level or Above,2019,51%,52%,51%,37%,50%,60%,*,72%,*,70%,18%,48%,54%,40%,45%,35%
,2018,52%,53%,47%,39%,44%,63%,*,79%,-,39%,19%,33%,49%,41%,42%,27%
At Masters Grade Level,2019,25%,27%,24%,10%,23%,34%,*,50%,*,45%,6%,38%,25%,18%,19%,15%
,2018,28%,29%,21%,13%,19%,33%,*,55%,-,28%,5%,10%,23%,16%,18%,9%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,65%,60%,62%,74%,*,89%,*,80%,31%,86%,67%,59%,61%,46%
,2018,65%,66%,63%,61%,59%,74%,*,93%,-,67%,23%,67%,64%,58%,58%,42%
At Meets Grade Level or Above,2019,37%,38%,28%,23%,26%,38%,*,58%,*,25%,14%,38%,30%,24%,23%,17%
,2018,36%,37%,31%,24%,27%,46%,*,69%,-,44%,14%,33%,32%,28%,26%,19%
At Masters Grade Level,2019,21%,23%,15%,10%,12%,24%,*,36%,*,15%,5%,19%,16%,11%,11%,7%
,2018,21%,22%,16%,12%,13%,25%,*,48%,-,28%,4%,10%,17%,10%,11%,8%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,64%,59%,62%,73%,75%,85%,*,63%,24%,48%,66%,55%,59%,39%
,2018,65%,65%,57%,49%,56%,67%,44%,61%,*,68%,23%,55%,60%,47%,53%,32%
At Meets Grade Level or Above,2019,50%,50%,42%,34%,40%,60%,25%,65%,*,48%,11%,26%,44%,36%,36%,19%
,2018,44%,45%,35%,24%,34%,45%,11%,52%,*,50%,10%,14%,37%,28%,31%,11%
At Masters Grade Level,2019,11%,11%,8%,5%,6%,13%,0%,40%,*,7%,4%,0%,8%,6%,5%,1%
,2018,7%,8%,5%,2%,5%,8%,0%,17%,*,3%,3%,5%,6%,3%,4%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,62%,52%,61%,72%,63%,72%,*,69%,20%,52%,64%,53%,56%,32%
,2018,67%,67%,62%,55%,60%,77%,60%,73%,60%,72%,26%,54%,65%,52%,58%,29%
At Meets Grade Level or Above,2019,49%,50%,40%,30%,39%,52%,38%,50%,*,59%,9%,24%,43%,30%,34%,8%
,2018,48%,48%,41%,33%,38%,56%,50%,53%,40%,47%,17%,23%,43%,32%,36%,10%
At Masters Grade Level,2019,8%,9%,6%,2%,5%,11%,13%,13%,*,3%,4%,0%,7%,3%,3%,1%
,2018,8%,9%,5%,3%,5%,8%,0%,13%,0%,11%,5%,0%,6%,3%,4%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,80%,76%,80%,82%,*,100%,-,83%,50%,70%,82%,75%,77%,73%
,2018,83%,83%,81%,75%,80%,84%,90%,100%,-,87%,46%,65%,83%,74%,79%,72%
At Meets Grade Level or Above,2019,61%,61%,55%,48%,54%,63%,*,94%,-,56%,23%,50%,58%,46%,50%,38%
,2018,55%,55%,48%,36%,47%,55%,40%,88%,-,61%,18%,29%,51%,37%,44%,34%
At Masters Grade Level,2019,37%,38%,33%,19%,32%,40%,*,81%,-,50%,11%,30%,35%,24%,28%,19%
,2018,32%,34%,25%,14%,24%,32%,20%,72%,-,42%,7%,12%,27%,16%,22%,12%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,87%,85%,86%,92%,*,100%,*,95%,60%,80%,88%,85%,85%,76%
,2018,87%,86%,82%,77%,82%,86%,88%,95%,*,89%,53%,76%,84%,76%,80%,66%
At Meets Grade Level or Above,2019,62%,63%,60%,52%,58%,74%,*,88%,*,67%,22%,47%,63%,50%,54%,32%
,2018,59%,60%,49%,42%,47%,62%,50%,55%,*,68%,19%,29%,53%,37%,44%,22%
At Masters Grade Level,2019,25%,28%,21%,15%,18%,33%,*,48%,*,19%,5%,27%,22%,15%,15%,6%
,2018,24%,26%,17%,10%,16%,25%,13%,32%,*,29%,7%,12%,20%,9%,14%,3%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,91%,89%,90%,93%,100%,98%,*,96%,56%,90%,92%,84%,89%,77%
,2018,92%,91%,90%,86%,90%,94%,*,95%,*,95%,59%,100%,91%,87%,89%,75%
At Meets Grade Level or Above,2019,73%,75%,73%,64%,71%,84%,100%,95%,*,79%,34%,60%,76%,59%,68%,40%
,2018,70%,71%,67%,57%,66%,77%,*,76%,*,68%,28%,78%,68%,59%,64%,30%
At Masters Grade Level,2019,45%,49%,44%,34%,41%,63%,33%,56%,*,61%,15%,40%,47%,33%,39%,14%
,2018,40%,43%,37%,27%,36%,51%,*,53%,*,26%,10%,44%,39%,28%,33%,10%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,75%,69%,74%,81%,79%,91%,73%,78%,39%,70%,76%,69%,71%,67%
,2018,77%,77%,73%,66%,72%,80%,71%,90%,79%,77%,38%,74%,75%,67%,70%,66%
At Meets Grade Level or Above,2019,50%,51%,45%,36%,44%,54%,53%,75%,65%,52%,18%,38%,47%,39%,40%,34%
,2018,48%,49%,42%,33%,40%,51%,38%,70%,48%,47%,18%,34%,43%,36%,37%,32%
At Masters Grade Level,2019,24%,25%,19%,12%,18%,26%,26%,49%,30%,24%,5%,17%,20%,15%,16%,14%
,2018,22%,23%,16%,11%,15%,23%,17%,43%,24%,20%,5%,11%,17%,12%,13%,11%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,71%,64%,69%,78%,69%,87%,67%,75%,30%,64%,72%,65%,66%,60%
,2018,74%,74%,69%,62%,68%,78%,63%,85%,71%,77%,33%,70%,71%,63%,66%,60%
At Meets Grade Level or Above,2019,48%,49%,40%,32%,39%,51%,44%,65%,60%,50%,14%,33%,42%,35%,35%,28%
,2018,46%,47%,38%,32%,36%,49%,34%,63%,43%,47%,17%,26%,40%,34%,34%,26%
At Masters Grade Level,2019,21%,22%,15%,10%,14%,21%,19%,39%,40%,18%,4%,14%,16%,12%,12%,10%
,2018,19%,20%,14%,10%,13%,21%,13%,36%,14%,18%,4%,9%,15%,12%,11%,10%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,80%,74%,80%,84%,86%,94%,82%,80%,48%,78%,81%,76%,77%,77%
,2018,81%,82%,78%,71%,78%,83%,79%,94%,88%,79%,44%,81%,80%,73%,76%,77%
At Meets Grade Level or Above,2019,52%,53%,49%,39%,48%,56%,67%,83%,73%,55%,22%,45%,51%,43%,44%,44%
,2018,50%,51%,43%,33%,43%,50%,43%,80%,50%,48%,19%,41%,45%,37%,40%,41%
At Masters Grade Level,2019,26%,28%,23%,14%,23%,28%,33%,67%,36%,28%,7%,18%,24%,19%,20%,21%
,2018,24%,25%,18%,11%,17%,23%,25%,55%,38%,21%,5%,14%,19%,13%,15%,16%
All Grades Writing,,,,,,,,,,,,,,,,,
