Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF SCIENCE - HOUSTO (101862) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2019,52%,53%,73%,67%,59%,76%,*,87%,*,70%,32%,64%,76%,70%,68%,72%
,2018,50%,51%,73%,67%,61%,71%,*,88%,*,76%,34%,72%,74%,72%,68%,69%
At Masters Grade Level,2019,26%,28%,48%,43%,31%,50%,*,63%,*,48%,17%,44%,53%,42%,41%,45%
,2018,24%,25%,48%,42%,31%,46%,*,66%,*,59%,18%,34%,48%,48%,42%,44%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,86%,83%,80%,84%,*,93%,-,75%,41%,82%,90%,83%,83%,85%
,2018,66%,66%,84%,85%,73%,84%,-,91%,*,88%,41%,71%,82%,85%,79%,82%
At Meets Grade Level or Above,2019,38%,39%,57%,54%,38%,60%,*,68%,-,50%,24%,18%,62%,53%,49%,50%
,2018,41%,42%,64%,65%,50%,61%,-,77%,*,64%,26%,57%,62%,66%,62%,65%
At Masters Grade Level,2019,14%,15%,25%,21%,11%,24%,*,40%,-,0%,3%,0%,31%,21%,18%,16%
,2018,13%,13%,25%,25%,12%,26%,-,34%,*,40%,13%,14%,24%,27%,22%,19%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,91%,86%,86%,95%,*,96%,*,96%,58%,100%,91%,90%,88%,88%
,2018,80%,80%,90%,86%,85%,93%,*,94%,*,100%,58%,87%,92%,88%,89%,86%
At Meets Grade Level or Above,2019,54%,55%,68%,61%,54%,75%,*,80%,*,93%,35%,50%,71%,64%,62%,56%
,2018,51%,52%,63%,56%,52%,66%,*,73%,*,80%,33%,47%,64%,62%,56%,45%
At Masters Grade Level,2019,25%,27%,35%,30%,25%,39%,*,44%,*,61%,14%,25%,38%,33%,28%,23%
,2018,23%,24%,32%,24%,23%,32%,*,43%,*,50%,14%,13%,33%,31%,25%,20%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,85%,80%,77%,83%,*,95%,-,92%,58%,*,87%,83%,82%,76%
,2018,78%,79%,84%,78%,81%,85%,*,89%,-,100%,60%,83%,85%,84%,80%,73%
At Meets Grade Level or Above,2019,55%,57%,62%,61%,48%,68%,*,68%,-,76%,34%,*,66%,57%,57%,35%
,2018,53%,54%,59%,52%,50%,53%,*,70%,-,86%,31%,50%,64%,52%,54%,36%
At Masters Grade Level,2019,33%,36%,41%,37%,32%,49%,*,45%,-,60%,16%,*,45%,36%,38%,18%
,2018,31%,32%,38%,34%,30%,33%,*,44%,-,79%,17%,17%,42%,31%,32%,19%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,47%,43%,30%,67%,*,54%,-,20%,0%,*,49%,41%,39%,41%
,2018,34%,34%,49%,53%,27%,44%,-,60%,-,29%,29%,*,50%,48%,43%,39%
Reading and Mathematics Including EOC,2019,35%,36%,47%,43%,30%,67%,*,54%,-,20%,0%,*,49%,41%,39%,41%
,2018,34%,34%,49%,53%,27%,44%,-,60%,-,29%,29%,*,50%,48%,43%,39%
Reading Including EOC,2019,45%,45%,59%,55%,46%,78%,*,64%,-,20%,14%,*,58%,63%,50%,49%
,2018,43%,44%,58%,66%,32%,53%,-,67%,-,57%,41%,*,59%,58%,54%,47%
Math Including EOC,2019,49%,48%,59%,56%,39%,76%,*,69%,-,20%,7%,*,62%,50%,53%,57%
,2018,47%,48%,65%,62%,51%,59%,-,81%,-,43%,56%,*,68%,62%,59%,59%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,54%,52%,40%,52%,-,69%,-,13%,31%,60%,52%,54%,47%,56%
,2018,36%,37%,56%,50%,39%,51%,-,78%,*,50%,28%,80%,54%,58%,53%,59%
