Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
BETA ACADEMY (101870) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,91%,100%,91%,100%,-,*,-,-,*,*,88%,94%,93%,86%
,2019,90%,89%,97%,100%,96%,-,-,*,-,*,86%,-,100%,95%,96%,100%
At Meets Grade Level or Above,2021,44%,45%,67%,73%,65%,100%,-,*,-,-,*,*,63%,71%,67%,64%
,2019,58%,59%,48%,60%,48%,-,-,*,-,*,14%,-,43%,51%,45%,40%
At Masters Grade Level,2021,25%,26%,44%,45%,44%,50%,-,*,-,-,*,*,40%,49%,41%,39%
,2019,36%,38%,26%,50%,23%,-,-,*,-,*,14%,-,23%,28%,30%,25%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,84%,82%,86%,83%,-,*,-,-,*,*,83%,84%,85%,79%
,2019,75%,75%,80%,70%,82%,-,-,*,-,*,57%,-,83%,77%,81%,90%
At Meets Grade Level or Above,2021,31%,32%,44%,55%,40%,83%,-,*,-,-,*,*,40%,49%,39%,45%
,2019,49%,50%,38%,40%,38%,-,-,*,-,*,0%,-,37%,38%,40%,40%
At Masters Grade Level,2021,13%,14%,18%,27%,14%,50%,-,*,-,-,*,*,15%,20%,13%,16%
,2019,24%,25%,13%,10%,13%,-,-,*,-,*,0%,-,13%,13%,13%,5%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,90%,100%,88%,100%,-,-,-,*,83%,*,89%,92%,87%,90%
,2019,68%,69%,94%,100%,93%,*,-,*,-,-,83%,-,95%,94%,94%,100%
At Meets Grade Level or Above,2021,32%,34%,48%,25%,52%,40%,-,-,-,*,17%,*,45%,50%,48%,53%
,2019,37%,38%,52%,57%,48%,*,-,*,-,-,33%,-,52%,52%,48%,62%
At Masters Grade Level,2021,15%,16%,21%,0%,26%,0%,-,-,-,*,17%,*,20%,22%,20%,23%
,2019,18%,19%,30%,43%,27%,*,-,*,-,-,17%,-,43%,21%,26%,46%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,84%,100%,82%,80%,-,-,-,*,67%,*,77%,92%,83%,88%
,2019,81%,81%,96%,100%,95%,*,-,*,-,-,67%,-,95%,97%,97%,100%
At Meets Grade Level or Above,2021,36%,37%,30%,13%,30%,40%,-,-,-,*,17%,*,30%,31%,25%,35%
,2019,47%,48%,54%,57%,50%,*,-,*,-,-,33%,-,57%,52%,48%,54%
At Masters Grade Level,2021,15%,17%,6%,0%,8%,0%,-,-,-,*,0%,*,7%,6%,7%,10%
,2019,21%,22%,24%,43%,16%,*,-,*,-,-,33%,-,29%,21%,26%,15%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,90%,88%,89%,*,-,*,-,*,100%,*,97%,81%,87%,94%
,2019,76%,77%,100%,*,100%,100%,-,*,-,-,100%,*,100%,100%,100%,100%
At Meets Grade Level or Above,2021,45%,47%,57%,38%,62%,*,-,*,-,*,80%,*,62%,52%,43%,64%
,2019,49%,51%,78%,*,80%,83%,-,*,-,-,60%,*,65%,92%,77%,64%
At Masters Grade Level,2021,25%,27%,31%,13%,36%,*,-,*,-,*,80%,*,26%,39%,22%,39%
,2019,29%,31%,51%,*,60%,17%,-,*,-,-,20%,*,50%,52%,65%,45%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,80%,63%,82%,*,-,*,-,*,100%,*,82%,77%,74%,89%
,2019,75%,77%,94%,*,93%,100%,-,*,-,-,60%,*,92%,96%,97%,100%
At Meets Grade Level or Above,2021,27%,29%,34%,38%,35%,*,-,*,-,*,40%,*,36%,32%,26%,39%
,2019,43%,46%,71%,*,75%,50%,-,*,-,-,0%,*,81%,60%,71%,82%
At Masters Grade Level,2021,12%,13%,16%,13%,18%,*,-,*,-,*,20%,*,10%,23%,13%,25%
,2019,17%,18%,18%,*,18%,33%,-,*,-,-,0%,*,23%,12%,13%,18%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,91%,88%,91%,*,-,*,-,*,80%,*,97%,84%,87%,97%
,2019,70%,72%,92%,*,95%,83%,-,*,-,-,40%,*,96%,88%,94%,91%
