Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Aristoi_Classical_Academy_Grade 4 Reading,Aristoi_Classical_Academy,Grade 4 Reading,At Masters Grade Level,2021,0.17,0.18,0.24,0.10,0.25,0.25,-,*,-,*,0.0,0.22,0.27,0.21,*
Aristoi_Classical_Academy_Grade 4 Mathematics,Aristoi_Classical_Academy,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.66,0.55,0.59,0.69,*,0.86,-,*,0.31,0.67,0.64,0.35,0.25
Aristoi_Classical_Academy_Grade 4 Mathematics,Aristoi_Classical_Academy,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,0.59,0.6,0.79,0.60,0.73,0.84,-,*,-,*,0.45,0.73,0.87,0.75,*
Aristoi_Classical_Academy_Grade 4 Mathematics,Aristoi_Classical_Academy,Grade 4 Mathematics,At Meets Grade Level or Above,2022,0.43,0.44,0.45,0.45,0.41,0.45,*,0.57,-,*,0.19,0.48,0.43,0.23,0.13
Aristoi_Classical_Academy_Grade 4 Mathematics,Aristoi_Classical_Academy,Grade 4 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.54,0.40,0.36,0.62,-,*,-,*,0.09,0.51,0.58,0.4,*
Aristoi_Classical_Academy_Grade 4 Mathematics,Aristoi_Classical_Academy,Grade 4 Mathematics,At Masters Grade Level,2022,0.23,0.24,0.3,0.27,0.24,0.31,*,0.57,-,*,0.19,0.33,0.28,0.15,0.13
Aristoi_Classical_Academy_Grade 4 Mathematics,Aristoi_Classical_Academy,Grade 4 Mathematics,At Masters Grade Level,2021,0.21,0.22,0.36,0.40,0.23,0.38,-,*,-,*,0.0,0.29,0.45,0.3,*
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.9,0.80,0.82,0.93,-,*,-,1.00,0.56,0.88,0.91,0.86,1.00
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.93,0.93,1.0,0.9,-,*,-,-,0.75,0.93,0.94,0.93,*
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.72,0.60,0.64,0.77,-,*,-,0.60,0.33,0.72,0.71,0.64,0.80
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.74,0.67,0.68,0.77,-,*,-,-,0.5,0.72,0.76,0.67,*
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.45,0.30,0.32,0.54,-,*,-,0.20,0.11,0.48,0.43,0.36,0.20
Aristoi_Classical_Academy_Grade 5 Reading,Aristoi_Classical_Academy,Grade 5 Reading,At Masters Grade Level,2021,0.3,0.31,0.55,0.53,0.41,0.6,-,*,-,-,0.17,0.54,0.58,0.47,*
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.81,0.60,0.75,0.87,-,*,-,0.80,0.22,0.84,0.79,0.77,1.00
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.87,0.87,0.86,0.88,-,*,-,-,0.67,0.87,0.88,0.93,*
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.46,0.30,0.36,0.51,-,*,-,0.60,0.11,0.54,0.39,0.36,0.60
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Meets Grade Level or Above,2021,0.44,0.45,0.59,0.53,0.45,0.65,-,*,-,-,0.33,0.54,0.67,0.67,*
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Masters Grade Level,2022,0.25,0.26,0.21,0.20,0.07,0.25,-,*,-,0.20,0.0,0.22,0.2,0.23,0.60
Aristoi_Classical_Academy_Grade 5 Mathematics,Aristoi_Classical_Academy,Grade 5 Mathematics,At Masters Grade Level,2021,0.25,0.26,0.37,0.27,0.23,0.46,-,*,-,-,0.25,0.31,0.45,0.13,*
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.74,0.50,0.68,0.77,-,*,-,1.00,0.56,0.76,0.71,0.64,1.00
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.77,0.53,0.64,0.89,-,*,-,-,0.75,0.74,0.81,0.79,*
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Meets Grade Level or Above,2022,0.38,0.39,0.45,0.20,0.39,0.51,-,*,-,0.40,0.0,0.56,0.36,0.36,0.80
Aristoi_Classical_Academy_Grade 5 Science,Aristoi_Classical_Academy,Grade 5 Science,At Meets Grade Level or Above,2021,0.31,0.32,0.38,0.27,0.32,0.45,-,*,-,-,0.25,0.33,0.47,0.29,*
