Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Spring_Branch_ISD_Grade 6 Reading,Spring_Branch_ISD,Grade 6 Reading,At Meets Grade Level or Above,2022,0.43,0.44,0.47,0.31,0.30,0.74,*,0.79,*,0.69,0.17,0.49,0.40,0.27,0.27
Spring_Branch_ISD_Grade 6 Reading,Spring_Branch_ISD,Grade 6 Reading,At Meets Grade Level or Above,2021,0.32,0.34,0.36,0.26,0.23,0.61,0.14,0.61,-,0.67,0.14,0.38,0.32,0.18,0.19
Spring_Branch_ISD_Grade 6 Reading,Spring_Branch_ISD,Grade 6 Reading,At Masters Grade Level,2022,0.23,0.24,0.27,0.08,0.13,0.48,*,0.61,*,0.42,0.06,0.29,0.21,0.11,0.12
Spring_Branch_ISD_Grade 6 Reading,Spring_Branch_ISD,Grade 6 Reading,At Masters Grade Level,2021,0.15,0.16,0.19,0.08,0.09,0.37,0.14,0.39,-,0.36,0.04,0.20,0.15,0.06,0.08
Spring_Branch_ISD_Grade 6 Mathematics,Spring_Branch_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.79,0.68,0.70,0.95,*,0.98,*,0.89,0.50,0.81,0.73,0.68,0.68
Spring_Branch_ISD_Grade 6 Mathematics,Spring_Branch_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.70,0.49,0.59,0.91,0.57,0.94,-,0.89,0.39,0.72,0.64,0.56,0.58
Spring_Branch_ISD_Grade 6 Mathematics,Spring_Branch_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2022,0.39,0.40,0.49,0.25,0.31,0.80,*,0.89,*,0.69,0.19,0.51,0.41,0.28,0.30
Spring_Branch_ISD_Grade 6 Mathematics,Spring_Branch_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.46,0.20,0.29,0.76,0.29,0.83,-,0.73,0.22,0.47,0.41,0.25,0.29
Spring_Branch_ISD_Grade 6 Mathematics,Spring_Branch_ISD,Grade 6 Mathematics,At Masters Grade Level,2022,0.16,0.18,0.25,0.04,0.11,0.49,*,0.67,*,0.39,0.05,0.27,0.21,0.09,0.11
Spring_Branch_ISD_Grade 6 Mathematics,Spring_Branch_ISD,Grade 6 Mathematics,At Masters Grade Level,2021,0.15,0.17,0.24,0.11,0.10,0.47,0.14,0.58,-,0.46,0.06,0.25,0.22,0.07,0.10
Spring_Branch_ISD_Grade 7 Reading,Spring_Branch_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.80,0.81,0.77,0.68,0.68,0.96,0.67,0.92,-,0.92,0.44,0.80,0.70,0.66,0.63
Spring_Branch_ISD_Grade 7 Reading,Spring_Branch_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.71,0.58,0.60,0.92,*,0.93,*,0.79,0.32,0.74,0.61,0.57,0.57
