Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,Econ_Disadv,ELL
La_Porte_ISD_Grade 5 Mathematics,La_Porte_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.89,0.89,0.9,0.89,0.87,0.86
La_Porte_ISD_Grade 5 Mathematics,La_Porte_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.7,0.7,0.89,0.89,0.9,0.89,0.87,0.86
Tomball_ISD_Grade 5 Reading,Tomball_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.91,0.79,0.86,0.94,0.81,0.86
Tomball_ISD_Grade 5 Reading,Tomball_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.91,0.79,0.86,0.94,0.81,0.86
Tomball_ISD_Grade 6 Mathematics,Tomball_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.91,0.8,0.88,0.93,0.81,0.86
Tomball_ISD_Grade 6 Mathematics,Tomball_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.91,0.8,0.88,0.93,0.81,0.86
Deer_Park_ISD_Grade 7 Mathematics,Deer_Park_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.84,0.57,0.82,0.88,0.81,0.86
Deer_Park_ISD_Grade 7 Mathematics,Deer_Park_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.84,0.57,0.82,0.88,0.81,0.86
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.88,0.78,0.84,0.9,0.79,0.86
Tomball_ISD_Grade 3 Mathematics,Tomball_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.88,0.78,0.84,0.9,0.79,0.86
Crosby_ISD_Grade 5 Reading,Crosby_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.86,0.67,0.87,0.88,0.79,0.86
Crosby_ISD_Grade 5 Reading,Crosby_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.86,0.67,0.87,0.88,0.79,0.86
Katy_ISD_Grade 7 Reading,Katy_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.88,0.8,0.82,0.93,0.78,0.86
Katy_ISD_Grade 7 Reading,Katy_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.88,0.8,0.82,0.93,0.78,0.86
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.88,0.71,0.83,0.9,0.77,0.86
Tomball_ISD_Grade 4 Mathematics,Tomball_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.88,0.71,0.83,0.9,0.77,0.86
Harmony_Schools_West_Grade 4 Reading,Harmony_Schools_West,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.88,0.83,0.77,0.98,0.84,0.85
